Numero de onda	Muestra 526
3996.7144	0.93844
3994.66059	0.9385
3992.60678	0.93837
3990.55297	0.93804
3988.49916	0.93806
3986.44535	0.93866
3984.39154	0.93928
3982.33773	0.93928
3980.28391	0.9388
3978.2301	0.93835
3976.17629	0.93798
3974.12248	0.93775
3972.06867	0.93797
3970.01486	0.9384
3967.96105	0.93873
3965.90724	0.93916
3963.85343	0.93961
3961.79962	0.9397
3959.74581	0.93975
3957.692	0.93997
3955.63819	0.93959
3953.58438	0.93896
3951.53057	0.93908
3949.47676	0.9394
3947.42295	0.93944
3945.36914	0.93937
3943.31533	0.93888
3941.26152	0.93829
3939.20771	0.93838
3937.1539	0.93899
3935.10009	0.93952
3933.04628	0.93977
3930.99247	0.94014
3928.93866	0.94059
3926.88485	0.94046
3924.83104	0.93972
3922.77723	0.93929
3920.72342	0.93952
3918.66961	0.93973
3916.6158	0.93968
3914.56199	0.93953
3912.50818	0.93934
3910.45437	0.93937
3908.40056	0.93951
3906.34675	0.93921
3904.29294	0.93901
3902.23913	0.93967
3900.18532	0.94019
3898.13151	0.93999
3896.0777	0.93979
3894.02389	0.94009
3891.97008	0.94046
3889.91627	0.94022
3887.86246	0.93994
3885.80865	0.93968
3883.75484	0.93938
3881.70103	0.93948
3879.64722	0.93979
3877.59341	0.94004
3875.5396	0.94032
3873.48579	0.94039
3871.43198	0.94036
3869.37817	0.94054
3867.32436	0.94009
3865.27055	0.93946
3863.21674	0.93957
3861.16293	0.93973
3859.10912	0.93968
3857.05531	0.9399
3855.0015	0.94067
3852.94769	0.94173
3850.89388	0.94161
3848.84007	0.94087
3846.78626	0.94042
3844.73245	0.94022
3842.67864	0.9397
3840.62483	0.93895
3838.57102	0.93821
3836.51721	0.93779
3834.4634	0.93823
3832.40959	0.939
3830.35578	0.93983
3828.30197	0.94051
3826.24816	0.94065
3824.19435	0.94033
3822.14054	0.94028
3820.08673	0.94071
3818.03292	0.94051
3815.97911	0.94016
3813.9253	0.94014
3811.87149	0.94
3809.81768	0.9399
3807.76387	0.93995
3805.71006	0.94022
3803.65625	0.94049
3801.60244	0.94045
3799.54863	0.94051
3797.49482	0.94052
3795.44101	0.94032
3793.3872	0.94032
3791.33339	0.94044
3789.27958	0.94094
3787.22577	0.94164
3785.17196	0.94167
3783.11815	0.94147
3781.06434	0.94159
3779.01053	0.94169
3776.95672	0.94143
3774.90291	0.94109
3772.8491	0.94081
3770.79529	0.94043
3768.74148	0.94015
3766.68767	0.94031
3764.63386	0.9409
3762.58005	0.94151
3760.52624	0.94179
3758.47243	0.94188
3756.41862	0.94214
3754.36481	0.94246
3752.311	0.94267
3750.25719	0.9428
3748.20338	0.94306
3746.14957	0.94393
3744.09576	0.94451
3742.04195	0.94387
3739.98814	0.94361
3737.93433	0.94403
3735.88052	0.9449
3733.82671	0.94583
3731.7729	0.94523
3729.71909	0.94403
3727.66528	0.94346
3725.61147	0.9431
3723.55766	0.9424
3721.50385	0.94176
3719.45004	0.94143
3717.39623	0.94093
3715.34242	0.9401
3713.28861	0.93938
3711.2348	0.93912
3709.18099	0.93801
3707.12718	0.93568
3705.07337	0.93365
3703.01956	0.93246
3700.96575	0.931
3698.91194	0.92925
3696.85813	0.92881
3694.80432	0.92973
3692.75051	0.93097
3690.6967	0.93189
3688.64289	0.93224
3686.58907	0.93214
3684.53526	0.93201
3682.48145	0.93213
3680.42764	0.93264
3678.37383	0.93343
3676.32002	0.93395
3674.26621	0.93398
3672.2124	0.93359
3670.15859	0.93247
3668.10478	0.9314
3666.05097	0.93085
3663.99716	0.93034
3661.94335	0.93
3659.88954	0.92965
3657.83573	0.92897
3655.78192	0.92792
3653.72811	0.92694
3651.6743	0.92644
3649.62049	0.92642
3647.56668	0.92589
3645.51287	0.9251
3643.45906	0.92502
3641.40525	0.92514
3639.35144	0.92475
3637.29763	0.92392
3635.24382	0.92316
3633.19001	0.92266
3631.1362	0.9229
3629.08239	0.9239
3627.02858	0.92315
3624.97477	0.92118
3622.92096	0.91983
3620.86715	0.91905
3618.81334	0.91856
3616.75953	0.91867
3614.70572	0.91896
3612.65191	0.91868
3610.5981	0.91821
3608.54429	0.91875
3606.49048	0.91974
3604.43667	0.92004
3602.38286	0.91992
3600.32905	0.91977
3598.27524	0.92002
3596.22143	0.92052
3594.16762	0.92046
3592.11381	0.91986
3590.06	0.91907
3588.00619	0.91863
3585.95238	0.91886
3583.89857	0.91875
3581.84476	0.91824
3579.79095	0.91801
3577.73714	0.91833
3575.68333	0.91836
3573.62952	0.91791
3571.57571	0.91781
3569.5219	0.91811
3567.46809	0.91818
3565.41428	0.91765
3563.36047	0.91707
3561.30666	0.91673
3559.25285	0.91673
3557.19904	0.91671
3555.14523	0.91634
3553.09142	0.91586
3551.03761	0.91562
3548.9838	0.91593
3546.92999	0.91625
3544.87618	0.91572
3542.82237	0.91483
3540.76856	0.91462
3538.71475	0.91496
3536.66094	0.91491
3534.60713	0.91439
3532.55332	0.9139
3530.49951	0.91347
3528.4457	0.91319
3526.39189	0.91326
3524.33808	0.91374
3522.28427	0.91404
3520.23046	0.91373
3518.17665	0.91335
3516.12284	0.91306
3514.06903	0.91253
3512.01522	0.91211
3509.96141	0.91214
3507.9076	0.91204
3505.85379	0.91152
3503.79998	0.911
3501.74617	0.91065
3499.69236	0.91063
3497.63855	0.91077
3495.58474	0.91058
3493.53093	0.91038
3491.47712	0.91051
3489.42331	0.91045
3487.3695	0.91026
3485.31569	0.91025
3483.26188	0.91009
3481.20807	0.91006
3479.15426	0.91023
3477.10045	0.91009
3475.04664	0.91008
3472.99283	0.91019
3470.93902	0.90956
3468.88521	0.90852
3466.8314	0.90789
3464.77759	0.90757
3462.72378	0.90717
3460.66997	0.90691
3458.61616	0.90692
3456.56235	0.90669
3454.50854	0.90603
3452.45473	0.90535
3450.40092	0.90493
3448.34711	0.90475
3446.2933	0.90487
3444.23949	0.9052
3442.18568	0.90542
3440.13187	0.90537
3438.07806	0.90512
3436.02425	0.90493
3433.97044	0.90471
3431.91663	0.90431
3429.86282	0.9041
3427.80901	0.90402
3425.7552	0.90401
3423.70139	0.90448
3421.64758	0.9048
3419.59377	0.90421
3417.53996	0.90341
3415.48615	0.90299
3413.43234	0.90288
3411.37853	0.90288
