Numero de onda	acido_polilactico.dpt
3996.7144	0.99386
3994.66059	0.9939
3992.60678	0.99399
3990.55297	0.99392
3988.49916	0.99362
3986.44535	0.99343
3984.39154	0.9935
3982.33773	0.99374
3980.28391	0.99379
3978.2301	0.9937
3976.17629	0.99375
3974.12248	0.99363
3972.06867	0.99337
3970.01486	0.99346
3967.96105	0.99372
3965.90724	0.99391
3963.85343	0.99427
3961.79962	0.99462
3959.74581	0.99447
3957.692	0.99399
3955.63819	0.99377
3953.58438	0.99378
3951.53057	0.99373
3949.47676	0.99397
3947.42295	0.99429
3945.36914	0.9941
3943.31533	0.99377
3941.26152	0.99365
3939.20771	0.99367
3937.1539	0.99392
3935.10009	0.99431
3933.04628	0.99441
3930.99247	0.99414
3928.93866	0.99397
3926.88485	0.99392
3924.83104	0.99375
3922.77723	0.99361
3920.72342	0.99362
3918.66961	0.99368
3916.6158	0.99373
3914.56199	0.99362
3912.50818	0.99355
3910.45437	0.99381
3908.40056	0.99401
3906.34675	0.99395
3904.29294	0.99402
3902.23913	0.99427
3900.18532	0.99424
3898.13151	0.99378
3896.0777	0.99347
3894.02389	0.99374
3891.97008	0.99417
3889.91627	0.99431
3887.86246	0.99437
3885.80865	0.99434
3883.75484	0.99404
3881.70103	0.99377
3879.64722	0.99384
3877.59341	0.99415
3875.5396	0.99437
3873.48579	0.99424
3871.43198	0.99385
3869.37817	0.99359
3867.32436	0.99369
3865.27055	0.9938
3863.21674	0.99368
3861.16293	0.99378
3859.10912	0.9942
3857.05531	0.99451
3855.0015	0.99452
3852.94769	0.9941
3850.89388	0.99374
3848.84007	0.99354
3846.78626	0.9933
3844.73245	0.99335
3842.67864	0.99374
3840.62483	0.99386
3838.57102	0.99359
3836.51721	0.99351
3834.4634	0.99361
3832.40959	0.99361
3830.35578	0.99365
3828.30197	0.99377
3826.24816	0.99384
3824.19435	0.99372
3822.14054	0.99342
3820.08673	0.9935
3818.03292	0.9941
3815.97911	0.9944
3813.9253	0.99431
3811.87149	0.99439
3809.81768	0.99444
3807.76387	0.9941
3805.71006	0.99368
3803.65625	0.99372
3801.60244	0.99393
3799.54863	0.99398
3797.49482	0.99416
3795.44101	0.99435
3793.3872	0.99415
3791.33339	0.9938
3789.27958	0.99366
3787.22577	0.99369
3785.17196	0.99374
3783.11815	0.99385
3781.06434	0.994
3779.01053	0.99411
3776.95672	0.99403
3774.90291	0.99382
3772.8491	0.99379
3770.79529	0.99407
3768.74148	0.99429
3766.68767	0.99422
3764.63386	0.99411
3762.58005	0.99406
3760.52624	0.99407
3758.47243	0.99412
3756.41862	0.99399
3754.36481	0.99378
3752.311	0.99385
3750.25719	0.99408
3748.20338	0.99405
3746.14957	0.99394
3744.09576	0.99415
3742.04195	0.99446
3739.98814	0.99476
3737.93433	0.99517
3735.88052	0.99531
3733.82671	0.99489
3731.7729	0.99414
3729.71909	0.99354
3727.66528	0.99358
3725.61147	0.99392
3723.55766	0.99391
3721.50385	0.99376
3719.45004	0.99383
3717.39623	0.99404
3715.34242	0.99418
3713.28861	0.99403
3711.2348	0.99358
3709.18099	0.99337
3707.12718	0.99358
3705.07337	0.99391
3703.01956	0.9942
3700.96575	0.99424
3698.91194	0.99416
3696.85813	0.99447
3694.80432	0.99485
3692.75051	0.99468
3690.6967	0.99431
3688.64289	0.994
3686.58907	0.99361
3684.53526	0.99338
3682.48145	0.9934
3680.42764	0.99351
3678.37383	0.99346
3676.32002	0.99324
3674.26621	0.99319
3672.2124	0.99327
3670.15859	0.99306
3668.10478	0.99268
3666.05097	0.99256
3663.99716	0.99257
3661.94335	0.99263
3659.88954	0.99263
3657.83573	0.99252
3655.78192	0.99266
3653.72811	0.99301
3651.6743	0.99322
3649.62049	0.99327
3647.56668	0.9931
3645.51287	0.9929
3643.45906	0.99292
3641.40525	0.99302
3639.35144	0.993
3637.29763	0.99294
3635.24382	0.99297
3633.19001	0.99302
3631.1362	0.99291
3629.08239	0.99284
3627.02858	0.99295
3624.97477	0.993
3622.92096	0.99295
3620.86715	0.99291
3618.81334	0.99304
3616.75953	0.99314
3614.70572	0.99303
3612.65191	0.99312
3610.5981	0.99333
3608.54429	0.99322
3606.49048	0.99304
3604.43667	0.99331
3602.38286	0.99368
3600.32905	0.99374
3598.27524	0.99376
3596.22143	0.9939
3594.16762	0.99396
3592.11381	0.99378
3590.06	0.9935
3588.00619	0.99329
3585.95238	0.99326
3583.89857	0.99346
3581.84476	0.99356
3579.79095	0.99343
3577.73714	0.99329
3575.68333	0.99312
3573.62952	0.99296
3571.57571	0.99304
3569.5219	0.99322
3567.46809	0.99333
3565.41428	0.9935
3563.36047	0.99347
3561.30666	0.99312
3559.25285	0.99282
3557.19904	0.99281
3555.14523	0.99294
3553.09142	0.99306
3551.03761	0.99314
3548.9838	0.99326
3546.92999	0.99339
3544.87618	0.99331
3542.82237	0.99301
3540.76856	0.99287
3538.71475	0.99297
3536.66094	0.99299
3534.60713	0.99304
3532.55332	0.99322
3530.49951	0.99312
3528.4457	0.99279
3526.39189	0.99256
3524.33808	0.99242
3522.28427	0.99221
3520.23046	0.9921
3518.17665	0.99226
3516.12284	0.9925
3514.06903	0.99258
3512.01522	0.99252
3509.96141	0.99248
3507.9076	0.99245
3505.85379	0.99244
3503.79998	0.99245
3501.74617	0.99243
3499.69236	0.99256
3497.63855	0.99264
3495.58474	0.99251
3493.53093	0.99236
3491.47712	0.99222
3489.42331	0.99214
3487.3695	0.9923
3485.31569	0.99247
3483.26188	0.99259
3481.20807	0.99275
3479.15426	0.9928
3477.10045	0.99288
3475.04664	0.99302
3472.99283	0.99302
3470.93902	0.99293
3468.88521	0.99291
3466.8314	0.99307
3464.77759	0.99328
3462.72378	0.99332
3460.66997	0.99326
3458.61616	0.99339
3456.56235	0.99367
3454.50854	0.99387
3452.45473	0.99382
3450.40092	0.99357
3448.34711	0.99341
3446.2933	0.99336
3444.23949	0.99328
3442.18568	0.9933
3440.13187	0.99341
3438.07806	0.99332
3436.02425	0.99319
3433.97044	0.99336
3431.91663	0.9937
3429.86282	0.99394
3427.80901	0.99398
3425.7552	0.9939
3423.70139	0.99387
3421.64758	0.99392
3419.59377	0.99401
3417.53996	0.994
3415.48615	0.99385
3413.43234	0.99362
3411.37853	0.99339
3409.32472	0.99334
3407.27091	0.99343
3405.2171	0.99344
3403.16329	0.99337
3401.10948	0.99337
3399.05567	0.99341
3397.00186	0.99344
3394.94805	0.99344
3392.89424	0.99355
3390.84042	0.99386
3388.78661	0.99402
3386.7328	0.9939
3384.67899	0.99374
3382.62518	0.99361
3380.57137	0.9934
3378.51756	0.99307
3376.46375	0.99295
3374.40994	0.99321
3372.35613	0.99345
3370.30232	0.99356
3368.24851	0.99366
3366.1947	0.99353
3364.14089	0.99315
3362.08708	0.99293
3360.03327	0.99305
3357.97946	0.99329
3355.92565	0.99341
3353.87184	0.99339
3351.81803	0.99332
3349.76422	0.99336
3347.71041	0.99369
3345.6566	0.99388
3343.60279	0.99356
3341.54898	0.9933
3339.49517	0.99348
3337.44136	0.9937
3335.38755	0.99392
3333.33374	0.99416
3331.27993	0.99417
3329.22612	0.99392
3327.17231	0.99372
3325.1185	0.99375
3323.06469	0.99363
3321.01088	0.99328
3318.95707	0.9932
3316.90326	0.99341
3314.84945	0.99343
3312.79564	0.99332
3310.74183	0.99335
3308.68802	0.99343
3306.63421	0.99328
3304.5804	0.99319
3302.52659	0.9935
3300.47278	0.99375
3298.41897	0.9936
3296.36516	0.99333
3294.31135	0.99303
3292.25754	0.99285
3290.20373	0.99297
3288.14992	0.99312
3286.09611	0.99328
3284.0423	0.99361
3281.98849	0.99371
3279.93468	0.99359
3277.88087	0.99355
3275.82706	0.99349
3273.77325	0.99331
3271.71944	0.99328
3269.66563	0.99343
3267.61182	0.99359
3265.55801	0.99356
3263.5042	0.99321
3261.45039	0.99287
3259.39658	0.99297
3257.34277	0.9932
3255.28896	0.99325
3253.23515	0.99332
3251.18134	0.99351
3249.12753	0.99372
3247.07372	0.99382
3245.01991	0.99386
3242.9661	0.99394
3240.91229	0.99389
3238.85848	0.99372
3236.80467	0.99372
3234.75086	0.99371
3232.69705	0.99355
3230.64324	0.9934
3228.58943	0.99327
3226.53562	0.99334
3224.48181	0.9936
3222.428	0.99357
3220.37419	0.99324
3218.32038	0.9931
3216.26657	0.99319
3214.21276	0.99344
3212.15895	0.99374
3210.10514	0.99365
3208.05133	0.99322
3205.99752	0.99292
3203.94371	0.99293
3201.8899	0.99323
3199.83609	0.99337
3197.78228	0.99318
3195.72847	0.99316
3193.67466	0.99329
3191.62085	0.99325
3189.56704	0.99316
3187.51323	0.99312
3185.45942	0.99312
3183.40561	0.99308
3181.3518	0.99309
3179.29799	0.9934
3177.24418	0.99362
3175.19037	0.99336
3173.13656	0.99307
3171.08275	0.99313
3169.02894	0.9933
3166.97513	0.99348
3164.92132	0.99367
3162.86751	0.99376
3160.8137	0.99374
3158.75989	0.99362
3156.70608	0.99339
3154.65227	0.99331
3152.59846	0.9934
3150.54465	0.99337
3148.49084	0.99327
3146.43703	0.99327
3144.38322	0.99333
3142.32941	0.99348
3140.2756	0.99377
3138.22179	0.99401
3136.16798	0.99399
3134.11417	0.99391
3132.06036	0.99396
3130.00655	0.99389
3127.95274	0.9935
3125.89893	0.99334
3123.84512	0.9936
3121.79131	0.99362
3119.7375	0.99334
3117.68369	0.99324
3115.62988	0.99336
3113.57607	0.99365
3111.52226	0.99387
3109.46845	0.99357
3107.41464	0.9931
3105.36083	0.99305
3103.30702	0.99319
3101.25321	0.99327
3099.1994	0.99352
