Numero de onda	policaprolactona.dpt
3996.7144	0.98332
3994.66059	0.98377
3992.60678	0.98383
3990.55297	0.9834
3988.49916	0.98301
3986.44535	0.98284
3984.39154	0.98291
3982.33773	0.98349
3980.28391	0.98422
3978.2301	0.98416
3976.17629	0.98355
3974.12248	0.98349
3972.06867	0.9839
3970.01486	0.98412
3967.96105	0.98404
3965.90724	0.98375
3963.85343	0.98352
3961.79962	0.9835
3959.74581	0.98365
3957.692	0.98401
3955.63819	0.98424
3953.58438	0.9842
3951.53057	0.98416
3949.47676	0.98427
3947.42295	0.98447
3945.36914	0.9848
3943.31533	0.98516
3941.26152	0.98507
3939.20771	0.98456
3937.1539	0.98438
3935.10009	0.98462
3933.04628	0.98498
3930.99247	0.98544
3928.93866	0.98551
3926.88485	0.98514
3924.83104	0.98465
3922.77723	0.98416
3920.72342	0.98404
3918.66961	0.98402
3916.6158	0.98407
3914.56199	0.98456
3912.50818	0.98492
3910.45437	0.9848
3908.40056	0.98459
3906.34675	0.98469
3904.29294	0.9849
3902.23913	0.98472
3900.18532	0.98456
3898.13151	0.98478
3896.0777	0.98499
3894.02389	0.98528
3891.97008	0.9855
3889.91627	0.98493
3887.86246	0.98432
3885.80865	0.98457
3883.75484	0.98508
3881.70103	0.98511
3879.64722	0.98511
3877.59341	0.98533
3875.5396	0.98531
3873.48579	0.98486
3871.43198	0.98445
3869.37817	0.98438
3867.32436	0.98458
3865.27055	0.98528
3863.21674	0.98607
3861.16293	0.98602
3859.10912	0.98577
3857.05531	0.98613
3855.0015	0.98686
3852.94769	0.98691
3850.89388	0.98614
3848.84007	0.98572
3846.78626	0.98553
3844.73245	0.98533
3842.67864	0.9851
3840.62483	0.98496
3838.57102	0.98514
3836.51721	0.9858
3834.4634	0.98652
3832.40959	0.9866
3830.35578	0.98584
3828.30197	0.98498
3826.24816	0.98466
3824.19435	0.98474
3822.14054	0.98515
3820.08673	0.98574
3818.03292	0.98601
3815.97911	0.98615
3813.9253	0.98562
3811.87149	0.98474
3809.81768	0.98432
3807.76387	0.98435
3805.71006	0.98456
3803.65625	0.98483
3801.60244	0.98539
3799.54863	0.98559
3797.49482	0.98571
3795.44101	0.98625
3793.3872	0.98634
3791.33339	0.98623
3789.27958	0.98629
3787.22577	0.98621
3785.17196	0.98583
3783.11815	0.98543
3781.06434	0.98541
3779.01053	0.98578
3776.95672	0.9864
3774.90291	0.98664
3772.8491	0.98617
3770.79529	0.9856
3768.74148	0.98493
3766.68767	0.98453
3764.63386	0.98494
3762.58005	0.98527
3760.52624	0.98536
3758.47243	0.98586
3756.41862	0.98648
3754.36481	0.9868
3752.311	0.98699
3750.25719	0.98686
3748.20338	0.98577
3746.14957	0.98474
3744.09576	0.98524
3742.04195	0.9865
3739.98814	0.98737
3737.93433	0.98828
3735.88052	0.98877
3733.82671	0.98835
3731.7729	0.98756
3729.71909	0.98662
3727.66528	0.98641
3725.61147	0.98754
3723.55766	0.98868
3721.50385	0.9888
3719.45004	0.98793
3717.39623	0.98654
3715.34242	0.98593
3713.28861	0.98624
3711.2348	0.98648
3709.18099	0.98636
3707.12718	0.98614
3705.07337	0.98595
3703.01956	0.98575
3700.96575	0.98539
3698.91194	0.98521
3696.85813	0.98553
3694.80432	0.9858
3692.75051	0.98585
3690.6967	0.98629
3688.64289	0.98694
3686.58907	0.98706
3684.53526	0.98691
3682.48145	0.98676
3680.42764	0.98662
