Numero de onda	poliestireno.dpt
3996.7144	0.99892
3994.66059	0.99888
3992.60678	0.99876
3990.55297	0.9988
3988.49916	0.99895
3986.44535	0.99898
3984.39154	0.99873
3982.33773	0.99839
3980.28391	0.99815
3978.2301	0.99808
3976.17629	0.99836
3974.12248	0.99858
3972.06867	0.99855
3970.01486	0.99879
3967.96105	0.99927
3965.90724	0.99946
3963.85343	0.9991
3961.79962	0.9984
3959.74581	0.99813
3957.692	0.99843
3955.63819	0.99863
3953.58438	0.99873
3951.53057	0.99884
3949.47676	0.99881
3947.42295	0.99898
3945.36914	0.99931
3943.31533	0.99927
3941.26152	0.9991
3939.20771	0.99929
3937.1539	0.99951
3935.10009	0.99946
3933.04628	0.99918
3930.99247	0.9989
3928.93866	0.99882
3926.88485	0.99887
3924.83104	0.9992
3922.77723	0.99935
3920.72342	0.99887
3918.66961	0.99865
3916.6158	0.99909
3914.56199	0.99933
3912.50818	0.99914
3910.45437	0.99885
3908.40056	0.99847
3906.34675	0.99802
3904.29294	0.99813
3902.23913	0.99891
3900.18532	0.99931
3898.13151	0.99878
3896.0777	0.99803
3894.02389	0.99793
3891.97008	0.99831
3889.91627	0.99843
3887.86246	0.9983
3885.80865	0.99802
3883.75484	0.99802
3881.70103	0.99856
3879.64722	0.99892
3877.59341	0.99909
3875.5396	0.99938
3873.48579	0.99956
3871.43198	0.99975
3869.37817	1.00007
3867.32436	1.00023
3865.27055	0.99975
3863.21674	0.99892
3861.16293	0.99871
3859.10912	0.99885
3857.05531	0.99895
3855.0015	0.99943
3852.94769	1.00006
3850.89388	0.99999
3848.84007	0.99975
3846.78626	0.99929
3844.73245	0.99853
3842.67864	0.99836
3840.62483	0.99945
3838.57102	1.0002
3836.51721	0.99937
3834.4634	0.99862
3832.40959	0.99862
3830.35578	0.99853
3828.30197	0.99814
3826.24816	0.99832
3824.19435	0.99915
3822.14054	0.99967
3820.08673	1.00011
3818.03292	1.00059
3815.97911	1.00014
3813.9253	0.99892
3811.87149	0.99839
3809.81768	0.99863
3807.76387	0.99903
3805.71006	0.99944
3803.65625	0.99995
3801.60244	1.00023
3799.54863	0.99981
3797.49482	0.99937
3795.44101	0.99938
3793.3872	0.99918
3791.33339	0.99887
3789.27958	0.99904
3787.22577	0.99923
3785.17196	0.99908
3783.11815	0.99903
3781.06434	0.99892
3779.01053	0.99822
3776.95672	0.99785
3774.90291	0.99839
3772.8491	0.99877
3770.79529	0.99841
3768.74148	0.99828
3766.68767	0.99853
3764.63386	0.99832
3762.58005	0.99828
3760.52624	0.99873
3758.47243	0.9987
3756.41862	0.99862
3754.36481	0.99926
3752.311	0.99955
3750.25719	0.99906
3748.20338	0.99892
3746.14957	0.99916
3744.09576	0.99969
3742.04195	1.00003
3739.98814	1.00004
3737.93433	0.99975
3735.88052	0.99884
3733.82671	0.99816
3731.7729	0.99835
3729.71909	0.99871
3727.66528	0.99877
3725.61147	0.99874
3723.55766	0.99924
3721.50385	0.99988
3719.45004	0.9998
3717.39623	0.99945
3715.34242	0.99946
3713.28861	0.9992
3711.2348	0.99864
3709.18099	0.99869
3707.12718	0.99896
3705.07337	0.99931
3703.01956	0.99979
3700.96575	0.99983
3698.91194	0.99938
3696.85813	0.99899
3694.80432	0.99885
3692.75051	0.99892
3690.6967	0.99926
3688.64289	0.99968
3686.58907	0.99995
3684.53526	1.00024
3682.48145	1.00067
3680.42764	1.00116
3678.37383	1.0016
3676.32002	1.00166
3674.26621	1.00077
3672.2124	1.00007
3670.15859	1.00009
3668.10478	0.99993
3666.05097	0.99956
3663.99716	0.99948
3661.94335	0.99955
3659.88954	0.99945
3657.83573	0.99924
3655.78192	0.99955
3653.72811	1.0004
3651.6743	1.00111
3649.62049	1.00127
3647.56668	1.00049
3645.51287	0.99979
3643.45906	1.00004
3641.40525	1.00052
3639.35144	1.00064
3637.29763	1.00058
3635.24382	1.00029
3633.19001	0.99999
3631.1362	1.00026
3629.08239	1.0008
3627.02858	1.0006
3624.97477	1.00009
3622.92096	0.99993
3620.86715	0.99992
3618.81334	0.99987
3616.75953	1.00008
3614.70572	1.00016
3612.65191	0.99947
3610.5981	0.9991
3608.54429	0.99994
3606.49048	1.00026
3604.43667	0.99948
3602.38286	0.99912
3600.32905	0.99952
3598.27524	0.99978
3596.22143	0.99966
3594.16762	0.99961
3592.11381	0.99972
3590.06	1.0001
3588.00619	1.00064
3585.95238	1.00068
3583.89857	1.00036
3581.84476	0.99979
3579.79095	0.99913
3577.73714	0.99885
3575.68333	0.99882
3573.62952	0.99902
3571.57571	0.99941
3569.5219	0.99957
3567.46809	0.99987
3565.41428	1.00037
3563.36047	1.00025
3561.30666	0.99983
3559.25285	0.99944
3557.19904	0.99885
3555.14523	0.99809
3553.09142	0.99782
3551.03761	0.99843
3548.9838	0.99927
3546.92999	0.99999
3544.87618	1.00061
3542.82237	1.00064
3540.76856	1.00007
3538.71475	0.99935
3536.66094	0.9991
3534.60713	0.99952
3532.55332	0.99989
3530.49951	0.9999
3528.4457	1.00006
3526.39189	1.00022
3524.33808	1.00006
3522.28427	0.99978
3520.23046	0.99942
3518.17665	0.99908
3516.12284	0.99867
3514.06903	0.99862
3512.01522	0.99922
3509.96141	0.99957
3507.9076	0.99937
3505.85379	0.99915
3503.79998	0.99914
3501.74617	0.99936
3499.69236	0.99936
3497.63855	0.99908
3495.58474	0.99937
3493.53093	0.99994
3491.47712	0.99984
3489.42331	0.99915
3487.3695	0.99853
3485.31569	0.99872
3483.26188	0.99963
3481.20807	1.00038
3479.15426	1.00023
3477.10045	0.99926
3475.04664	0.99855
3472.99283	0.99879
3470.93902	0.99913
3468.88521	0.99893
3466.8314	0.99882
3464.77759	0.99893
3462.72378	0.99868
3460.66997	0.99863
3458.61616	0.99911
3456.56235	0.99921
3454.50854	0.99895
3452.45473	0.9991
3450.40092	0.99959
3448.34711	0.99966
3446.2933	0.99908
3444.23949	0.99868
3442.18568	0.99895
3440.13187	0.99929
3438.07806	0.99933
3436.02425	0.99931
3433.97044	0.99909
3431.91663	0.99878
3429.86282	0.99898
3427.80901	0.99949
3425.7552	0.99975
3423.70139	0.99981
3421.64758	1.00004
