Numero de onda	polipropileno.dpt
3996.7144	0.9967
3994.66059	0.99703
3992.60678	0.99673
3990.55297	0.99605
3988.49916	0.99568
3986.44535	0.9953
3984.39154	0.99495
3982.33773	0.99543
3980.28391	0.99632
3978.2301	0.99643
3976.17629	0.99608
3974.12248	0.99611
3972.06867	0.99627
3970.01486	0.99619
3967.96105	0.99617
3965.90724	0.99642
3963.85343	0.99659
3961.79962	0.99672
3959.74581	0.99693
3957.692	0.99693
3955.63819	0.99676
3953.58438	0.99672
3951.53057	0.99685
3949.47676	0.99705
3947.42295	0.99705
3945.36914	0.99664
3943.31533	0.99639
3941.26152	0.99667
3939.20771	0.99682
3937.1539	0.99672
3935.10009	0.99661
3933.04628	0.99654
3930.99247	0.9965
3928.93866	0.99646
3926.88485	0.99665
3924.83104	0.99693
3922.77723	0.99673
3920.72342	0.99617
3918.66961	0.99591
3916.6158	0.99617
3914.56199	0.99637
3912.50818	0.99621
3910.45437	0.99583
3908.40056	0.99544
3906.34675	0.99556
3904.29294	0.99627
3902.23913	0.99684
3900.18532	0.9969
3898.13151	0.99663
3896.0777	0.99643
3894.02389	0.99644
3891.97008	0.99639
3889.91627	0.99606
3887.86246	0.99559
3885.80865	0.99527
3883.75484	0.99516
3881.70103	0.99534
3879.64722	0.99594
3877.59341	0.99626
3875.5396	0.99595
3873.48579	0.99551
3871.43198	0.99582
3869.37817	0.99673
3867.32436	0.99681
3865.27055	0.99635
3863.21674	0.99645
3861.16293	0.99689
3859.10912	0.9973
3857.05531	0.99768
3855.0015	0.99806
3852.94769	0.99825
3850.89388	0.99777
3848.84007	0.9972
3846.78626	0.9969
3844.73245	0.99695
3842.67864	0.9975
3840.62483	0.99793
3838.57102	0.99742
3836.51721	0.99693
3834.4634	0.99694
3832.40959	0.99683
3830.35578	0.99676
3828.30197	0.9966
3826.24816	0.99622
3824.19435	0.99611
3822.14054	0.99631
3820.08673	0.99649
3818.03292	0.99665
3815.97911	0.997
3813.9253	0.99704
3811.87149	0.99634
3809.81768	0.99569
3807.76387	0.99578
3805.71006	0.99625
3803.65625	0.99665
3801.60244	0.99699
3799.54863	0.9969
3797.49482	0.99632
3795.44101	0.99608
3793.3872	0.99648
3791.33339	0.99686
3789.27958	0.99673
3787.22577	0.99602
3785.17196	0.99561
3783.11815	0.99602
3781.06434	0.99612
