Numero de onda	Muestra 657
3996.7144	0.9931
3994.66059	0.99352
3992.60678	0.99357
3990.55297	0.99372
3988.49916	0.99413
3986.44535	0.99372
3984.39154	0.99275
3982.33773	0.99258
3980.28391	0.99304
3978.2301	0.99338
3976.17629	0.99363
3974.12248	0.99387
3972.06867	0.99419
3970.01486	0.99452
3967.96105	0.99462
3965.90724	0.99449
3963.85343	0.99417
3961.79962	0.99361
3959.74581	0.99306
3957.692	0.99294
3955.63819	0.9931
3953.58438	0.99298
3951.53057	0.99279
3949.47676	0.99294
3947.42295	0.99296
3945.36914	0.99292
3943.31533	0.99321
3941.26152	0.99356
3939.20771	0.99376
3937.1539	0.99352
3935.10009	0.99293
3933.04628	0.99279
3930.99247	0.99348
3928.93866	0.99384
3926.88485	0.99333
3924.83104	0.9931
3922.77723	0.99338
3920.72342	0.99326
3918.66961	0.99314
3916.6158	0.9935
3914.56199	0.99354
3912.50818	0.99304
3910.45437	0.99286
3908.40056	0.99312
3906.34675	0.99328
3904.29294	0.99339
3902.23913	0.99369
3900.18532	0.99373
3898.13151	0.99335
3896.0777	0.99299
3894.02389	0.99269
3891.97008	0.99245
3889.91627	0.99262
3887.86246	0.99332
3885.80865	0.99393
3883.75484	0.99331
3881.70103	0.99239
3879.64722	0.99252
3877.59341	0.99304
3875.5396	0.99316
3873.48579	0.99286
3871.43198	0.99241
3869.37817	0.99287
3867.32436	0.99419
3865.27055	0.99476
3863.21674	0.9943
3861.16293	0.99404
3859.10912	0.99399
3857.05531	0.99349
3855.0015	0.99334
3852.94769	0.99428
3850.89388	0.99417
3848.84007	0.99349
3846.78626	0.99336
3844.73245	0.99331
3842.67864	0.99281
3840.62483	0.99224
3838.57102	0.99202
3836.51721	0.99213
3834.4634	0.99287
3832.40959	0.99384
3830.35578	0.99408
3828.30197	0.99366
3826.24816	0.99331
3824.19435	0.99326
3822.14054	0.99312
3820.08673	0.99304
3818.03292	0.99357
3815.97911	0.99396
3813.9253	0.99367
3811.87149	0.99332
3809.81768	0.9931
3807.76387	0.99306
3805.71006	0.99346
3803.65625	0.99361
3801.60244	0.99353
3799.54863	0.99374
3797.49482	0.99348
3795.44101	0.99309
3793.3872	0.9932
3791.33339	0.99324
3789.27958	0.99309
3787.22577	0.99319
3785.17196	0.9933
3783.11815	0.99352
3781.06434	0.99408
3779.01053	0.99415
3776.95672	0.99349
3774.90291	0.99324
3772.8491	0.99343
3770.79529	0.99321
3768.74148	0.99261
3766.68767	0.99237
3764.63386	0.99273
3762.58005	0.99331
3760.52624	0.99361
3758.47243	0.99365
3756.41862	0.99374
3754.36481	0.99381
3752.311	0.9938
3750.25719	0.99359
3748.20338	0.99289
3746.14957	0.99268
3744.09576	0.99367
3742.04195	0.99473
3739.98814	0.99483
3737.93433	0.99432
3735.88052	0.9942
3733.82671	0.9947
3731.7729	0.99493
3729.71909	0.99505
3727.66528	0.99517
3725.61147	0.99508
3723.55766	0.99474
3721.50385	0.99435
3719.45004	0.99418
3717.39623	0.99413
3715.34242	0.99386
3713.28861	0.99307
3711.2348	0.99231
3709.18099	0.99233
3707.12718	0.99211
3705.07337	0.9918
3703.01956	0.99205
3700.96575	0.99227
3698.91194	0.99237
3696.85813	0.9926
3694.80432	0.9924
3692.75051	0.99199
3690.6967	0.99243
3688.64289	0.99322
3686.58907	0.99275
3684.53526	0.992
3682.48145	0.99187
3680.42764	0.99224
3678.37383	0.99281
3676.32002	0.99318
3674.26621	0.99359
3672.2124	0.99394
3670.15859	0.99364
3668.10478	0.99289
3666.05097	0.9924
3663.99716	0.99199
3661.94335	0.99163
3659.88954	0.99161
3657.83573	0.99168
3655.78192	0.99148
3653.72811	0.99105
3651.6743	0.99103
3649.62049	0.9922
3647.56668	0.99272
3645.51287	0.99199
3643.45906	0.99213
3641.40525	0.99306
3639.35144	0.99343
3637.29763	0.9931
3635.24382	0.99279
3633.19001	0.99236
3631.1362	0.99177
3629.08239	0.99113
3627.02858	0.99084
3624.97477	0.99113
3622.92096	0.99124
3620.86715	0.99088
3618.81334	0.99064
3616.75953	0.99107
3614.70572	0.99165
3612.65191	0.99163
3610.5981	0.99085
3608.54429	0.99041
3606.49048	0.99095
3604.43667	0.99146
3602.38286	0.99126
3600.32905	0.99085
3598.27524	0.99073
3596.22143	0.99053
3594.16762	0.9902
3592.11381	0.99031
3590.06	0.99037
3588.00619	0.99002
3585.95238	0.99018
3583.89857	0.99074
3581.84476	0.99097
3579.79095	0.99112
3577.73714	0.99172
3575.68333	0.99252
3573.62952	0.99251
3571.57571	0.99165
3569.5219	0.99108
3567.46809	0.99104
3565.41428	0.99051
3563.36047	0.98983
3561.30666	0.98998
3559.25285	0.99088
