Numero de onda	hidroxietil_teraftalato.dpt
3996.7144	0.96498
3994.66059	0.96548
3992.60678	0.96573
3990.55297	0.96572
3988.49916	0.96533
3986.44535	0.96521
3984.39154	0.96587
3982.33773	0.96625
3980.28391	0.96552
3978.2301	0.96471
3976.17629	0.96502
3974.12248	0.9659
3972.06867	0.96599
3970.01486	0.96526
3967.96105	0.96468
3965.90724	0.96467
3963.85343	0.965
3961.79962	0.96556
3959.74581	0.96628
3957.692	0.96686
3955.63819	0.96723
3953.58438	0.96761
3951.53057	0.96783
3949.47676	0.96805
3947.42295	0.9682
3945.36914	0.96807
3943.31533	0.96834
3941.26152	0.96881
3939.20771	0.96863
3937.1539	0.968
3935.10009	0.96735
3933.04628	0.96688
3930.99247	0.96695
3928.93866	0.96745
3926.88485	0.96804
3924.83104	0.96852
3922.77723	0.96848
3920.72342	0.96821
3918.66961	0.96815
3916.6158	0.96825
3914.56199	0.96823
3912.50818	0.96798
3910.45437	0.96789
3908.40056	0.96792
3906.34675	0.96764
3904.29294	0.96774
3902.23913	0.96884
3900.18532	0.97008
3898.13151	0.97035
3896.0777	0.96985
3894.02389	0.96952
3891.97008	0.96954
3889.91627	0.96938
3887.86246	0.96901
3885.80865	0.96908
3883.75484	0.96936
3881.70103	0.96939
3879.64722	0.96974
3877.59341	0.96993
3875.5396	0.96987
3873.48579	0.96962
3871.43198	0.96898
3869.37817	0.96905
3867.32436	0.96974
3865.27055	0.97006
3863.21674	0.96985
3861.16293	0.96969
3859.10912	0.96974
3857.05531	0.96909
3855.0015	0.96819
3852.94769	0.96946
3850.89388	0.97109
3848.84007	0.9705
3846.78626	0.96911
3844.73245	0.96842
3842.67864	0.96864
3840.62483	0.96922
3838.57102	0.97005
3836.51721	0.97049
3834.4634	0.97009
3832.40959	0.96974
3830.35578	0.96951
3828.30197	0.96915
3826.24816	0.96933
3824.19435	0.96982
3822.14054	0.97024
3820.08673	0.97065
3818.03292	0.9706
3815.97911	0.97084
3813.9253	0.97098
3811.87149	0.97002
3809.81768	0.96888
3807.76387	0.96875
3805.71006	0.96955
3803.65625	0.97013
3801.60244	0.97056
3799.54863	0.97055
3797.49482	0.97016
3795.44101	0.97024
3793.3872	0.97044
3791.33339	0.97015
3789.27958	0.96983
3787.22577	0.96992
3785.17196	0.97022
3783.11815	0.97019
3781.06434	0.97004
3779.01053	0.9706
3776.95672	0.97112
3774.90291	0.97084
3772.8491	0.97018
3770.79529	0.96948
3768.74148	0.96919
3766.68767	0.96949
3764.63386	0.97004
3762.58005	0.97017
3760.52624	0.97
3758.47243	0.97058
3756.41862	0.9714
3754.36481	0.97161
3752.311	0.97204
3750.25719	0.97328
3748.20338	0.97327
3746.14957	0.97226
3744.09576	0.97211
3742.04195	0.97202
3739.98814	0.97142
3737.93433	0.97068
3735.88052	0.97056
3733.82671	0.97206
3731.7729	0.97319
3729.71909	0.97312
3727.66528	0.97281
3725.61147	0.97261
3723.55766	0.97254
3721.50385	0.97261
3719.45004	0.97286
3717.39623	0.97298
3715.34242	0.9727
3713.28861	0.97223
3711.2348	0.9717
3709.18099	0.97112
3707.12718	0.97084
3705.07337	0.97091
3703.01956	0.97142
3700.96575	0.97233
3698.91194	0.97272
3696.85813	0.97237
3694.80432	0.97184
3692.75051	0.97131
3690.6967	0.97081
3688.64289	0.97105
3686.58907	0.97186
3684.53526	0.97197
3682.48145	0.97109
3680.42764	0.96997
3678.37383	0.96961
3676.32002	0.97068
3674.26621	0.97231
3672.2124	0.97225
3670.15859	0.97167
3668.10478	0.97187
3666.05097	0.97188
3663.99716	0.97168
3661.94335	0.97155
3659.88954	0.97102
3657.83573	0.97049
3655.78192	0.97076
3653.72811	0.97111
3651.6743	0.97125
3649.62049	0.97181
3647.56668	0.97199
3645.51287	0.97123
3643.45906	0.97035
3641.40525	0.96999
3639.35144	0.97008
3637.29763	0.96997
3635.24382	0.96937
3633.19001	0.96847
3631.1362	0.96776
3629.08239	0.96737
3627.02858	0.96706
3624.97477	0.96688
3622.92096	0.96684
3620.86715	0.96685
3618.81334	0.96685
3616.75953	0.96621
3614.70572	0.96511
3612.65191	0.96483
3610.5981	0.96544
3608.54429	0.96559
3606.49048	0.96463
3604.43667	0.96362
3602.38286	0.96326
3600.32905	0.96309
3598.27524	0.96262
3596.22143	0.96192
3594.16762	0.96159
3592.11381	0.96122
3590.06	0.96028
3588.00619	0.95954
3585.95238	0.95932
3583.89857	0.95899
3581.84476	0.95837
3579.79095	0.95748
3577.73714	0.95656
3575.68333	0.95591
3573.62952	0.9552
3571.57571	0.95405
3569.5219	0.95281
3567.46809	0.95192
3565.41428	0.95108
3563.36047	0.95009
3561.30666	0.94911
3559.25285	0.94797
3557.19904	0.94643
3555.14523	0.94484
3553.09142	0.94351
3551.03761	0.94239
3548.9838	0.94146
3546.92999	0.94069
3544.87618	0.93987
3542.82237	0.93835
3540.76856	0.93631
3538.71475	0.9349
3536.66094	0.93415
3534.60713	0.93299
3532.55332	0.93101
3530.49951	0.92888
3528.4457	0.92742
3526.39189	0.92628
3524.33808	0.92468
3522.28427	0.92274
3520.23046	0.92085
3518.17665	0.91886
3516.12284	0.9169
3514.06903	0.91532
3512.01522	0.9139
3509.96141	0.91248
3507.9076	0.91113
3505.85379	0.90953
3503.79998	0.90768
3501.74617	0.90551
3499.69236	0.9028
3497.63855	0.90017
3495.58474	0.89772
3493.53093	0.89497
3491.47712	0.8921
3489.42331	0.88922
3487.3695	0.88655
