Numero de onda	pet.dpt
3996.7144	0.97646
3994.66059	0.97651
3992.60678	0.97653
3990.55297	0.97658
3988.49916	0.97655
3986.44535	0.97621
3984.39154	0.97581
3982.33773	0.97583
3980.28391	0.97619
3978.2301	0.97642
3976.17629	0.9764
3974.12248	0.97623
3972.06867	0.97608
3970.01486	0.97616
3967.96105	0.97632
3965.90724	0.97623
3963.85343	0.97598
3961.79962	0.97593
3959.74581	0.97609
3957.692	0.97617
3955.63819	0.97619
3953.58438	0.97606
3951.53057	0.97578
3949.47676	0.9758
3947.42295	0.97613
3945.36914	0.97631
3943.31533	0.97621
3941.26152	0.97603
3939.20771	0.97604
3937.1539	0.9761
3935.10009	0.97596
3933.04628	0.97571
3930.99247	0.97565
3928.93866	0.97577
3926.88485	0.9757
3924.83104	0.97565
3922.77723	0.97597
3920.72342	0.97615
3918.66961	0.97588
3916.6158	0.97563
3914.56199	0.97564
3912.50818	0.97584
3910.45437	0.97611
3908.40056	0.97626
3906.34675	0.97634
3904.29294	0.97637
3902.23913	0.97625
3900.18532	0.97622
3898.13151	0.9762
3896.0777	0.97601
3894.02389	0.97601
3891.97008	0.97631
3889.91627	0.97653
3887.86246	0.97648
3885.80865	0.97634
3883.75484	0.97629
3881.70103	0.97608
3879.64722	0.97582
3877.59341	0.97593
3875.5396	0.97617
3873.48579	0.97636
3871.43198	0.97643
3869.37817	0.97638
3867.32436	0.97645
3865.27055	0.97654
3863.21674	0.97645
3861.16293	0.97641
3859.10912	0.97641
3857.05531	0.97629
3855.0015	0.9763
3852.94769	0.9765
3850.89388	0.97637
3848.84007	0.97605
3846.78626	0.97577
3844.73245	0.97575
3842.67864	0.97603
3840.62483	0.97623
3838.57102	0.97622
3836.51721	0.97619
3834.4634	0.9762
3832.40959	0.9764
3830.35578	0.97681
3828.30197	0.97705
3826.24816	0.97679
3824.19435	0.97632
3822.14054	0.97617
3820.08673	0.97635
3818.03292	0.9765
3815.97911	0.97671
3813.9253	0.97676
3811.87149	0.97641
3809.81768	0.9761
3807.76387	0.97629
3805.71006	0.97671
3803.65625	0.97674
3801.60244	0.97663
3799.54863	0.97656
3797.49482	0.9764
3795.44101	0.97641
3793.3872	0.9765
3791.33339	0.97636
3789.27958	0.97625
3787.22577	0.97624
3785.17196	0.97612
3783.11815	0.97603
3781.06434	0.97599
3779.01053	0.97574
3776.95672	0.97566
3774.90291	0.97592
3772.8491	0.97608
3770.79529	0.97608
3768.74148	0.97595
3766.68767	0.97583
3764.63386	0.976
3762.58005	0.97636
3760.52624	0.97674
3758.47243	0.97689
3756.41862	0.97674
3754.36481	0.97636
3752.311	0.97562
3750.25719	0.97539
3748.20338	0.97618
3746.14957	0.97678
3744.09576	0.9768
3742.04195	0.97685
3739.98814	0.97704
3737.93433	0.97709
3735.88052	0.9768
3733.82671	0.97636
3731.7729	0.97623
3729.71909	0.97627
3727.66528	0.97641
3725.61147	0.97656
3723.55766	0.97665
3721.50385	0.97681
3719.45004	0.97689
3717.39623	0.97673
3715.34242	0.97663
3713.28861	0.9766
3711.2348	0.97622
3709.18099	0.97583
3707.12718	0.97601
3705.07337	0.97637
3703.01956	0.97634
3700.96575	0.97613
3698.91194	0.97633
3696.85813	0.97652
3694.80432	0.97636
3692.75051	0.97626
3690.6967	0.97627
3688.64289	0.97584
3686.58907	0.97533
3684.53526	0.97546
3682.48145	0.97607
3680.42764	0.97667
