Numero de onda	policloruro_vinilo.dpt
3996.7144	0.97249
3994.66059	0.9719
3992.60678	0.97144
3990.55297	0.97154
3988.49916	0.97199
3986.44535	0.97238
3984.39154	0.97221
3982.33773	0.97214
3980.28391	0.97246
3978.2301	0.97222
3976.17629	0.97167
3974.12248	0.97157
3972.06867	0.9717
3970.01486	0.97201
3967.96105	0.97252
3965.90724	0.97251
3963.85343	0.97193
3961.79962	0.97152
3959.74581	0.97152
3957.692	0.9715
3955.63819	0.97132
3953.58438	0.97131
3951.53057	0.9714
3949.47676	0.97173
3947.42295	0.97239
3945.36914	0.97278
3943.31533	0.97258
3941.26152	0.97232
3939.20771	0.9722
3937.1539	0.97177
3935.10009	0.97122
3933.04628	0.97103
3930.99247	0.97138
3928.93866	0.972
3926.88485	0.97242
3924.83104	0.97272
3922.77723	0.97273
3920.72342	0.97217
3918.66961	0.97149
3916.6158	0.97115
3914.56199	0.97139
3912.50818	0.97193
3910.45437	0.972
3908.40056	0.97155
3906.34675	0.97116
3904.29294	0.97116
3902.23913	0.97143
3900.18532	0.97153
3898.13151	0.97151
3896.0777	0.97165
3894.02389	0.97188
3891.97008	0.97192
3889.91627	0.97187
3887.86246	0.97212
3885.80865	0.97236
3883.75484	0.97233
3881.70103	0.97227
3879.64722	0.972
3877.59341	0.97188
3875.5396	0.97211
3873.48579	0.97212
3871.43198	0.97193
3869.37817	0.97214
3867.32436	0.97269
3865.27055	0.97294
3863.21674	0.97242
3861.16293	0.97189
3859.10912	0.97184
3857.05531	0.97177
3855.0015	0.97159
3852.94769	0.97193
3850.89388	0.97245
3848.84007	0.9724
3846.78626	0.97223
3844.73245	0.97197
3842.67864	0.97166
3840.62483	0.972
3838.57102	0.97248
3836.51721	0.97239
3834.4634	0.97223
3832.40959	0.97199
3830.35578	0.97177
3828.30197	0.97205
3826.24816	0.97217
3824.19435	0.97159
3822.14054	0.97138
3820.08673	0.97235
3818.03292	0.97339
3815.97911	0.9731
3813.9253	0.97179
3811.87149	0.97112
3809.81768	0.97111
3807.76387	0.97138
3805.71006	0.97238
3803.65625	0.97349
3801.60244	0.97337
3799.54863	0.97252
3797.49482	0.9723
3795.44101	0.97215
3793.3872	0.9719
3791.33339	0.97206
3789.27958	0.97218
3787.22577	0.97202
3785.17196	0.97204
3783.11815	0.97198
3781.06434	0.97156
3779.01053	0.97136
3776.95672	0.97169
3774.90291	0.97219
3772.8491	0.97231
3770.79529	0.97221
3768.74148	0.97226
3766.68767	0.9724
3764.63386	0.97273
3762.58005	0.97265
3760.52624	0.97238
3758.47243	0.9728
3756.41862	0.97304
3754.36481	0.97254
3752.311	0.97206
3750.25719	0.97212
3748.20338	0.97231
3746.14957	0.97237
3744.09576	0.97295
3742.04195	0.97346
3739.98814	0.97282
3737.93433	0.97202
3735.88052	0.97217
3733.82671	0.97233
3731.7729	0.97198
3729.71909	0.97185
3727.66528	0.97213
3725.61147	0.97253
3723.55766	0.97245
3721.50385	0.97232
3719.45004	0.97254
3717.39623	0.97265
3715.34242	0.97248
3713.28861	0.97252
3711.2348	0.97298
3709.18099	0.97289
3707.12718	0.97248
3705.07337	0.97247
3703.01956	0.97254
3700.96575	0.97271
3698.91194	0.97319
3696.85813	0.97328
3694.80432	0.97289
3692.75051	0.97273
3690.6967	0.97275
3688.64289	0.97247
3686.58907	0.97211
3684.53526	0.9718
3682.48145	0.97139
3680.42764	0.9714
3678.37383	0.97216
3676.32002	0.9728
3674.26621	0.97308
3672.2124	0.97341
3670.15859	0.97388
3668.10478	0.97405
3666.05097	0.97354
3663.99716	0.9731
3661.94335	0.9733
3659.88954	0.97331
3657.83573	0.97256
3655.78192	0.97229
3653.72811	0.97284
3651.6743	0.97319
3649.62049	0.97326
3647.56668	0.97272
3645.51287	0.97194
3643.45906	0.97182
3641.40525	0.9721
3639.35144	0.97215
3637.29763	0.9721
3635.24382	0.97209
3633.19001	0.97201
3631.1362	0.97207
3629.08239	0.97213
3627.02858	0.97205
3624.97477	0.97209
3622.92096	0.9722
3620.86715	0.97224
3618.81334	0.97253
3616.75953	0.97307
3614.70572	0.97311
3612.65191	0.97278
3610.5981	0.97268
3608.54429	0.97234
3606.49048	0.97146
3604.43667	0.97093
3602.38286	0.97108
3600.32905	0.9717
3598.27524	0.9723
3596.22143	0.9724
3594.16762	0.97231
3592.11381	0.97242
3590.06	0.97271
3588.00619	0.97302
3585.95238	0.97295
3583.89857	0.97265
3581.84476	0.97271
3579.79095	0.97297
3577.73714	0.97309
3575.68333	0.97316
3573.62952	0.97314
3571.57571	0.97308
3569.5219	0.97311
3567.46809	0.97307
3565.41428	0.97278
3563.36047	0.97239
3561.30666	0.97219
3559.25285	0.97219
3557.19904	0.97199
3555.14523	0.97146
3553.09142	0.97116
3551.03761	0.97118
3548.9838	0.97147
3546.92999	0.97205
3544.87618	0.97251
3542.82237	0.97268
3540.76856	0.97234
3538.71475	0.97151
3536.66094	0.97103
3534.60713	0.97093
3532.55332	0.97074
3530.49951	0.9711
3528.4457	0.97198
3526.39189	0.97209
3524.33808	0.9713
3522.28427	0.97071
3520.23046	0.97069
3518.17665	0.97111
3516.12284	0.97161
3514.06903	0.97144
3512.01522	0.97112
3509.96141	0.97142
3507.9076	0.97155
3505.85379	0.97122
3503.79998	0.97103
3501.74617	0.97053
3499.69236	0.96964
3497.63855	0.9694
3495.58474	0.96978
3493.53093	0.97016
3491.47712	0.97036
3489.42331	0.97051
3487.3695	0.97045
3485.31569	0.96996
3483.26188	0.96965
3481.20807	0.9698
3479.15426	0.96997
3477.10045	0.97021
3475.04664	0.9704
3472.99283	0.97045
3470.93902	0.97062
3468.88521	0.97061
3466.8314	0.97039
3464.77759	0.97028
3462.72378	0.97022
3460.66997	0.97011
3458.61616	0.96995
3456.56235	0.96967
3454.50854	0.96956
3452.45473	0.97004
3450.40092	0.9707
3448.34711	0.97107
3446.2933	0.97092
3444.23949	0.97032
3442.18568	0.9698
3440.13187	0.96992
3438.07806	0.97025
3436.02425	0.97009
3433.97044	0.96979
3431.91663	0.96981
3429.86282	0.96975
3427.80901	0.96975
3425.7552	0.97
3423.70139	0.97016
3421.64758	0.96992
3419.59377	0.96929
3417.53996	0.96884
3415.48615	0.96878
3413.43234	0.96869
3411.37853	0.96861
3409.32472	0.96878
3407.27091	0.96895
3405.2171	0.96932
3403.16329	0.97008
3401.10948	0.97037
3399.05567	0.9698
3397.00186	0.96919
3394.94805	0.96917
3392.89424	0.96948
3390.84042	0.96976
3388.78661	0.9698
3386.7328	0.96973
3384.67899	0.96967
3382.62518	0.96952
3380.57137	0.96962
3378.51756	0.96993
3376.46375	0.96995
3374.40994	0.96988
3372.35613	0.96986
3370.30232	0.96975
3368.24851	0.96922
3366.1947	0.96848
3364.14089	0.96833
3362.08708	0.96858
3360.03327	0.96861
3357.97946	0.96855
3355.92565	0.96875
3353.87184	0.96903
3351.81803	0.96921
3349.76422	0.96962
3347.71041	0.97
3345.6566	0.96996
3343.60279	0.96984
3341.54898	0.96971
3339.49517	0.96959
3337.44136	0.96979
3335.38755	0.96991
3333.33374	0.96977
3331.27993	0.96987
3329.22612	0.96999
3327.17231	0.96972
3325.1185	0.96942
3323.06469	0.96921
3321.01088	0.96883
3318.95707	0.96856
3316.90326	0.96885
3314.84945	0.96968
3312.79564	0.97047
3310.74183	0.97057
3308.68802	0.97004
3306.63421	0.96934
3304.5804	0.96905
3302.52659	0.96942
3300.47278	0.96989
3298.41897	0.97014
3296.36516	0.97014
3294.31135	0.96982
3292.25754	0.96955
3290.20373	0.96926
3288.14992	0.96878
3286.09611	0.96876
3284.0423	0.96936
3281.98849	0.96977
3279.93468	0.96978
3277.88087	0.9699
3275.82706	0.97004
3273.77325	0.97004
3271.71944	0.97036
3269.66563	0.97083
3267.61182	0.97062
3265.55801	0.97016
3263.5042	0.9703
3261.45039	0.97059
3259.39658	0.97058
3257.34277	0.97053
3255.28896	0.9704
3253.23515	0.97011
3251.18134	0.96982
3249.12753	0.96959
3247.07372	0.96947
3245.01991	0.96932
3242.9661	0.96935
3240.91229	0.96962
3238.85848	0.96973
3236.80467	0.96984
3234.75086	0.96994
3232.69705	0.96974
3230.64324	0.9695
3228.58943	0.96952
3226.53562	0.9696
3224.48181	0.96967
3222.428	0.96979
3220.37419	0.96997
3218.32038	0.97021
3216.26657	0.97039
3214.21276	0.97055
3212.15895	0.97062
3210.10514	0.97038
3208.05133	0.97037
3205.99752	0.97097
3203.94371	0.97128
3201.8899	0.97074
3199.83609	0.96987
3197.78228	0.96939
3195.72847	0.96957
3193.67466	0.97009
3191.62085	0.97044
3189.56704	0.97009
3187.51323	0.96941
3185.45942	0.96921
3183.40561	0.96955
3181.3518	0.97006
3179.29799	0.97041
3177.24418	0.97058
3175.19037	0.97077
3173.13656	0.97079
3171.08275	0.97054
3169.02894	0.97056
3166.97513	0.97092
3164.92132	0.97095
3162.86751	0.97037
3160.8137	0.96973
3158.75989	0.96974
3156.70608	0.97013
3154.65227	0.97036
3152.59846	0.97056
3150.54465	0.97055
3148.49084	0.9702
3146.43703	0.96998
3144.38322	0.97006
3142.32941	0.97025
3140.2756	0.97027
3138.22179	0.97007
3136.16798	0.96997
3134.11417	0.96988
3132.06036	0.96963
3130.00655	0.96972
3127.95274	0.97031
3125.89893	0.97075
3123.84512	0.97094
3121.79131	0.97122
3119.7375	0.97125
3117.68369	0.97067
3115.62988	0.97015
3113.57607	0.97024
3111.52226	0.97038
3109.46845	0.9703
3107.41464	0.97031
3105.36083	0.9702
3103.30702	0.96974
3101.25321	0.96938
3099.1994	0.96968
3097.14559	0.9704
3095.09177	0.97067
3093.03796	0.97043
3090.98415	0.97037
3088.93034	0.97059
3086.87653	0.97056
3084.82272	0.97033
3082.76891	0.97068
3080.7151	0.9713
3078.66129	0.97129
3076.60748	0.97093
3074.55367	0.97061
3072.49986	0.97027
3070.44605	0.97004
3068.39224	0.97021
3066.33843	0.97068
3064.28462	0.97081
3062.23081	0.97066
3060.177	0.97094
3058.12319	0.97138
3056.06938	0.97112
3054.01557	0.97052
3051.96176	0.97034
3049.90795	0.97049
3047.85414	0.97089
3045.80033	0.97129
3043.74652	0.97125
3041.69271	0.97108
3039.6389	0.97105
3037.58509	0.97092
3035.53128	0.97047
3033.47747	0.97002
3031.42366	0.97011
3029.36985	0.97048
3027.31604	0.9705
3025.26223	0.97037
3023.20842	0.97033
3021.15461	0.9702
3019.1008	0.97022
3017.04699	0.97039
3014.99318	0.97025
3012.93937	0.97003
3010.88556	0.97025
3008.83175	0.97065
3006.77794	0.97067
3004.72413	0.97043
3002.67032	0.97029
3000.61651	0.9703
2998.5627	0.97013
2996.50889	0.9697
2994.45508	0.96931
2992.40127	0.96885
2990.34746	0.96817
2988.29365	0.96754
2986.23984	0.96703
2984.18603	0.96633
2982.13222	0.96495
2980.07841	0.9632
2978.0246	0.96188
2975.97079	0.96084
2973.91698	0.95992
2971.86317	0.95944
2969.80936	0.95921
2967.75555	0.95896
2965.70174	0.95883
2963.64793	0.95874
2961.59412	0.95888
2959.54031	0.95955
2957.4865	0.96037
2955.43269	0.96118
2953.37888	0.96176
2951.32507	0.96165
2949.27126	0.9612
2947.21745	0.96088
2945.16364	0.96078
2943.10983	0.96058
2941.05602	0.95972
2939.00221	0.95859
2936.9484	0.95799
2934.89459	0.95787
2932.84078	0.95789
2930.78697	0.95765
2928.73316	0.95709
2926.67935	0.95688
2924.62554	0.95676
2922.57173	0.95588
2920.51792	0.95435
2918.46411	0.9526
2916.4103	0.95064
2914.35649	0.94889
2912.30268	0.94775
2910.24887	0.94697
2908.19506	0.94661
2906.14125	0.94707
2904.08744	0.94851
2902.03363	0.9508
2899.97982	0.95344
2897.92601	0.9562
2895.8722	0.95893
2893.81839	0.9612
2891.76458	0.96259
2889.71077	0.96318
2887.65696	0.96372
2885.60315	0.96444
