Numero de onda	polietileno.dpt
3996.7144	0.99725
3994.66059	0.99744
3992.60678	0.99768
3990.55297	0.9977
3988.49916	0.9975
3986.44535	0.99746
3984.39154	0.99764
3982.33773	0.99797
3980.28391	0.99837
3978.2301	0.99854
3976.17629	0.99829
3974.12248	0.99775
3972.06867	0.9975
3970.01486	0.99757
3967.96105	0.99761
3965.90724	0.99761
3963.85343	0.99733
3961.79962	0.99699
3959.74581	0.99721
3957.692	0.99793
3955.63819	0.99842
3953.58438	0.99856
3951.53057	0.99854
3949.47676	0.99838
3947.42295	0.99831
3945.36914	0.9982
3943.31533	0.99824
3941.26152	0.9984
3939.20771	0.99809
3937.1539	0.99743
3935.10009	0.99681
3933.04628	0.99658
3930.99247	0.99698
3928.93866	0.99735
3926.88485	0.99717
3924.83104	0.99699
3922.77723	0.99727
3920.72342	0.99781
3918.66961	0.99813
3916.6158	0.99794
3914.56199	0.9975
3912.50818	0.99721
3910.45437	0.99732
3908.40056	0.99755
3906.34675	0.99774
3904.29294	0.99827
3902.23913	0.999
3900.18532	0.9991
3898.13151	0.99878
3896.0777	0.99882
3894.02389	0.99895
3891.97008	0.99863
3889.91627	0.99817
3887.86246	0.99814
3885.80865	0.99836
3883.75484	0.99828
3881.70103	0.99808
3879.64722	0.99835
3877.59341	0.99862
3875.5396	0.99848
3873.48579	0.99841
3871.43198	0.9986
3869.37817	0.9987
3867.32436	0.99849
3865.27055	0.99817
3863.21674	0.99794
3861.16293	0.99778
3859.10912	0.99802
3857.05531	0.99862
3855.0015	0.99874
3852.94769	0.99814
3850.89388	0.99836
3848.84007	0.99911
3846.78626	0.99913
3844.73245	0.99862
3842.67864	0.99848
3840.62483	0.99852
3838.57102	0.99849
3836.51721	0.99851
3834.4634	0.99858
3832.40959	0.9986
3830.35578	0.99859
3828.30197	0.99849
3826.24816	0.99821
3824.19435	0.99825
3822.14054	0.99864
3820.08673	0.99906
3818.03292	0.99971
3815.97911	1.0001
3813.9253	0.9997
3811.87149	0.99915
3809.81768	0.99878
3807.76387	0.99849
3805.71006	0.99849
3803.65625	0.9986
3801.60244	0.9983
3799.54863	0.99762
3797.49482	0.99728
3795.44101	0.99745
3793.3872	0.99783
3791.33339	0.99826
3789.27958	0.99867
3787.22577	0.99883
3785.17196	0.99857
3783.11815	0.99826
3781.06434	0.99849
3779.01053	0.99907
3776.95672	0.99938
3774.90291	0.99942
3772.8491	0.99916
3770.79529	0.99873
3768.74148	0.99842
3766.68767	0.99821
3764.63386	0.99808
3762.58005	0.99777
3760.52624	0.99747
3758.47243	0.99806
3756.41862	0.99909
3754.36481	0.99972
3752.311	1.00015
3750.25719	1.00061
3748.20338	1.0007
3746.14957	1.00067
3744.09576	1.00097
3742.04195	1.00061
3739.98814	0.99968
3737.93433	0.9992
3735.88052	0.9994
3733.82671	0.99937
3731.7729	0.99885
3729.71909	0.99842
3727.66528	0.99836
3725.61147	0.99886
3723.55766	0.99964
3721.50385	1.00017
3719.45004	0.99978
3717.39623	0.99853
3715.34242	0.99762
3713.28861	0.99761
3711.2348	0.9983
3709.18099	0.99883
3707.12718	0.99859
3705.07337	0.99848
3703.01956	0.99891
3700.96575	0.9991
3698.91194	0.99885
3696.85813	0.99834
3694.80432	0.99789
3692.75051	0.99793
3690.6967	0.99802
3688.64289	0.99813
3686.58907	0.99864
3684.53526	0.99897
3682.48145	0.99864
3680.42764	0.99795
3678.37383	0.99745
3676.32002	0.99727
3674.26621	0.99764
3672.2124	0.99833
3670.15859	0.99898
3668.10478	0.99914
3666.05097	0.99896
3663.99716	0.9988
3661.94335	0.99864
3659.88954	0.99883
3657.83573	0.99921
3655.78192	0.99897
3653.72811	0.99853
3651.6743	0.99879
3649.62049	0.99918
3647.56668	0.99904
3645.51287	0.99897
3643.45906	0.999
3641.40525	0.99923
3639.35144	0.99969
3637.29763	0.99978
3635.24382	0.99926
3633.19001	0.99863
3631.1362	0.99853
3629.08239	0.99912
3627.02858	0.99973
3624.97477	0.99965
3622.92096	0.99918
3620.86715	0.99925
3618.81334	0.99999
3616.75953	1.00008
3614.70572	0.99954
3612.65191	0.99885
3610.5981	0.99801
3608.54429	0.99784
3606.49048	0.99823
3604.43667	0.99765
3602.38286	0.99647
3600.32905	0.99627
3598.27524	0.99732
3596.22143	0.99858
3594.16762	0.99925
3592.11381	0.99949
3590.06	0.99958
3588.00619	0.99962
3585.95238	1.00011
3583.89857	1.00039
3581.84476	1.00006
3579.79095	1.00003
3577.73714	1.00018
3575.68333	0.99993
3573.62952	0.99948
3571.57571	0.99897
3569.5219	0.99885
3567.46809	0.99969
3565.41428	1.00064
3563.36047	1.00081
3561.30666	1.00083
3559.25285	1.00085
3557.19904	1.00043
3555.14523	0.99985
3553.09142	0.99952
3551.03761	0.99957
3548.9838	0.99976
3546.92999	0.99955
3544.87618	0.99908
3542.82237	0.99909
3540.76856	0.9993
3538.71475	0.99942
3536.66094	0.99966
3534.60713	0.99981
3532.55332	0.99956
3530.49951	0.99931
3528.4457	0.99955
3526.39189	0.99977
3524.33808	0.99961
3522.28427	0.99928
3520.23046	0.99897
3518.17665	0.99864
3516.12284	0.99832
3514.06903	0.99848
3512.01522	0.99878
3509.96141	0.99879
3507.9076	0.99909
3505.85379	0.9996
3503.79998	0.99989
3501.74617	1.00008
3499.69236	0.99994
3497.63855	0.99918
3495.58474	0.99852
3493.53093	0.99849
3491.47712	0.99866
3489.42331	0.99887
3487.3695	0.9991
3485.31569	0.99913
3483.26188	0.99904
3481.20807	0.99866
3479.15426	0.99815
3477.10045	0.99823
3475.04664	0.99878
3472.99283	0.99911
3470.93902	0.99885
3468.88521	0.99845
3466.8314	0.99843
3464.77759	0.99825
3462.72378	0.99795
3460.66997	0.99804
3458.61616	0.998
3456.56235	0.99766
3454.50854	0.99747
3452.45473	0.99735
3450.40092	0.99702
3448.34711	0.99679
3446.2933	0.99703
3444.23949	0.99747
3442.18568	0.99737
3440.13187	0.99658
3438.07806	0.99584
3436.02425	0.99555
3433.97044	0.99515
3431.91663	0.99419
3429.86282	0.99302
3427.80901	0.99205
3425.7552	0.99124
3423.70139	0.99018
3421.64758	0.9887
3419.59377	0.98698
3417.53996	0.98499
3415.48615	0.98282
3413.43234	0.98015
3411.37853	0.97618
3409.32472	0.97087
3407.27091	0.96473
3405.2171	0.95792
3403.16329	0.95027
3401.10948	0.94223
3399.05567	0.93523
3397.00186	0.9306
3394.94805	0.92905
3392.89424	0.93085
3390.84042	0.93543
3388.78661	0.94145
3386.7328	0.94793
3384.67899	0.95403
3382.62518	0.95877
3380.57137	0.96253
3378.51756	0.96635
3376.46375	0.9699
3374.40994	0.97264
3372.35613	0.97473
3370.30232	0.97634
3368.24851	0.97786
3366.1947	0.97931
3364.14089	0.98027
3362.08708	0.98095
3360.03327	0.98176
3357.97946	0.98255
3355.92565	0.98332
3353.87184	0.98425
3351.81803	0.98522
3349.76422	0.98616
3347.71041	0.98682
3345.6566	0.98719
3343.60279	0.9876
3341.54898	0.98807
3339.49517	0.98842
3337.44136	0.98856
3335.38755	0.98856
3333.33374	0.98872
3331.27993	0.98925
3329.22612	0.98964
3327.17231	0.98972
3325.1185	0.98985
3323.06469	0.98992
3321.01088	0.98969
3318.95707	0.98947
3316.90326	0.98936
3314.84945	0.98907
3312.79564	0.98853
3310.74183	0.98794
3308.68802	0.9878
3306.63421	0.98801
3304.5804	0.98786
3302.52659	0.9874
3300.47278	0.98727
3298.41897	0.98777
3296.36516	0.9887
3294.31135	0.98926
3292.25754	0.98913
3290.20373	0.98931
3288.14992	0.99019
3286.09611	0.99092
3284.0423	0.99121
3281.98849	0.9916
3279.93468	0.99205
3277.88087	0.99214
3275.82706	0.99218
3273.77325	0.99248
3271.71944	0.99271
3269.66563	0.99265
3267.61182	0.99254
3265.55801	0.99221
3263.5042	0.99167
3261.45039	0.99176
3259.39658	0.99217
3257.34277	0.99203
3255.28896	0.99187
3253.23515	0.99179
3251.18134	0.99121
3249.12753	0.99042
3247.07372	0.98979
3245.01991	0.98921
3242.9661	0.98844
3240.91229	0.98763
3238.85848	0.98687
3236.80467	0.98588
3234.75086	0.98487
3232.69705	0.98401
3230.64324	0.98327
3228.58943	0.98269
3226.53562	0.98166
3224.48181	0.98022
3222.428	0.97912
3220.37419	0.97782
3218.32038	0.97594
3216.26657	0.97402
3214.21276	0.97204
3212.15895	0.97021
3210.10514	0.96893
3208.05133	0.96787
