Numero de onda	polivil_alcohol.dpt
3996.7144	0.96243
3994.66059	0.96285
3992.60678	0.96332
3990.55297	0.96318
3988.49916	0.96271
3986.44535	0.96264
3984.39154	0.96309
3982.33773	0.96359
3980.28391	0.96383
3978.2301	0.96376
3976.17629	0.96327
3974.12248	0.96277
3972.06867	0.96279
3970.01486	0.9633
3967.96105	0.96385
3965.90724	0.96396
3963.85343	0.96385
3961.79962	0.96378
3959.74581	0.96348
3957.692	0.96321
3955.63819	0.96347
3953.58438	0.96398
3951.53057	0.96413
3949.47676	0.9639
3947.42295	0.96382
3945.36914	0.96439
3943.31533	0.96514
3941.26152	0.96501
3939.20771	0.96434
3937.1539	0.96406
3935.10009	0.96416
3933.04628	0.9641
3930.99247	0.96397
3928.93866	0.96415
3926.88485	0.96436
3924.83104	0.96462
3922.77723	0.96496
3920.72342	0.96532
3918.66961	0.9658
3916.6158	0.966
3914.56199	0.96579
3912.50818	0.96551
3910.45437	0.96512
3908.40056	0.96515
3906.34675	0.96562
3904.29294	0.96563
3902.23913	0.9652
3900.18532	0.96498
3898.13151	0.96481
3896.0777	0.9644
3894.02389	0.9642
3891.97008	0.96461
3889.91627	0.96514
3887.86246	0.96516
3885.80865	0.96498
3883.75484	0.96552
3881.70103	0.9662
3879.64722	0.96585
3877.59341	0.96529
3875.5396	0.9653
3873.48579	0.96537
3871.43198	0.96517
3869.37817	0.96488
3867.32436	0.96465
3865.27055	0.96464
3863.21674	0.96488
3861.16293	0.96515
3859.10912	0.96549
3857.05531	0.96578
3855.0015	0.96576
3852.94769	0.96561
3850.89388	0.96544
3848.84007	0.96529
3846.78626	0.96546
3844.73245	0.96582
3842.67864	0.96605
3840.62483	0.96639
3838.57102	0.96715
3836.51721	0.96745
3834.4634	0.96686
3832.40959	0.96636
3830.35578	0.96612
3828.30197	0.96583
3826.24816	0.96563
3824.19435	0.9658
3822.14054	0.96604
3820.08673	0.96607
3818.03292	0.96633
3815.97911	0.96654
3813.9253	0.96634
3811.87149	0.96625
3809.81768	0.96651
3807.76387	0.96721
3805.71006	0.96779
3803.65625	0.96737
3801.60244	0.96664
3799.54863	0.96669
3797.49482	0.96694
3795.44101	0.9668
3793.3872	0.9667
3791.33339	0.96698
3789.27958	0.96729
3787.22577	0.96713
3785.17196	0.96673
3783.11815	0.96673
3781.06434	0.96706
3779.01053	0.96717
3776.95672	0.96688
3774.90291	0.96667
3772.8491	0.96708
3770.79529	0.96787
3768.74148	0.96828
3766.68767	0.96833
3764.63386	0.96818
3762.58005	0.96783
3760.52624	0.96767
3758.47243	0.96772
3756.41862	0.96801
3754.36481	0.96845
3752.311	0.96838
