Numero de onda	teraftalato_de_polietileno.dpt
3996.7144	0.99507
3994.66059	0.99453
3992.60678	0.99452
3990.55297	0.99503
3988.49916	0.99521
3986.44535	0.99499
3984.39154	0.99517
3982.33773	0.99561
3980.28391	0.99559
3978.2301	0.99538
3976.17629	0.99529
3974.12248	0.99535
3972.06867	0.9955
3970.01486	0.9956
3967.96105	0.99585
3965.90724	0.99606
3963.85343	0.99597
3961.79962	0.99562
3959.74581	0.99496
3957.692	0.99441
3955.63819	0.99436
3953.58438	0.99449
3951.53057	0.9945
3949.47676	0.99438
3947.42295	0.9942
3945.36914	0.99404
3943.31533	0.99407
3941.26152	0.99429
3939.20771	0.99445
3937.1539	0.99464
3935.10009	0.99495
3933.04628	0.99533
3930.99247	0.99544
3928.93866	0.99516
3926.88485	0.99529
3924.83104	0.99586
3922.77723	0.99601
3920.72342	0.99593
3918.66961	0.9958
3916.6158	0.99553
3914.56199	0.99539
3912.50818	0.9952
3910.45437	0.99499
3908.40056	0.99487
3906.34675	0.99488
3904.29294	0.99525
3902.23913	0.9956
3900.18532	0.99531
3898.13151	0.99488
3896.0777	0.99498
3894.02389	0.99512
3891.97008	0.99493
3889.91627	0.99489
3887.86246	0.99495
3885.80865	0.99502
3883.75484	0.99536
3881.70103	0.99529
3879.64722	0.99495
3877.59341	0.99518
3875.5396	0.99561
3873.48579	0.99553
3871.43198	0.99513
3869.37817	0.9952
3867.32436	0.9954
3865.27055	0.99531
3863.21674	0.99535
3861.16293	0.99565
3859.10912	0.99581
3857.05531	0.99558
3855.0015	0.99563
3852.94769	0.99661
3850.89388	0.99672
3848.84007	0.99565
3846.78626	0.99474
3844.73245	0.99477
3842.67864	0.99542
3840.62483	0.99586
3838.57102	0.99587
3836.51721	0.99543
3834.4634	0.99486
3832.40959	0.99443
3830.35578	0.99425
3828.30197	0.99435
3826.24816	0.99489
3824.19435	0.99575
3822.14054	0.99633
3820.08673	0.99631
3818.03292	0.99575
3815.97911	0.99505
3813.9253	0.99476
3811.87149	0.99471
3809.81768	0.99469
3807.76387	0.99508
3805.71006	0.99564
3803.65625	0.99547
3801.60244	0.9948
3799.54863	0.99441
3797.49482	0.99447
3795.44101	0.99447
3793.3872	0.99416
3791.33339	0.99415
3789.27958	0.99479
3787.22577	0.99564
3785.17196	0.99612
3783.11815	0.99618
3781.06434	0.9959
3779.01053	0.99504
3776.95672	0.99421
3774.90291	0.99434
3772.8491	0.99514
3770.79529	0.99576
3768.74148	0.99599
3766.68767	0.99618
3764.63386	0.996
3762.58005	0.99545
3760.52624	0.9955
3758.47243	0.99609
3756.41862	0.99628
3754.36481	0.99625
3752.311	0.99613
3750.25719	0.99603
3748.20338	0.99632
3746.14957	0.9966
3744.09576	0.99685
3742.04195	0.99692
3739.98814	0.99659
3737.93433	0.9961
3735.88052	0.99571
3733.82671	0.99562
3731.7729	0.99611
3729.71909	0.99654
3727.66528	0.99619
3725.61147	0.99546
3723.55766	0.99535
3721.50385	0.9957
3719.45004	0.99549
3717.39623	0.99537
3715.34242	0.99585
3713.28861	0.99666
3711.2348	0.99742
3709.18099	0.99696
3707.12718	0.99621
3705.07337	0.99636
3703.01956	0.99681
3700.96575	0.99684
3698.91194	0.99652
3696.85813	0.99613
3694.80432	0.99576
3692.75051	0.99535
3690.6967	0.99499
3688.64289	0.99534
3686.58907	0.99597
3684.53526	0.99595
3682.48145	0.99555
3680.42764	0.9951
3678.37383	0.99497
3676.32002	0.9953
3674.26621	0.99544
3672.2124	0.99512
3670.15859	0.99507
3668.10478	0.99549
3666.05097	0.9956
3663.99716	0.99547
3661.94335	0.99541
3659.88954	0.99526
3657.83573	0.99546
3655.78192	0.99632
3653.72811	0.99679
3651.6743	0.99644
3649.62049	0.99581
3647.56668	0.9955
3645.51287	0.99518
3643.45906	0.99485
3641.40525	0.99475
3639.35144	0.99475
3637.29763	0.99494
3635.24382	0.99523
3633.19001	0.99516
3631.1362	0.99483
3629.08239	0.99421
3627.02858	0.99353
3624.97477	0.99365
3622.92096	0.99438
3620.86715	0.99505
3618.81334	0.99522
3616.75953	0.99504
3614.70572	0.99505
3612.65191	0.99561
3610.5981	0.99639
3608.54429	0.99669
3606.49048	0.99639
3604.43667	0.99601
3602.38286	0.99568
3600.32905	0.99549
3598.27524	0.99545
3596.22143	0.99545
3594.16762	0.99523
3592.11381	0.99459
3590.06	0.99426
3588.00619	0.99447
3585.95238	0.99435
3583.89857	0.99409
3581.84476	0.99422
3579.79095	0.99453
3577.73714	0.99431
3575.68333	0.9935
3573.62952	0.99349
3571.57571	0.99453
3569.5219	0.99539
3567.46809	0.99535
3565.41428	0.99474
3563.36047	0.99451
3561.30666	0.99438
3559.25285	0.99381
3557.19904	0.99329
3555.14523	0.99319
3553.09142	0.99344
3551.03761	0.99386
3548.9838	0.99411
3546.92999	0.9941
3544.87618	0.99352
3542.82237	0.99279
3540.76856	0.99305
3538.71475	0.9937
3536.66094	0.99385
3534.60713	0.99347
3532.55332	0.99302
3530.49951	0.99329
3528.4457	0.99401
3526.39189	0.99411
3524.33808	0.99357
3522.28427	0.99319
