Numero de onda	Acido Tereftalico.0.dpt
3996.69914	1.00166
3994.64534	1.00159
3992.59153	1.00159
3990.53773	1.00129
3988.48393	1.00093
3986.43013	1.00071
3984.37632	1.00064
3982.32252	1.00047
3980.26872	1.00028
3978.21492	1.00045
3976.16112	1.00058
3974.10731	1.00019
3972.05351	0.99981
3969.99971	0.99957
3967.94591	0.99922
3965.8921	0.9993
3963.8383	0.99966
3961.7845	0.99964
3959.7307	0.99953
3957.6769	0.9995
3955.62309	0.99935
3953.56929	0.99945
3951.51549	0.99988
3949.46169	1.0
3947.40788	0.99944
3945.35408	0.99913
3943.30028	0.99931
3941.24648	0.99881
3939.19268	0.99808
3937.13887	0.99813
3935.08507	0.9987
3933.03127	0.99916
3930.97747	0.99894
3928.92366	0.99831
3926.86986	0.99809
3924.81606	0.9984
3922.76226	0.99876
3920.70845	0.99905
3918.65465	0.99905
3916.60085	0.99815
3914.54705	0.99687
3912.49325	0.99626
3910.43944	0.99639
3908.38564	0.99723
3906.33184	0.99883
3904.27804	1.0
3902.22423	0.99966
3900.17043	0.99837
3898.11663	0.9964
3896.06283	0.99532
3894.00903	0.99622
3891.95522	0.99744
3889.90142	0.99721
3887.84762	0.99717
3885.79382	0.99773
3883.74001	0.99786
3881.68621	0.99793
3879.63241	0.99699
3877.57861	0.99604
3875.52481	0.9966
3873.471	0.99757
3871.4172	0.99868
3869.3634	0.99883
3867.3096	0.99764
3865.25579	0.99716
3863.20199	0.99684
3861.14819	0.99598
3859.09439	0.99609
3857.04059	0.9979
3854.98678	1.0
3852.93298	0.99899
3850.87918	0.99611
3848.82538	0.99483
3846.77157	0.99467
3844.71777	0.99527
3842.66397	0.99636
3840.61017	0.99775
3838.55637	0.99828
3836.50256	0.99709
3834.44876	0.99618
3832.39496	0.99618
3830.34116	0.99611
3828.28735	0.99582
3826.23355	0.99564
3824.17975	0.99619
3822.12595	0.99731
3820.07215	0.99751
3818.01834	0.99747
3815.96454	0.99677
3813.91074	0.99463
3811.85694	0.99359
3809.80313	0.99418
3807.74933	0.9951
3805.69553	0.99545
3803.64173	0.99605
3801.58793	0.99615
3799.53412	0.99504
3797.48032	0.99427
3795.42652	0.99347
3793.37272	0.99284
3791.31891	0.99285
3789.26511	0.99336
3787.21131	0.99431
3785.15751	0.9949
3783.10371	0.99464
3781.0499	0.99439
3778.9961	0.99407
3776.9423	0.99349
3774.8885	0.99354
3772.83469	0.99424
3770.78089	0.995
3768.72709	0.99552
3766.67329	0.99559
3764.61949	0.99497
3762.56568	0.99484
3760.51188	0.99599
3758.45808	0.99673
3756.40428	0.9965
3754.35047	0.99725
3752.29667	0.99876
3750.24287	0.99856
3748.18907	0.99812
3746.13527	0.9993
3744.08146	0.99914
3742.02766	0.9973
3739.97386	0.99695
3737.92006	0.99804
3735.86625	0.99895
3733.81245	0.99802
3731.75865	0.99623
3729.70485	0.99523
3727.65105	0.99564
3725.59724	0.99672
3723.54344	0.99676
3721.48964	0.99601
3719.43584	0.99559
3717.38203	0.9954
3715.32823	0.99584
3713.27443	0.99726
3711.22063	0.99781
3709.16683	0.99619
3707.11302	0.99436
3705.05922	0.99367
3703.00542	0.99401
3700.95162	0.99412
3698.89781	0.99376
3696.84401	0.9936
3694.79021	0.99388
3692.73641	0.9951
3690.68261	0.99664
3688.6288	0.99586
3686.575	0.99375
3684.5212	0.99321
3682.4674	0.99383
3680.41359	0.99486
3678.35979	0.99627
3676.30599	0.99763
3674.25219	0.99766
3672.19839	0.99746
3670.14458	0.99697
3668.09078	0.99517
3666.03698	0.99386
3663.98318	0.99354
3661.92937	0.99366
3659.87557	0.99431
3657.82177	0.99528
3655.76797	0.99558
3653.71417	0.99602
3651.66036	0.99812
3649.60656	1.0
3647.55276	0.99835
3645.49896	0.996
3643.44515	0.99492
3641.39135	0.99412
3639.33755	0.99357
3637.28375	0.99394
3635.22995	0.99467
3633.17614	0.99524
3631.12234	0.99642
3629.06854	0.99734
3627.01474	0.99565
3624.96093	0.99401
3622.90713	0.99422
3620.85333	0.99564
3618.79953	0.99656
3616.74573	0.99642
3614.69192	0.9966
3612.63812	0.99696
3610.58432	0.99731
3608.53052	0.99765
3606.47671	0.99689
3604.42291	0.99584
3602.36911	0.99551
3600.31531	0.99554
3598.26151	0.99624
3596.2077	0.99742
3594.1539	0.99739
3592.1001	0.99641
3590.0463	0.99678
3587.99249	0.99806
3585.93869	0.99731
3583.88489	0.99546
3581.83109	0.99477
3579.77728	0.99501
3577.72348	0.99544
3575.66968	0.99578
3573.61588	0.99578
3571.56208	0.9961
3569.50827	0.99789
3567.45447	0.99984
3565.40067	0.9989
3563.34687	0.99709
3561.29306	0.99648
3559.23926	0.99621
3557.18546	0.9959
3555.13166	0.99615
3553.07786	0.99678
3551.02405	0.99696
3548.97025	0.99719
3546.91645	0.99797
3544.86265	0.99805
3542.80884	0.99706
3540.75504	0.99629
3538.70124	0.99611
3536.64744	0.99585
3534.59364	0.99547
3532.53983	0.99596
3530.48603	0.99712
3528.43223	0.99784
3526.37843	0.99801
3524.32462	0.99781
3522.27082	0.99691
3520.21702	0.99604
3518.16322	0.99601
3516.10942	0.99625
3514.05561	0.99642
3512.00181	0.99669
3509.94801	0.99677
3507.89421	0.9966
3505.8404	0.99692
3503.7866	0.99788
3501.7328	0.99822
3499.679	0.99758
3497.6252	0.997
3495.57139	0.99671
3493.51759	0.99664
3491.46379	0.99699
3489.40999	0.99733
3487.35618	0.99721
3485.30238	0.99719
3483.24858	0.99741
3481.19478	0.99723
3479.14098	0.99694
3477.08717	0.99713
3475.03337	0.99736
3472.97957	0.99723
3470.92577	0.99692
3468.87196	0.9968
3466.81816	0.99699
3464.76436	0.99736
3462.71056	0.99766
3460.65676	0.99755
3458.60295	0.99735
3456.54915	0.99747
3454.49535	0.99778
3452.44155	0.99809
3450.38774	0.99852
3448.33394	0.99902
3446.28014	0.99915
3444.22634	0.99894
3442.17254	0.99861
3440.11873	0.99806
3438.06493	0.99754
3436.01113	0.99741
3433.95733	0.99774
3431.90352	0.99816
3429.84972	0.9983
3427.79592	0.9982
3425.74212	0.99824
3423.68832	0.99869
3421.63451	0.99921
3419.58071	0.99923
3417.52691	0.99892
3415.47311	0.99879
3413.4193	0.99869
3411.3655	0.99848
3409.3117	0.99844
3407.2579	0.99869
3405.2041	0.99897
3403.15029	0.99891
3401.09649	0.99861
3399.04269	0.99858
3396.98889	0.99894
3394.93508	0.99941
3392.88128	0.99933
3390.82748	0.99876
3388.77368	0.99877
3386.71988	0.99931
3384.66607	0.99964
3382.61227	0.99974
3380.55847	0.99983
3378.50467	0.99986
3376.45086	0.99981
3374.39706	0.99979
3372.34326	0.99964
3370.28946	0.99945
3368.23566	0.9996
3366.18185	0.99991
3364.12805	1.0
3362.07425	0.99989
3360.02045	0.99981
3357.96664	0.99981
3355.91284	0.99971
3353.85904	0.99947
3351.80524	0.99917
3349.75144	0.99896
3347.69763	0.99908
3345.64383	0.99922
3343.59003	0.99916
3341.53623	0.99915
3339.48242	0.999
3337.42862	0.99876
3335.37482	0.99878
3333.32102	0.9988
3331.26722	0.99876
3329.21341	0.99882
3327.15961	0.99873
3325.10581	0.9984
3323.05201	0.99808
3320.9982	0.9978
3318.9444	0.99751
3316.8906	0.99728
3314.8368	0.99709
3312.783	0.99687
3310.72919	0.9966
3308.67539	0.99639
3306.62159	0.99626
3304.56779	0.99623
3302.51398	0.99631
3300.46018	0.99617
3298.40638	0.9955
3296.35258	0.99487
3294.29878	0.99494
3292.24497	0.99518
3290.19117	0.995
3288.13737	0.99478
3286.08357	0.99483
3284.02976	0.99488
3281.97596	0.99472
3279.92216	0.99464
3277.86836	0.99469
3275.81456	0.99462
3273.76075	0.9944
3271.70695	0.99398
3269.65315	0.99363
3267.59935	0.99359
3265.54554	0.9937
3263.49174	0.99366
3261.43794	0.9933
3259.38414	0.99282
3257.33034	0.99244
3255.27653	0.99224
3253.22273	0.99212
3251.16893	0.99186
3249.11513	0.9915
3247.06132	0.9912
3245.00752	0.99101
3242.95372	0.99093
3240.89992	0.99083
3238.84611	0.99048
3236.79231	0.98992
3234.73851	0.98931
3232.68471	0.98891
3230.63091	0.98871
3228.5771	0.98833
3226.5233	0.98782
3224.4695	0.98744
3222.4157	0.98693
3220.36189	0.98637
3218.30809	0.98618
3216.25429	0.98599
3214.20049	0.98548
