Numero de onda	Acido_polilactico2.dpt
3996.69914	0.99966
3994.64534	0.9997
3992.59153	0.99956
3990.53773	0.99934
3988.48393	0.99958
3986.43013	1.00044
3984.37632	1.00113
3982.32252	1.0011
3980.26872	1.00073
3978.21492	1.00038
3976.16112	1.00025
3974.10731	1.00032
3972.05351	0.99989
3969.99971	0.99913
3967.94591	0.9991
3965.8921	0.99969
3963.8383	1.00017
3961.7845	1.00028
3959.7307	0.99994
3957.6769	0.99932
3955.62309	0.99879
3953.56929	0.99851
3951.51549	0.99855
3949.46169	0.99875
3947.40788	0.99885
3945.35408	0.99897
3943.30028	0.99917
3941.24648	0.99907
3939.19268	0.99857
3937.13887	0.99831
3935.08507	0.99832
3933.03127	0.9979
3930.97747	0.99739
3928.92366	0.99743
3926.86986	0.9977
3924.81606	0.99797
3922.76226	0.99831
3920.70845	0.99862
3918.65465	0.99888
3916.60085	0.99913
3914.54705	0.99954
3912.49325	1.00026
3910.43944	1.00072
3908.38564	1.00044
3906.33184	1.00004
3904.27804	1.00035
3902.22423	1.00075
3900.17043	1.00052
3898.11663	1.00047
3896.06283	1.00093
3894.00903	1.00145
3891.95522	1.00145
3889.90142	1.00088
3887.84762	1.00056
3885.79382	1.00071
3883.74001	1.00094
3881.68621	1.00109
3879.63241	1.00116
3877.57861	1.00104
3875.52481	1.00057
3873.471	0.99986
3871.4172	0.99924
3869.3634	0.99893
3867.3096	0.99894
3865.25579	0.99904
3863.20199	0.99918
3861.14819	0.99904
3859.09439	0.99852
3857.04059	0.99795
3854.98678	0.99706
3852.93298	0.99621
3850.87918	0.99693
3848.82538	0.99814
3846.77157	0.99867
3844.71777	0.99843
3842.66397	0.99808
3840.61017	0.99802
3838.55637	0.99784
3836.50256	0.99811
3834.44876	0.99917
3832.39496	0.99978
3830.34116	0.99957
3828.28735	0.99929
3826.23355	0.99946
3824.17975	0.99991
3822.12595	0.99978
3820.07215	0.99892
3818.01834	0.99897
3815.96454	1.00028
3813.91074	1.00135
3811.85694	1.00126
3809.80313	1.00081
3807.74933	1.00096
3805.69553	1.0015
3803.64173	1.00175
3801.58793	1.00169
3799.53412	1.00134
3797.48032	1.00108
3795.42652	1.00108
3793.37272	1.00121
3791.31891	1.0013
3789.26511	1.00132
3787.21131	1.00151
3785.15751	1.00167
3783.10371	1.0016
3781.0499	1.00144
3778.9961	1.00087
3776.9423	0.99994
3774.8885	0.99883
3772.83469	0.9981
3770.78089	0.99811
3768.72709	0.998
3766.67329	0.99753
3764.61949	0.99699
3762.56568	0.99668
3760.51188	0.99679
3758.45808	0.9969
3756.40428	0.9967
3754.35047	0.99619
3752.29667	0.99571
3750.24287	0.99635
3748.18907	0.99804
3746.13527	0.99929
3744.08146	0.99935
3742.02766	0.99884
3739.97386	0.99893
3737.92006	0.99934
3735.86625	0.99949
3733.81245	0.99961
3731.75865	0.99981
3729.70485	0.99961
3727.65105	0.99952
3725.59724	1.00036
3723.54344	1.00169
3721.48964	1.00235
3719.43584	1.00191
3717.38203	1.00093
3715.32823	1.00043
3713.27443	1.0011
3711.22063	1.00202
3709.16683	1.00229
3707.11302	1.00259
3705.05922	1.00274
3703.00542	1.00233
3700.95162	1.00149
3698.89781	1.00079
3696.84401	1.00036
3694.79021	1.00019
3692.73641	1.0003
3690.68261	1.00036
3688.6288	1.00011
3686.575	0.99986
3684.5212	0.99958
3682.4674	0.99899
3680.41359	0.99845
3678.35979	0.9981
3676.30599	0.99776
3674.25219	0.99762
3672.19839	0.99813
3670.14458	0.9987
3668.09078	0.99808
3666.03698	0.99733
3663.98318	0.9973
3661.92937	0.99722
3659.87557	0.99681
3657.82177	0.99659
3655.76797	0.99656
3653.71417	0.99628
3651.66036	0.99626
3649.60656	0.99697
3647.55276	0.99759
3645.49896	0.99812
3643.44515	0.99904
3641.39135	0.99974
3639.33755	0.9996
3637.28375	0.9989
3635.22995	0.99842
3633.17614	0.99879
3631.12234	0.99998
3629.06854	1.00103
3627.01474	1.00088
3624.96093	1.00031
3622.90713	1.00019
3620.85333	1.00069
3618.79953	1.00142
3616.74573	1.00222
3614.69192	1.00299
3612.63812	1.00299
3610.58432	1.00216
3608.53052	1.0012
3606.47671	1.00062
3604.42291	1.00049
3602.36911	1.00045
3600.31531	1.00035
3598.26151	1.00019
3596.2077	0.99975
3594.1539	0.99923
3592.1001	0.99896
3590.0463	0.99912
3587.99249	0.99959
3585.93869	0.99938
3583.88489	0.99847
3581.83109	0.99797
3579.77728	0.99806
3577.72348	0.99824
3575.66968	0.99786
3573.61588	0.99713
3571.56208	0.9969
3569.50827	0.99728
3567.45447	0.99793
3565.40067	0.99857
3563.34687	0.99881
3561.29306	0.9986
3559.23926	0.99842
3557.18546	0.99878
3555.13166	0.99973
3553.07786	1.00048
3551.02405	1.00002
3548.97025	0.99904
3546.91645	0.99899
3544.86265	0.99977
3542.80884	1.00009
3540.75504	0.99992
3538.70124	0.99986
3536.64744	0.99991
3534.59364	0.99992
3532.53983	0.99983
3530.48603	0.99977
3528.43223	1.00003
3526.37843	1.00043
3524.32462	1.00057
3522.27082	1.00028
3520.21702	0.9998
3518.16322	0.99937
3516.10942	0.99904
3514.05561	0.99908
3512.00181	0.99922
3509.94801	0.99887
3507.89421	0.99839
3505.8404	0.99805
3503.7866	0.99749
3501.7328	0.99671
3499.679	0.99635
3497.6252	0.99685
3495.57139	0.99731
3493.51759	0.99688
3491.46379	0.99659
3489.40999	0.99697
3487.35618	0.99702
3485.30238	0.99658
3483.24858	0.99618
3481.19478	0.99597
3479.14098	0.99621
3477.08717	0.99685
3475.03337	0.99747
3472.97957	0.99788
3470.92577	0.99834
3468.87196	0.99854
3466.81816	0.99818
3464.76436	0.99837
3462.71056	0.99947
3460.65676	1.00009
3458.60295	0.99995
3456.54915	1.00041
3454.49535	1.00125
3452.44155	1.00125
3450.38774	1.0009
3448.33394	1.00085
3446.28014	1.0009
3444.22634	1.001
3442.17254	1.00116
3440.11873	1.00127
3438.06493	1.00133
3436.01113	1.00133
3433.95733	1.00124
3431.90352	1.00117
3429.84972	1.00104
3427.79592	1.00059
3425.74212	1.00005
3423.68832	0.99987
3421.63451	0.99993
3419.58071	0.99976
3417.52691	0.99933
3415.47311	0.99889
3413.4193	0.9984
3411.3655	0.99802
3409.3117	0.9979
3407.2579	0.99793
3405.2041	0.99778
3403.15029	0.9973
3401.09649	0.99699
3399.04269	0.99726
3396.98889	0.99782
3394.93508	0.99809
3392.88128	0.99777
3390.82748	0.9971
3388.77368	0.9969
3386.71988	0.99738
3384.66607	0.99803
3382.61227	0.99852
3380.55847	0.99863
3378.50467	0.99834
3376.45086	0.99829
3374.39706	0.99889
3372.34326	0.99954
3370.28946	1.00003
3368.23566	1.00053
3366.18185	1.0008
3364.12805	1.00065
3362.07425	1.00029
3360.02045	1.00035
3357.96664	1.00075
3355.91284	1.00096
3353.85904	1.00098
3351.80524	1.00082
3349.75144	1.00038
3347.69763	1.00036
3345.64383	1.00095
3343.59003	1.0012
3341.53623	1.00092
3339.48242	1.00046
3337.42862	1.00007
3335.37482	1.00009
3333.32102	1.00032
3331.26722	1.00021
3329.21341	0.99987
3327.15961	0.99965
3325.10581	0.99928
3323.05201	0.99883
3320.9982	0.99866
