Numero de onda	Bis2 hidroxiet tereftalato.1.dpt
3996.69914	1.00329
3994.64534	1.0034
3992.59153	1.00314
3990.53773	1.00231
3988.48393	1.00156
3986.43013	1.00124
3984.37632	1.0012
3982.32252	1.00108
3980.26872	1.00082
3978.21492	1.00058
3976.16112	1.00042
3974.10731	1.00042
3972.05351	1.0007
3969.99971	1.00099
3967.94591	1.00083
3965.8921	1.00045
3963.8383	1.0004
3961.7845	1.00042
3959.7307	1.00026
3957.6769	1.00014
3955.62309	1.00016
3953.56929	1.00031
3951.51549	1.00029
3949.46169	1.00015
3947.40788	1.00018
3945.35408	1.0
3943.30028	0.99963
3941.24648	0.99937
3939.19268	0.99908
3937.13887	0.99873
3935.08507	0.99831
3933.03127	0.99809
3930.97747	0.99851
3928.92366	0.99911
3926.86986	0.99954
3924.81606	0.99999
3922.76226	1.0
3920.70845	0.99952
3918.65465	0.99892
3916.60085	0.99861
3914.54705	0.99861
3912.49325	0.99855
3910.43944	0.99831
3908.38564	0.99797
3906.33184	0.99784
3904.27804	0.99821
3902.22423	0.99855
3900.17043	0.99859
3898.11663	0.99839
3896.06283	0.99803
3894.00903	0.99792
3891.95522	0.99848
3889.90142	0.99893
3887.84762	0.99865
3885.79382	0.99891
3883.74001	0.99965
3881.68621	0.9998
3879.63241	0.99946
3877.57861	0.99864
3875.52481	0.998
3873.471	0.99805
3871.4172	0.99876
3869.3634	0.99978
3867.3096	0.99971
3865.25579	0.99893
3863.20199	0.99881
3861.14819	0.99904
3859.09439	0.999
3857.04059	0.99856
3854.98678	0.99805
3852.93298	0.99853
3850.87918	0.99918
3848.82538	0.99897
3846.77157	0.9984
3844.71777	0.998
3842.66397	0.99801
3840.61017	0.99795
3838.55637	0.99798
3836.50256	0.99831
3834.44876	0.99839
3832.39496	0.99842
3830.34116	0.99838
3828.28735	0.99801
3826.23355	0.99769
3824.17975	0.99747
3822.12595	0.99751
3820.07215	0.99842
3818.01834	0.99915
3815.96454	0.99913
3813.91074	0.99866
3811.85694	0.99809
3809.80313	0.99773
3807.74933	0.99786
3805.69553	0.99826
3803.64173	0.99828
3801.58793	0.99819
3799.53412	0.99801
3797.48032	0.99788
3795.42652	0.99796
3793.37272	0.99782
3791.31891	0.99765
3789.26511	0.99776
3787.21131	0.99804
3785.15751	0.99839
3783.10371	0.9986
3781.0499	0.99865
3778.9961	0.99865
3776.9423	0.99857
3774.8885	0.99836
3772.83469	0.9979
3770.78089	0.99738
3768.72709	0.99726
3766.67329	0.99731
3764.61949	0.99742
3762.56568	0.99772
3760.51188	0.99817
3758.45808	0.99822
3756.40428	0.99746
3754.35047	0.99668
3752.29667	0.99679
3750.24287	0.99807
3748.18907	0.99893
3746.13527	0.99908
3744.08146	0.99976
3742.02766	1.0
3739.97386	0.99935
3737.92006	0.99891
3735.86625	0.99898
3733.81245	0.99928
3731.75865	0.99951
3729.70485	0.99945
3727.65105	0.99937
3725.59724	0.99943
3723.54344	0.99918
3721.48964	0.9989
3719.43584	0.99898
3717.38203	0.99894
3715.32823	0.99876
3713.27443	0.99857
3711.22063	0.9986
3709.16683	0.99888
3707.11302	0.99872
3705.05922	0.99816
3703.00542	0.99788
3700.95162	0.99811
3698.89781	0.99825
3696.84401	0.99826
3694.79021	0.99825
3692.73641	0.99811
3690.68261	0.99807
3688.6288	0.99816
3686.575	0.99808
3684.5212	0.99822
3682.4674	0.99855
3680.41359	0.99867
3678.35979	0.99836
3676.30599	0.99804
3674.25219	0.99864
3672.19839	0.99887
3670.14458	0.99838
3668.09078	0.99835
3666.03698	0.9985
3663.98318	0.99843
3661.92937	0.99825
3659.87557	0.99799
3657.82177	0.99784
3655.76797	0.998
3653.71417	0.99823
3651.66036	0.99855
3649.60656	0.99916
3647.55276	0.99927
3645.49896	0.99868
3643.44515	0.99803
3641.39135	0.99753
3639.33755	0.9974
3637.28375	0.99768
3635.22995	0.99784
3633.17614	0.99748
3631.12234	0.99703
3629.06854	0.99741
3627.01474	0.99767
3624.96093	0.9969
3622.90713	0.99616
3620.85333	0.99603
3618.79953	0.99648
3616.74573	0.99672
3614.69192	0.9962
3612.63812	0.99552
3610.58432	0.99537
3608.53052	0.99535
3606.47671	0.99494
3604.42291	0.99452
3602.36911	0.99428
3600.31531	0.99424
3598.26151	0.99422
3596.2077	0.99384
3594.1539	0.99302
3592.1001	0.99207
3590.0463	0.99133
3587.99249	0.99076
3585.93869	0.9901
3583.88489	0.98944
3581.83109	0.98905
3579.77728	0.98885
3577.72348	0.98851
3575.66968	0.98782
3573.61588	0.98713
3571.56208	0.98668
3569.50827	0.98642
3567.45447	0.98616
3565.40067	0.98535
3563.34687	0.9842
3561.29306	0.98312
3559.23926	0.98207
3557.18546	0.98104
3555.13166	0.97986
3553.07786	0.97864
