Numero de onda	Muestra 21
3996.69914	0.98873
3994.64534	0.98866
3992.59153	0.98859
3990.53773	0.98858
3988.48393	0.98845
3986.43013	0.9883
3984.37632	0.98809
3982.32252	0.98795
3980.26872	0.98797
3978.21492	0.98789
3976.16112	0.98804
3974.10731	0.9884
3972.05351	0.98855
3969.99971	0.98861
3967.94591	0.98857
3965.8921	0.98845
3963.8383	0.98861
3961.7845	0.98903
3959.7307	0.98924
3957.6769	0.98901
3955.62309	0.98866
3953.56929	0.98844
3951.51549	0.98853
3949.46169	0.98884
3947.40788	0.98888
3945.35408	0.98865
3943.30028	0.98854
3941.24648	0.98858
3939.19268	0.98853
3937.13887	0.98877
3935.08507	0.9894
3933.03127	0.98935
3930.97747	0.98877
3928.92366	0.98863
3926.86986	0.98875
3924.81606	0.98864
3922.76226	0.98849
3920.70845	0.98889
3918.65465	0.98943
3916.60085	0.98938
3914.54705	0.98902
3912.49325	0.98876
3910.43944	0.98857
3908.38564	0.98848
3906.33184	0.98888
3904.27804	0.98959
3902.22423	0.98972
3900.17043	0.98938
3898.11663	0.98904
3896.06283	0.98875
3894.00903	0.98858
3891.95522	0.98868
3889.90142	0.98884
3887.84762	0.98902
3885.79382	0.98921
3883.74001	0.98905
3881.68621	0.9888
3879.63241	0.98869
3877.57861	0.98867
3875.52481	0.98873
3873.471	0.98879
3871.4172	0.98881
3869.3634	0.98877
3867.3096	0.98888
3865.25579	0.98903
3863.20199	0.98884
3861.14819	0.98855
3859.09439	0.98866
3857.04059	0.98916
3854.98678	0.98941
3852.93298	0.98877
3850.87918	0.98822
3848.82538	0.98817
3846.77157	0.98828
3844.71777	0.9885
3842.66397	0.98879
3840.61017	0.98943
3838.55637	0.98998
3836.50256	0.98951
3834.44876	0.98892
3832.39496	0.98882
3830.34116	0.98889
3828.28735	0.98924
3826.23355	0.98954
3824.17975	0.98914
3822.12595	0.98847
3820.07215	0.98855
3818.01834	0.98912
3815.96454	0.98937
3813.91074	0.98935
3811.85694	0.98921
3809.80313	0.98914
3807.74933	0.98946
3805.69553	0.98976
3803.64173	0.98941
3801.58793	0.98883
3799.53412	0.98864
3797.48032	0.98848
3795.42652	0.98808
3793.37272	0.98792
3791.31891	0.98817
3789.26511	0.98856
3787.21131	0.98866
3785.15751	0.9885
3783.10371	0.98869
3781.0499	0.98939
3778.9961	0.98987
3776.9423	0.98979
3774.8885	0.98959
3772.83469	0.98949
3770.78089	0.98924
3768.72709	0.9888
3766.67329	0.9886
3764.61949	0.9886
3762.56568	0.9888
3760.51188	0.9891
3758.45808	0.98925
3756.40428	0.98912
3754.35047	0.98876
3752.29667	0.98846
3750.24287	0.98837
3748.18907	0.98839
3746.13527	0.98876
3744.08146	0.98924
3742.02766	0.98913
3739.97386	0.98897
3737.92006	0.98892
