Numero de onda	PCL.0.dpt
3996.69914	0.99662
3994.64534	0.99648
3992.59153	0.99652
3990.53773	0.9967
3988.48393	0.99667
3986.43013	0.99645
3984.37632	0.99644
3982.32252	0.99669
3980.26872	0.99678
3978.21492	0.9966
3976.16112	0.99648
3974.10731	0.99654
3972.05351	0.99651
3969.99971	0.99643
3967.94591	0.99655
3965.8921	0.99673
3963.8383	0.99687
3961.7845	0.99696
3959.7307	0.997
3957.6769	0.99705
3955.62309	0.99712
3953.56929	0.99705
3951.51549	0.99683
3949.46169	0.99667
3947.40788	0.99667
3945.35408	0.99665
3943.30028	0.99644
3941.24648	0.9964
3939.19268	0.99677
3937.13887	0.99702
3935.08507	0.99687
3933.03127	0.99673
3930.97747	0.99672
3928.92366	0.99669
3926.86986	0.9967
3924.81606	0.99657
3922.76226	0.99639
3920.70845	0.99641
3918.65465	0.99646
3916.60085	0.99632
3914.54705	0.99632
3912.49325	0.99664
3910.43944	0.9969
3908.38564	0.99693
3906.33184	0.99688
3904.27804	0.99689
3902.22423	0.99704
3900.17043	0.9973
3898.11663	0.99732
3896.06283	0.99703
3894.00903	0.99675
3891.95522	0.99657
3889.90142	0.99648
3887.84762	0.99646
3885.79382	0.99658
3883.74001	0.99682
3881.68621	0.99694
3879.63241	0.99701
3877.57861	0.99702
3875.52481	0.99692
3873.471	0.99681
3871.4172	0.9968
3869.3634	0.99688
3867.3096	0.99666
3865.25579	0.99609
3863.20199	0.99596
3861.14819	0.99638
3859.09439	0.99652
3857.04059	0.99643
3854.98678	0.99673
3852.93298	0.9975
3850.87918	0.99759
3848.82538	0.99715
3846.77157	0.99686
3844.71777	0.99662
3842.66397	0.9964
3840.61017	0.99636
3838.55637	0.99642
3836.50256	0.99652
3834.44876	0.99658
3832.39496	0.99657
3830.34116	0.99671
3828.28735	0.99678
3826.23355	0.99666
3824.17975	0.99662
3822.12595	0.99644
3820.07215	0.99608
3818.01834	0.996
3815.96454	0.99632
3813.91074	0.99672
3811.85694	0.99687
3809.80313	0.99695
3807.74933	0.9972
3805.69553	0.99736
3803.64173	0.99707
3801.58793	0.99655
3799.53412	0.99626
3797.48032	0.99629
3795.42652	0.99649
3793.37272	0.99671
3791.31891	0.99687
3789.26511	0.99695
3787.21131	0.99687
3785.15751	0.99648
3783.10371	0.99613
3781.0499	0.99632
3778.9961	0.99682
3776.9423	0.99708
3774.8885	0.99699
3772.83469	0.99682
3770.78089	0.99677
3768.72709	0.99676
3766.67329	0.99661
3764.61949	0.99655
3762.56568	0.99661
3760.51188	0.99653
3758.45808	0.99641
3756.40428	0.99646
3754.35047	0.99636
3752.29667	0.99609
3750.24287	0.9961
3748.18907	0.99637
3746.13527	0.99661
3744.08146	0.99666
3742.02766	0.9967
3739.97386	0.99665
3737.92006	0.99616
3735.86625	0.99573
