Numero de onda	PET.1.dpt
3996.69914	1.00036
3994.64534	1.00032
3992.59153	1.00018
3990.53773	0.99996
3988.48393	0.99983
3986.43013	0.99965
3984.37632	0.99951
3982.32252	0.99963
3980.26872	0.99991
3978.21492	1.0001
3976.16112	1.00012
3974.10731	0.99999
3972.05351	1.00005
3969.99971	1.00024
3967.94591	1.00018
3965.8921	1.00016
3963.8383	1.0003
3961.7845	1.00032
3959.7307	1.00039
3957.6769	1.00062
3955.62309	1.00082
3953.56929	1.00085
3951.51549	1.00072
3949.46169	1.00059
3947.40788	1.00052
3945.35408	1.00061
3943.30028	1.00077
3941.24648	1.00055
3939.19268	1.0001
3937.13887	0.99986
3935.08507	0.99998
3933.03127	1.00044
3930.97747	1.00079
3928.92366	1.00082
3926.86986	1.001
3924.81606	1.00143
3922.76226	1.00159
3920.70845	1.00139
3918.65465	1.00096
3916.60085	1.00048
3914.54705	1.00044
3912.49325	1.00067
3910.43944	1.00067
3908.38564	1.00061
3906.33184	1.00085
3904.27804	1.00128
3902.22423	1.0013
3900.17043	1.00092
3898.11663	1.00055
3896.06283	1.00042
3894.00903	1.00059
3891.95522	1.00074
3889.90142	1.00038
3887.84762	1.0001
3885.79382	1.00054
3883.74001	1.00113
3881.68621	1.00133
3879.63241	1.001
3877.57861	1.00043
3875.52481	1.0003
3873.471	1.00062
3871.4172	1.00135
3869.3634	1.00184
3867.3096	1.00133
3865.25579	1.00087
3863.20199	1.00098
3861.14819	1.00101
3859.09439	1.0011
3857.04059	1.00153
3854.98678	1.00204
3852.93298	1.00211
3850.87918	1.00168
3848.82538	1.00113
3846.77157	1.00077
3844.71777	1.00079
3842.66397	1.00087
3840.61017	1.00101
3838.55637	1.00144
3836.50256	1.00166
3834.44876	1.00151
3832.39496	1.0012
3830.34116	1.00086
3828.28735	1.00057
3826.23355	1.00044
3824.17975	1.00055
3822.12595	1.00076
3820.07215	1.00116
3818.01834	1.00155
3815.96454	1.00122
3813.91074	1.00016
3811.85694	0.99965
3809.80313	0.99988
3807.74933	1.00029
3805.69553	1.0005
3803.64173	1.0006
3801.58793	1.00052
3799.53412	1.00019
3797.48032	1.00026
3795.42652	1.00044
3793.37272	1.00025
3791.31891	1.00017
3789.26511	1.00051
3787.21131	1.00115
3785.15751	1.00156
3783.10371	1.00139
3781.0499	1.00112
3778.9961	1.00103
3776.9423	1.00093
3774.8885	1.00078
3772.83469	1.00048
3770.78089	1.00016
3768.72709	1.00026
3766.67329	1.00064
3764.61949	1.0009
3762.56568	1.00116
3760.51188	1.00167
3758.45808	1.00179
3756.40428	1.00117
3754.35047	1.00066
3752.29667	1.0006
3750.24287	1.00071
3748.18907	1.00094
3746.13527	1.00152
3744.08146	1.00202
3742.02766	1.00188
3739.97386	1.00152
3737.92006	1.00112
3735.86625	1.00085
3733.81245	1.00115
3731.75865	1.00148
3729.70485	1.00132
3727.65105	1.00129
3725.59724	1.00155
3723.54344	1.00141
3721.48964	1.00107
3719.43584	1.00111
3717.38203	1.00121
3715.32823	1.00132
3713.27443	1.0015
3711.22063	1.00142
3709.16683	1.00104
3707.11302	1.00057
3705.05922	1.00021
3703.00542	1.00018
3700.95162	1.00059
3698.89781	1.00088
3696.84401	1.00062
3694.79021	1.00035
3692.73641	1.00076
3690.68261	1.00144
3688.6288	1.00106
3686.575	1.00013
3684.5212	0.99998
3682.4674	1.00032
3680.41359	1.00063
3678.35979	1.00081
3676.30599	1.00102
3674.25219	1.00143
3672.19839	1.00166
3670.14458	1.00152
3668.09078	1.00103
3666.03698	1.00047
3663.98318	1.00016
3661.92937	1.00008
3659.87557	1.00016
3657.82177	1.00063
3655.76797	1.0011
3653.71417	1.00124
3651.66036	1.0016
3649.60656	1.0022
3647.55276	1.0021
3645.49896	1.00157
3643.44515	1.00126
3641.39135	1.00093
3639.33755	1.00048
3637.28375	1.00033
3635.22995	1.00032
3633.17614	1.00016
3631.12234	1.00051
3629.06854	1.00138
3627.01474	1.00098
3624.96093	1.00004
3622.90713	0.99991
3620.85333	1.00029
3618.79953	1.0007
3616.74573	1.00099
3614.69192	1.00122
3612.63812	1.00136
3610.58432	1.00139
3608.53052	1.00131
3606.47671	1.00095
3604.42291	1.00074
3602.36911	1.00087
3600.31531	1.00094
3598.26151	1.00115
3596.2077	1.00163
3594.1539	1.00153
3592.1001	1.00095
3590.0463	1.00088
3587.99249	1.00103
3585.93869	1.0006
3583.88489	1.00015
3581.83109	1.0001
3579.77728	1.0002
3577.72348	1.00038
3575.66968	1.00047
3573.61588	1.00019
3571.56208	0.99995
3569.50827	1.00053
3567.45447	1.00152
3565.40067	1.00145
3563.34687	1.00085
3561.29306	1.00042
3559.23926	0.99995
3557.18546	0.99972
3555.13166	0.99992
3553.07786	1.0001
3551.02405	0.99991
3548.97025	0.99981
3546.91645	1.00015
3544.86265	1.00042
3542.80884	1.00009
3540.75504	0.99962
3538.70124	0.99946
3536.64744	0.99935
3534.59364	0.99925
3532.53983	0.99944
3530.48603	0.99976
3528.43223	1.00004
3526.37843	1.00027
3524.32462	1.00023
3522.27082	0.99986
3520.21702	0.99948
3518.16322	0.99924
3516.10942	0.99914
3514.05561	0.99908
3512.00181	0.99907
3509.94801	0.99922
3507.89421	0.99918
3505.8404	0.99901
3503.7866	0.99926
3501.7328	0.99968
3499.679	0.9995
3497.6252	0.99912
3495.57139	0.99921
3493.51759	0.99941
3491.46379	0.99933
3489.40999	0.99914
3487.35618	0.99914
3485.30238	0.99942
3483.24858	0.99959
3481.19478	0.99923
3479.14098	0.99894
3477.08717	0.99921
3475.03337	0.99945
3472.97957	0.99935
3470.92577	0.99918
3468.87196	0.99915
3466.81816	0.99928
3464.76436	0.99962
3462.71056	1.00003
3460.65676	1.00009
3458.60295	0.99963
3456.54915	0.99905
3454.49535	0.99887
3452.44155	0.99902
3450.38774	0.9992
3448.33394	0.99928
3446.28014	0.99903
3444.22634	0.99869
3442.17254	0.99857
3440.11873	0.99839
3438.06493	0.99803
3436.01113	0.99783
3433.95733	0.99789
3431.90352	0.9981
3429.84972	0.99822
3427.79592	0.99805
3425.74212	0.99778
3423.68832	0.99778
3421.63451	0.99801
3419.58071	0.99809
3417.52691	0.99803
3415.47311	0.99798
3413.4193	0.99796
3411.3655	0.99799
3409.3117	0.99819
3407.2579	0.99852
3405.2041	0.99873
3403.15029	0.99869
3401.09649	0.99874
3399.04269	0.99911
3396.98889	0.99942
3394.93508	0.9996
3392.88128	0.99959
3390.82748	0.99928
3388.77368	0.99908
3386.71988	0.99915
3384.66607	0.99944
