Numero de onda	PET_BONAFO.0.dpt
3996.69914	0.97646
3994.64534	0.97651
3992.59153	0.97653
3990.53773	0.97658
3988.48393	0.97655
3986.43013	0.97621
3984.37632	0.97581
3982.32252	0.97583
3980.26872	0.97619
3978.21492	0.97642
3976.16112	0.9764
3974.10731	0.97623
3972.05351	0.97608
3969.99971	0.97616
3967.94591	0.97632
3965.8921	0.97623
3963.8383	0.97598
3961.7845	0.97593
3959.7307	0.97609
3957.6769	0.97617
3955.62309	0.97619
3953.56929	0.97606
3951.51549	0.97578
3949.46169	0.9758
3947.40788	0.97613
3945.35408	0.97631
3943.30028	0.97621
3941.24648	0.97603
3939.19268	0.97604
3937.13887	0.9761
3935.08507	0.97596
3933.03127	0.97571
3930.97747	0.97565
3928.92366	0.97577
3926.86986	0.9757
3924.81606	0.97565
3922.76226	0.97597
3920.70845	0.97615
3918.65465	0.97588
3916.60085	0.97563
3914.54705	0.97564
3912.49325	0.97584
3910.43944	0.97611
3908.38564	0.97626
3906.33184	0.97634
3904.27804	0.97637
3902.22423	0.97625
3900.17043	0.97622
3898.11663	0.9762
3896.06283	0.97601
3894.00903	0.97601
3891.95522	0.97631
3889.90142	0.97653
3887.84762	0.97648
3885.79382	0.97634
3883.74001	0.97629
3881.68621	0.97608
3879.63241	0.97582
3877.57861	0.97593
3875.52481	0.97617
3873.471	0.97636
3871.4172	0.97643
3869.3634	0.97638
3867.3096	0.97645
3865.25579	0.97654
3863.20199	0.97645
3861.14819	0.97641
3859.09439	0.97641
3857.04059	0.97629
3854.98678	0.9763
3852.93298	0.9765
3850.87918	0.97637
3848.82538	0.97605
3846.77157	0.97577
3844.71777	0.97575
3842.66397	0.97603
3840.61017	0.97623
3838.55637	0.97622
3836.50256	0.97619
3834.44876	0.9762
3832.39496	0.9764
3830.34116	0.97681
3828.28735	0.97705
3826.23355	0.97679
3824.17975	0.97632
3822.12595	0.97617
3820.07215	0.97635
3818.01834	0.9765
3815.96454	0.97671
3813.91074	0.97676
3811.85694	0.97641
3809.80313	0.9761
3807.74933	0.97629
3805.69553	0.97671
3803.64173	0.97674
3801.58793	0.97663
3799.53412	0.97656
3797.48032	0.9764
3795.42652	0.97641
3793.37272	0.9765
3791.31891	0.97636
3789.26511	0.97625
3787.21131	0.97624
3785.15751	0.97612
3783.10371	0.97603
3781.0499	0.97599
3778.9961	0.97574
3776.9423	0.97566
3774.8885	0.97592
3772.83469	0.97608
3770.78089	0.97608
3768.72709	0.97595
3766.67329	0.97583
3764.61949	0.976
3762.56568	0.97636
3760.51188	0.97674
3758.45808	0.97689
3756.40428	0.97674
3754.35047	0.97636
3752.29667	0.97562
3750.24287	0.97539
3748.18907	0.97618
3746.13527	0.97678
3744.08146	0.9768
3742.02766	0.97685
3739.97386	0.97704
3737.92006	0.97709
3735.86625	0.9768
3733.81245	0.97636
3731.75865	0.97623
3729.70485	0.97627
3727.65105	0.97641
3725.59724	0.97656
3723.54344	0.97665
3721.48964	0.97681
3719.43584	0.97689
3717.38203	0.97673
3715.32823	0.97663
3713.27443	0.9766
3711.22063	0.97622
3709.16683	0.97583
3707.11302	0.97601
3705.05922	0.97637
3703.00542	0.97634
3700.95162	0.97613
3698.89781	0.97633
3696.84401	0.97652
3694.79021	0.97636
3692.73641	0.97626
3690.68261	0.97627
3688.6288	0.97584
3686.575	0.97533
3684.5212	0.97546
3682.4674	0.97607
3680.41359	0.97667
3678.35979	0.97679
3676.30599	0.97649
3674.25219	0.9763
3672.19839	0.97605
3670.14458	0.97568
3668.09078	0.97567
3666.03698	0.97557
3663.98318	0.97501
3661.92937	0.97455
3659.87557	0.97457
3657.82177	0.97472
3655.76797	0.9747
3653.71417	0.97458
3651.66036	0.9747
3649.60656	0.97497
3647.55276	0.97485
3645.49896	0.97486
3643.44515	0.97494
3641.39135	0.97455
3639.33755	0.97417
3637.28375	0.97425
3635.22995	0.97444
3633.17614	0.97448
3631.12234	0.97451
3629.06854	0.97456
3627.01474	0.97443
3624.96093	0.97442
3622.90713	0.97452
3620.85333	0.97424
3618.79953	0.97375
3616.74573	0.97366
3614.69192	0.9738
3612.63812	0.97395
3610.58432	0.97426
3608.53052	0.97447
3606.47671	0.97438
3604.42291	0.97428
3602.36911	0.97423
3600.31531	0.97427
3598.26151	0.97449
3596.2077	0.97471
3594.1539	0.97477
3592.1001	0.97464
