Numero de onda	PLA.1.dpt
3996.69914	0.99386
3994.64534	0.9939
3992.59153	0.99399
3990.53773	0.99392
3988.48393	0.99362
3986.43013	0.99343
3984.37632	0.9935
3982.32252	0.99374
3980.26872	0.99379
3978.21492	0.9937
3976.16112	0.99375
3974.10731	0.99363
3972.05351	0.99337
3969.99971	0.99346
3967.94591	0.99372
3965.8921	0.99391
3963.8383	0.99427
3961.7845	0.99462
3959.7307	0.99447
3957.6769	0.99399
3955.62309	0.99377
3953.56929	0.99378
3951.51549	0.99373
3949.46169	0.99397
3947.40788	0.99429
3945.35408	0.9941
3943.30028	0.99377
3941.24648	0.99365
3939.19268	0.99367
3937.13887	0.99392
3935.08507	0.99431
3933.03127	0.99441
3930.97747	0.99414
3928.92366	0.99397
3926.86986	0.99392
3924.81606	0.99375
3922.76226	0.99361
3920.70845	0.99362
3918.65465	0.99368
3916.60085	0.99373
3914.54705	0.99362
3912.49325	0.99355
3910.43944	0.99381
3908.38564	0.99401
3906.33184	0.99395
3904.27804	0.99402
3902.22423	0.99427
3900.17043	0.99424
3898.11663	0.99378
3896.06283	0.99347
3894.00903	0.99374
3891.95522	0.99417
3889.90142	0.99431
3887.84762	0.99437
3885.79382	0.99434
3883.74001	0.99404
3881.68621	0.99377
3879.63241	0.99384
3877.57861	0.99415
3875.52481	0.99437
3873.471	0.99424
3871.4172	0.99385
3869.3634	0.99359
3867.3096	0.99369
3865.25579	0.9938
3863.20199	0.99368
3861.14819	0.99378
3859.09439	0.9942
3857.04059	0.99451
3854.98678	0.99452
3852.93298	0.9941
3850.87918	0.99374
3848.82538	0.99354
3846.77157	0.9933
3844.71777	0.99335
3842.66397	0.99374
3840.61017	0.99386
3838.55637	0.99359
3836.50256	0.99351
3834.44876	0.99361
3832.39496	0.99361
3830.34116	0.99365
3828.28735	0.99377
3826.23355	0.99384
3824.17975	0.99372
3822.12595	0.99342
3820.07215	0.9935
3818.01834	0.9941
3815.96454	0.9944
3813.91074	0.99431
3811.85694	0.99439
3809.80313	0.99444
3807.74933	0.9941
3805.69553	0.99368
3803.64173	0.99372
3801.58793	0.99393
3799.53412	0.99398
3797.48032	0.99416
3795.42652	0.99435
3793.37272	0.99415
3791.31891	0.9938
3789.26511	0.99366
3787.21131	0.99369
3785.15751	0.99374
3783.10371	0.99385
3781.0499	0.994
3778.9961	0.99411
3776.9423	0.99403
3774.8885	0.99382
3772.83469	0.99379
3770.78089	0.99407
3768.72709	0.99429
3766.67329	0.99422
3764.61949	0.99411
3762.56568	0.99406
3760.51188	0.99407
3758.45808	0.99412
3756.40428	0.99399
3754.35047	0.99378
3752.29667	0.99385
3750.24287	0.99408
3748.18907	0.99405
3746.13527	0.99394
3744.08146	0.99415
3742.02766	0.99446
3739.97386	0.99476
3737.92006	0.99517
3735.86625	0.99531
3733.81245	0.99489
3731.75865	0.99414
3729.70485	0.99354
3727.65105	0.99358
3725.59724	0.99392
3723.54344	0.99391
3721.48964	0.99376
3719.43584	0.99383
3717.38203	0.99404
3715.32823	0.99418
3713.27443	0.99403
3711.22063	0.99358
3709.16683	0.99337
3707.11302	0.99358
3705.05922	0.99391
3703.00542	0.9942
3700.95162	0.99424
3698.89781	0.99416
3696.84401	0.99447
3694.79021	0.99485
3692.73641	0.99468
3690.68261	0.99431
3688.6288	0.994
3686.575	0.99361
3684.5212	0.99338
3682.4674	0.9934
3680.41359	0.99351
3678.35979	0.99346
3676.30599	0.99324
3674.25219	0.99319
3672.19839	0.99327
3670.14458	0.99306
3668.09078	0.99268
3666.03698	0.99256
3663.98318	0.99257
3661.92937	0.99263
3659.87557	0.99263
3657.82177	0.99252
3655.76797	0.99266
3653.71417	0.99301
3651.66036	0.99322
3649.60656	0.99327
3647.55276	0.9931
