Numero de onda	POLIETILENO.3.dpt
3996.69914	0.98894
3994.64534	0.98892
3992.59153	0.98901
3990.53773	0.98919
3988.48393	0.98927
3986.43013	0.98915
3984.37632	0.989
3982.32252	0.98899
3980.26872	0.98913
3978.21492	0.98913
3976.16112	0.98897
3974.10731	0.98896
3972.05351	0.98907
3969.99971	0.98897
3967.94591	0.98878
3965.8921	0.98893
3963.8383	0.98929
3961.7845	0.98932
3959.7307	0.98922
3957.6769	0.98913
3955.62309	0.98891
3953.56929	0.98886
3951.51549	0.98921
3949.46169	0.98951
3947.40788	0.98902
3945.35408	0.98813
3943.30028	0.98789
3941.24648	0.98834
3939.19268	0.98875
3937.13887	0.9889
3935.08507	0.98887
3933.03127	0.9888
3930.97747	0.98891
3928.92366	0.98919
3926.86986	0.98932
3924.81606	0.98906
3922.76226	0.98869
3920.70845	0.98876
3918.65465	0.98921
3916.60085	0.98932
3914.54705	0.98899
3912.49325	0.98875
3910.43944	0.98852
3908.38564	0.98829
3906.33184	0.98837
3904.27804	0.98884
3902.22423	0.98928
3900.17043	0.98931
3898.11663	0.989
3896.06283	0.98868
3894.00903	0.98865
3891.95522	0.98893
3889.90142	0.98917
3887.84762	0.98913
3885.79382	0.98909
3883.74001	0.98918
3881.68621	0.98929
3879.63241	0.98939
3877.57861	0.98933
3875.52481	0.98907
3873.471	0.98873
3871.4172	0.98841
3869.3634	0.98831
3867.3096	0.98863
3865.25579	0.98896
3863.20199	0.98898
3861.14819	0.98896
3859.09439	0.98914
3857.04059	0.98926
3854.98678	0.9893
3852.93298	0.98941
3850.87918	0.98927
3848.82538	0.98888
3846.77157	0.98859
3844.71777	0.98849
3842.66397	0.98845
3840.61017	0.98871
3838.55637	0.9893
3836.50256	0.98953
3834.44876	0.98953
3832.39496	0.98966
3830.34116	0.98962
3828.28735	0.98954
3826.23355	0.98961
3824.17975	0.98956
3822.12595	0.98948
3820.07215	0.98956
3818.01834	0.98973
3815.96454	0.99028
3813.91074	0.9906
3811.85694	0.99022
3809.80313	0.9898
3807.74933	0.98959
3805.69553	0.98948
3803.64173	0.9895
3801.58793	0.98952
3799.53412	0.98947
3797.48032	0.98969
3795.42652	0.99008
3793.37272	0.99033
3791.31891	0.99036
3789.26511	0.99007
3787.21131	0.98964
3785.15751	0.98935
3783.10371	0.98925
3781.0499	0.98924
3778.9961	0.98943
3776.9423	0.98947
3774.8885	0.98915
3772.83469	0.98902
3770.78089	0.98919
3768.72709	0.98939
3766.67329	0.98979
3764.61949	0.99027
3762.56568	0.99027
3760.51188	0.99013
3758.45808	0.99037
3756.40428	0.99051
3754.35047	0.9905
3752.29667	0.99072
3750.24287	0.99087
3748.18907	0.99041
3746.13527	0.99015
3744.08146	0.99068
3742.02766	0.99096
3739.97386	0.99082
3737.92006	0.99077
3735.86625	0.99067
3733.81245	0.99074
3731.75865	0.99085
3729.70485	0.99066
3727.65105	0.9903
3725.59724	0.98992
3723.54344	0.98986
3721.48964	0.99008
3719.43584	0.99
3717.38203	0.98952
3715.32823	0.98912
3713.27443	0.98917
3711.22063	0.98952
3709.16683	0.98964
3707.11302	0.98938
3705.05922	0.98923
3703.00542	0.98957
3700.95162	0.9899
3698.89781	0.98988
3696.84401	0.98973
3694.79021	0.98939
3692.73641	0.98901
3690.68261	0.98916
3688.6288	0.99001
3686.575	0.99038
3684.5212	0.99001
3682.4674	0.98956
3680.41359	0.9895
3678.35979	0.98962
3676.30599	0.98951
3674.25219	0.98959
3672.19839	0.98979
3670.14458	0.98997
3668.09078	0.99011
3666.03698	0.98975
3663.98318	0.98906
3661.92937	0.98876
3659.87557	0.98905
3657.82177	0.98943
3655.76797	0.98958
3653.71417	0.98959
3651.66036	0.98983
3649.60656	0.98982
3647.55276	0.98917
3645.49896	0.9889
3643.44515	0.9889
3641.39135	0.98904
3639.33755	0.98917
3637.28375	0.98902
3635.22995	0.98885
3633.17614	0.98888
3631.12234	0.98911
3629.06854	0.98957
3627.01474	0.98972
3624.96093	0.98947
3622.90713	0.98935
3620.85333	0.98976
3618.79953	0.99048
3616.74573	0.9906
3614.69192	0.99044
3612.63812	0.9905
3610.58432	0.99039
3608.53052	0.98988
3606.47671	0.98917
3604.42291	0.98859
3602.36911	0.9885
3600.31531	0.9888
3598.26151	0.98899
3596.2077	0.98909
3594.1539	0.98944
3592.1001	0.98989
3590.0463	0.99018
3587.99249	0.99049
3585.93869	0.99054
3583.88489	0.99014
3581.83109	0.98986
3579.77728	0.98976
3577.72348	0.98974
3575.66968	0.99011
3573.61588	0.99064
3571.56208	0.99056
3569.50827	0.98997
3567.45447	0.98984
3565.40067	0.99051
3563.34687	0.99083
3561.29306	0.99063
3559.23926	0.99057
3557.18546	0.99065
3555.13166	0.99067
3553.07786	0.9905
3551.02405	0.99
3548.97025	0.98977
3546.91645	0.99024
3544.86265	0.99064
3542.80884	0.99034
3540.75504	0.98986
3538.70124	0.98957
3536.64744	0.98963
3534.59364	0.99
3532.53983	0.99019
3530.48603	0.9901
3528.43223	0.99003
3526.37843	0.99006
3524.32462	0.99004
3522.27082	0.98988
3520.21702	0.98968
3518.16322	0.98947
3516.10942	0.98932
3514.05561	0.98921
3512.00181	0.98927
3509.94801	0.98975
3507.89421	0.99026
3505.8404	0.99039
3503.7866	0.99017
3501.7328	0.98988
3499.679	0.98965
3497.6252	0.98947
3495.57139	0.98924
3493.51759	0.98907
3491.46379	0.98925
3489.40999	0.98936
3487.35618	0.98906
3485.30238	0.98889
3483.24858	0.98898
3481.19478	0.98909
3479.14098	0.98936
3477.08717	0.98963
3475.03337	0.98963
3472.97957	0.98953
3470.92577	0.9896
3468.87196	0.98984
3466.81816	0.98982
3464.76436	0.98946
3462.71056	0.98912
3460.65676	0.98907
3458.60295	0.98933
3456.54915	0.98956
3454.49535	0.9894
3452.44155	0.98917
3450.38774	0.98921
3448.33394	0.98938
3446.28014	0.98927
3444.22634	0.98888
3442.17254	0.9887
3440.11873	0.98862
3438.06493	0.98836
3436.01113	0.98829
3433.95733	0.98857
3431.90352	0.9886
3429.84972	0.98839
3427.79592	0.98857
3425.74212	0.98894
3423.68832	0.98897
3421.63451	0.98885
3419.58071	0.9888
3417.52691	0.98883
3415.47311	0.98889
3413.4193	0.98883
3411.3655	0.98882
3409.3117	0.98882
3407.2579	0.98866
3405.2041	0.98867
3403.15029	0.98882
3401.09649	0.98896
3399.04269	0.98917
3396.98889	0.98927
3394.93508	0.98916
3392.88128	0.98911
3390.82748	0.98909
3388.77368	0.98891
3386.71988	0.98854
3384.66607	0.9882
3382.61227	0.98809
3380.55847	0.988
3378.50467	0.98813
3376.45086	0.98862
3374.39706	0.98888
3372.34326	0.98868
3370.28946	0.98838
3368.23566	0.98818
3366.18185	0.98807
3364.12805	0.9879
3362.07425	0.98773
3360.02045	0.98778
3357.96664	0.98792
3355.91284	0.98796
3353.85904	0.98801
3351.80524	0.98801
3349.75144	0.9881
3347.69763	0.98838
3345.64383	0.98852
3343.59003	0.98866
3341.53623	0.9888
3339.48242	0.98866
3337.42862	0.98859
3335.37482	0.98868
3333.32102	0.98864
3331.26722	0.98853
3329.21341	0.98846
3327.15961	0.98852
3325.10581	0.98884
3323.05201	0.9891
3320.9982	0.98896
3318.9444	0.98866
3316.8906	0.98853
3314.8368	0.98856
3312.783	0.98877
3310.72919	0.98908
3308.67539	0.98914
3306.62159	0.98895
3304.56779	0.98872
3302.51398	0.98851
3300.46018	0.98858
3298.40638	0.98886
3296.35258	0.98882
3294.29878	0.9885
3292.24497	0.98848
3290.19117	0.98888
3288.13737	0.98915
3286.08357	0.98902
3284.02976	0.98882
3281.97596	0.98879
3279.92216	0.98884
3277.86836	0.98889
3275.81456	0.98885
3273.76075	0.98887
3271.70695	0.98914
3269.65315	0.98943
3267.59935	0.98953
3265.54554	0.98949
3263.49174	0.98928
3261.43794	0.98896
3259.38414	0.98891
3257.33034	0.98914
3255.27653	0.98938
3253.22273	0.98948
3251.16893	0.98939
3249.11513	0.98913
3247.06132	0.98898
3245.00752	0.98909
3242.95372	0.98941
3240.89992	0.98967
3238.84611	0.98965
3236.79231	0.9896
3234.73851	0.98966
3232.68471	0.98951
3230.63091	0.98935
3228.5771	0.98951
3226.5233	0.98968
3224.4695	0.98957
3222.4157	0.98943
3220.36189	0.98954
3218.30809	0.98971
3216.25429	0.98978
3214.20049	0.98993
3212.14669	0.9899
3210.09288	0.98953
3208.03908	0.98933
3205.98528	0.98942
3203.93148	0.98942
3201.87767	0.98928
3199.82387	0.9894
3197.77007	0.98981
3195.71627	0.98978
3193.66247	0.98945
3191.60866	0.98944
3189.55486	0.9896
3187.50106	0.98981
3185.44726	0.99005
3183.39345	0.99011
3181.33965	0.99
3179.28585	0.98971
3177.23205	0.98935
3175.17825	0.98917
3173.12444	0.98934
3171.07064	0.98975
3169.01684	0.99019
3166.96304	0.99036
3164.90923	0.98995
3162.85543	0.98936
3160.80163	0.98921
3158.74783	0.98943
3156.69403	0.98957
3154.64022	0.9895
3152.58642	0.98938
3150.53262	0.98951
3148.47882	0.98987
3146.42501	0.99009
3144.37121	0.99013
3142.31741	0.99013
3140.26361	0.98997
3138.20981	0.98975
3136.156	0.98983
3134.1022	0.99016
3132.0484	0.99024
3129.9946	0.99004
3127.94079	0.98993
3125.88699	0.98995
3123.83319	0.98984
3121.77939	0.98965
3119.72559	0.98971
3117.67178	0.98984
3115.61798	0.98961
3113.56418	0.98931
3111.51038	0.9894
3109.45657	0.98967
3107.40277	0.98971
3105.34897	0.98954
3103.29517	0.98937
3101.24137	0.98922
3099.18756	0.98901
3097.13376	0.98867
3095.07996	0.98829
3093.02616	0.98808
3090.97235	0.98801
3088.91855	0.98771
3086.86475	0.98713
3084.81095	0.98676
3082.75715	0.98682
3080.70334	0.98694
3078.64954	0.98686
3076.59574	0.98682
3074.54194	0.98682
3072.48813	0.98657
3070.43433	0.98623
3068.38053	0.98591
3066.32673	0.98573
3064.27293	0.98598
3062.21912	0.98628
3060.16532	0.98623
3058.11152	0.98602
3056.05772	0.98589
3054.00391	0.98577
3051.95011	0.98545
3049.89631	0.98505
3047.84251	0.98486
3045.78871	0.98466
3043.7349	0.98424
3041.6811	0.98387
3039.6273	0.98375
3037.5735	0.98372
3035.51969	0.98374
3033.46589	0.98377
3031.41209	0.98351
3029.35829	0.98305
3027.30449	0.98271
3025.25068	0.98242
3023.19688	0.98212
3021.14308	0.98199
3019.08928	0.98178
3017.03547	0.98128
3014.98167	0.98094
3012.92787	0.98097
3010.87407	0.98104
3008.82027	0.98082
3006.76646	0.98035
3004.71266	0.97987
3002.65886	0.97934
3000.60506	0.97885
2998.55125	0.97833
2996.49745	0.97759
2994.44365	0.97677
2992.38985	0.97607
2990.33605	0.97533
2988.28224	0.9744
2986.22844	0.97347
2984.17464	0.97235
2982.12084	0.97062
2980.06703	0.96825
2978.01323	0.96544
2975.95943	0.96229
2973.90563	0.95857
2971.85183	0.95406
2969.79802	0.94869
2967.74422	0.94245
2965.69042	0.9356
2963.63662	0.9287
2961.58281	0.9223
2959.52901	0.91658
2957.47521	0.91164
2955.42141	0.9077
2953.36761	0.90465
2951.3138	0.9018
2949.26	0.89785
2947.2062	0.89098
2945.1524	0.87982
2943.09859	0.86386
2941.04479	0.84297
2938.99099	0.81735
2936.93719	0.78736
2934.88339	0.753
2932.82958	0.71433
2930.77578	0.67137
2928.72198	0.62373
2926.66818	0.57072
2924.61437	0.51143
2922.56057	0.44549
2920.50677	0.37563
2918.45297	0.3111
2916.39917	0.26873
2914.34536	0.26413
2912.29156	0.29741
2910.23776	0.35271
2908.18396	0.4117
2906.13015	0.46351
2904.07635	0.50531
2902.02255	0.53851
2899.96875	0.56571
2897.91494	0.58951
2895.86114	0.61183
2893.80734	0.63382
2891.75354	0.65631
2889.69974	0.67964
2887.64593	0.70349
2885.59213	0.72725
2883.53833	0.7503
2881.48453	0.77191
2879.43072	0.79135
2877.37692	0.80769
2875.32312	0.81981
2873.26932	0.82732
2871.21552	0.831
2869.16171	0.83138
2867.10791	0.82748
2865.05411	0.81703
2863.00031	0.79765
2860.9465	0.76747
2858.8927	0.72459
2856.8389	0.66667
2854.7851	0.59045
2852.7313	0.49433
2850.67749	0.39074
2848.62369	0.31885
2846.56989	0.32026
2844.51609	0.39414
2842.46228	0.50124
2840.40848	0.60421
2838.35468	0.68671
2836.30088	0.7478
2834.24708	0.79225
2832.19327	0.82487
2830.13947	0.8492
2828.08567	0.86796
2826.03187	0.88294
2823.97806	0.89493
2821.92426	0.90451
2819.87046	0.91234
2817.81666	0.91901
2815.76286	0.92487
2813.70905	0.92989
2811.65525	0.93406
2809.60145	0.93772
2807.54765	0.94102
2805.49384	0.9438
