Numero de onda	Policaprolactona.1.dpt
3996.69914	0.98995
3994.64534	0.99001
3992.59153	0.98984
3990.53773	0.9895
3988.48393	0.98949
3986.43013	0.98973
3984.37632	0.9898
3982.32252	0.9896
3980.26872	0.98944
3978.21492	0.98957
3976.16112	0.98972
3974.10731	0.98959
3972.05351	0.98955
3969.99971	0.98974
3967.94591	0.98986
3965.8921	0.99002
3963.8383	0.99023
3961.7845	0.99033
3959.7307	0.99045
3957.6769	0.9905
3955.62309	0.99036
3953.56929	0.99032
3951.51549	0.99046
3949.46169	0.99048
3947.40788	0.99035
3945.35408	0.99041
3943.30028	0.99061
3941.24648	0.99045
3939.19268	0.99014
3937.13887	0.99007
3935.08507	0.99019
3933.03127	0.99043
3930.97747	0.99058
3928.92366	0.99058
3926.86986	0.99072
3924.81606	0.99102
3922.76226	0.9912
3920.70845	0.99138
3918.65465	0.99141
3916.60085	0.99103
3914.54705	0.99063
3912.49325	0.9904
3910.43944	0.99043
3908.38564	0.99084
3906.33184	0.99165
3904.27804	0.99247
3902.22423	0.99254
3900.17043	0.99197
3898.11663	0.99128
3896.06283	0.9909
3894.00903	0.99118
3891.95522	0.99189
3889.90142	0.9919
3887.84762	0.99142
3885.79382	0.99155
3883.74001	0.99201
3881.68621	0.99235
3879.63241	0.99217
3877.57861	0.99143
3875.52481	0.99122
3873.471	0.9917
3871.4172	0.99244
3869.3634	0.99292
3867.3096	0.99265
3865.25579	0.99239
3863.20199	0.9923
3861.14819	0.99203
3859.09439	0.99196
3857.04059	0.99228
3854.98678	0.9927
3852.93298	0.99279
3850.87918	0.9923
3848.82538	0.99174
3846.77157	0.99159
3844.71777	0.99205
3842.66397	0.99277
3840.61017	0.99332
3838.55637	0.99382
3836.50256	0.99384
3834.44876	0.99313
3832.39496	0.99257
3830.34116	0.99246
3828.28735	0.99235
3826.23355	0.99218
3824.17975	0.9922
3822.12595	0.99253
3820.07215	0.99293
3818.01834	0.99309
3815.96454	0.99271
3813.91074	0.99185
3811.85694	0.99139
3809.80313	0.99141
3807.74933	0.9919
3805.69553	0.99266
3803.64173	0.99308
3801.58793	0.99287
3799.53412	0.9921
3797.48032	0.99182
3795.42652	0.99185
3793.37272	0.99166
3791.31891	0.99151
3789.26511	0.99162
3787.21131	0.99204
3785.15751	0.99244
3783.10371	0.99233
3781.0499	0.99209
3778.9961	0.99204
3776.9423	0.99202
3774.8885	0.99217
3772.83469	0.99227
3770.78089	0.99212
3768.72709	0.99208
3766.67329	0.99219
3764.61949	0.99217
