Numero de onda	Policaprolactona2.dpt
3996.69914	1.0064
3994.64534	1.00658
3992.59153	1.00624
3990.53773	1.00563
3988.48393	1.00561
3986.43013	1.00597
3984.37632	1.00587
3982.32252	1.00525
3980.26872	1.0048
3978.21492	1.00481
3976.16112	1.00508
3974.10731	1.00554
3972.05351	1.00586
3969.99971	1.00602
3967.94591	1.00642
3965.8921	1.00671
3963.8383	1.00644
3961.7845	1.00611
3959.7307	1.00603
3957.6769	1.00616
3955.62309	1.00628
3953.56929	1.00607
3951.51549	1.00607
3949.46169	1.00657
3947.40788	1.00682
3945.35408	1.00648
3943.30028	1.00591
3941.24648	1.00576
3939.19268	1.00632
3937.13887	1.00719
3935.08507	1.00733
3933.03127	1.00662
3930.97747	1.00626
3928.92366	1.00638
3926.86986	1.00636
3924.81606	1.00639
3922.76226	1.0064
3920.70845	1.00618
3918.65465	1.00603
3916.60085	1.00645
3914.54705	1.00707
3912.49325	1.00699
3910.43944	1.00646
3908.38564	1.0062
3906.33184	1.00602
3904.27804	1.00592
3902.22423	1.00661
3900.17043	1.00737
3898.11663	1.00729
3896.06283	1.00676
3894.00903	1.00615
3891.95522	1.00567
3889.90142	1.00558
3887.84762	1.00568
3885.79382	1.00566
3883.74001	1.00568
3881.68621	1.0063
3879.63241	1.00767
3877.57861	1.00831
3875.52481	1.00768
3873.471	1.00686
3871.4172	1.00644
3869.3634	1.00636
3867.3096	1.00643
3865.25579	1.00649
3863.20199	1.00669
3861.14819	1.00692
3859.09439	1.00683
3857.04059	1.00624
3854.98678	1.00537
3852.93298	1.00545
3850.87918	1.00638
3848.82538	1.0069
3846.77157	1.00734
3844.71777	1.00794
3842.66397	1.00829
3840.61017	1.00818
3838.55637	1.00785
3836.50256	1.00717
3834.44876	1.00685
3832.39496	1.00726
3830.34116	1.0075
3828.28735	1.00731
3826.23355	1.00679
3824.17975	1.00575
3822.12595	1.00505
3820.07215	1.00576
3818.01834	1.0066
3815.96454	1.00659
3813.91074	1.00643
3811.85694	1.00647
3809.80313	1.00647
3807.74933	1.00657
3805.69553	1.00658
3803.64173	1.00613
3801.58793	1.00573
3799.53412	1.00551
3797.48032	1.00572
3795.42652	1.00674
3793.37272	1.0075
3791.31891	1.00723
3789.26511	1.00654
