Numero de onda	Policloruro_de_vinilo.dpt
3996.69914	0.97249
3994.64534	0.9719
3992.59153	0.97144
3990.53773	0.97154
3988.48393	0.97199
3986.43013	0.97238
3984.37632	0.97221
3982.32252	0.97214
3980.26872	0.97246
3978.21492	0.97222
3976.16112	0.97167
3974.10731	0.97157
3972.05351	0.9717
3969.99971	0.97201
3967.94591	0.97252
3965.8921	0.97251
3963.8383	0.97193
3961.7845	0.97152
3959.7307	0.97152
3957.6769	0.9715
3955.62309	0.97132
3953.56929	0.97131
3951.51549	0.9714
3949.46169	0.97173
3947.40788	0.97239
3945.35408	0.97278
3943.30028	0.97258
3941.24648	0.97232
3939.19268	0.9722
3937.13887	0.97177
3935.08507	0.97122
3933.03127	0.97103
3930.97747	0.97138
3928.92366	0.972
3926.86986	0.97242
3924.81606	0.97272
3922.76226	0.97273
3920.70845	0.97217
3918.65465	0.97149
3916.60085	0.97115
3914.54705	0.97139
3912.49325	0.97193
3910.43944	0.972
3908.38564	0.97155
3906.33184	0.97116
3904.27804	0.97116
3902.22423	0.97143
3900.17043	0.97153
3898.11663	0.97151
3896.06283	0.97165
3894.00903	0.97188
3891.95522	0.97192
3889.90142	0.97187
3887.84762	0.97212
3885.79382	0.97236
3883.74001	0.97233
3881.68621	0.97227
3879.63241	0.972
3877.57861	0.97188
3875.52481	0.97211
3873.471	0.97212
3871.4172	0.97193
3869.3634	0.97214
3867.3096	0.97269
3865.25579	0.97294
3863.20199	0.97242
3861.14819	0.97189
3859.09439	0.97184
3857.04059	0.97177
3854.98678	0.97159
3852.93298	0.97193
3850.87918	0.97245
3848.82538	0.9724
3846.77157	0.97223
3844.71777	0.97197
3842.66397	0.97166
3840.61017	0.972
3838.55637	0.97248
3836.50256	0.97239
3834.44876	0.97223
3832.39496	0.97199
3830.34116	0.97177
3828.28735	0.97205
3826.23355	0.97217
3824.17975	0.97159
3822.12595	0.97138
3820.07215	0.97235
3818.01834	0.97339
3815.96454	0.9731
3813.91074	0.97179
3811.85694	0.97112
3809.80313	0.97111
3807.74933	0.97138
3805.69553	0.97238
3803.64173	0.97349
3801.58793	0.97337
3799.53412	0.97252
3797.48032	0.9723
3795.42652	0.97215
3793.37272	0.9719
3791.31891	0.97206
3789.26511	0.97218
3787.21131	0.97202
3785.15751	0.97204
3783.10371	0.97198
3781.0499	0.97156
3778.9961	0.97136
3776.9423	0.97169
3774.8885	0.97219
3772.83469	0.97231
3770.78089	0.97221
3768.72709	0.97226
3766.67329	0.9724
3764.61949	0.97273
3762.56568	0.97265
3760.51188	0.97238
3758.45808	0.9728
3756.40428	0.97304
3754.35047	0.97254
3752.29667	0.97206
3750.24287	0.97212
3748.18907	0.97231
3746.13527	0.97237
3744.08146	0.97295
3742.02766	0.97346
3739.97386	0.97282
3737.92006	0.97202
3735.86625	0.97217
3733.81245	0.97233
3731.75865	0.97198
3729.70485	0.97185
3727.65105	0.97213
3725.59724	0.97253
3723.54344	0.97245
3721.48964	0.97232
3719.43584	0.97254
3717.38203	0.97265
3715.32823	0.97248
3713.27443	0.97252
3711.22063	0.97298
3709.16683	0.97289
3707.11302	0.97248
3705.05922	0.97247
3703.00542	0.97254
3700.95162	0.97271
3698.89781	0.97319
3696.84401	0.97328
3694.79021	0.97289
3692.73641	0.97273
3690.68261	0.97275
3688.6288	0.97247
3686.575	0.97211
3684.5212	0.9718
3682.4674	0.97139
3680.41359	0.9714
3678.35979	0.97216
3676.30599	0.9728
3674.25219	0.97308
3672.19839	0.97341
3670.14458	0.97388
3668.09078	0.97405
3666.03698	0.97354
3663.98318	0.9731
3661.92937	0.9733
3659.87557	0.97331
3657.82177	0.97256
3655.76797	0.97229
3653.71417	0.97284
3651.66036	0.97319
3649.60656	0.97326
3647.55276	0.97272
3645.49896	0.97194
3643.44515	0.97182
3641.39135	0.9721
3639.33755	0.97215
3637.28375	0.9721
3635.22995	0.97209
3633.17614	0.97201
3631.12234	0.97207
3629.06854	0.97213
3627.01474	0.97205
3624.96093	0.97209
3622.90713	0.9722
3620.85333	0.97224
3618.79953	0.97253
3616.74573	0.97307
3614.69192	0.97311
3612.63812	0.97278
3610.58432	0.97268
3608.53052	0.97234
3606.47671	0.97146
3604.42291	0.97093
3602.36911	0.97108
3600.31531	0.9717
3598.26151	0.9723
3596.2077	0.9724
3594.1539	0.97231
3592.1001	0.97242
3590.0463	0.97271
3587.99249	0.97302
3585.93869	0.97295
3583.88489	0.97265
3581.83109	0.97271
3579.77728	0.97297
3577.72348	0.97309
3575.66968	0.97316
3573.61588	0.97314
3571.56208	0.97308
3569.50827	0.97311
3567.45447	0.97307
3565.40067	0.97278
3563.34687	0.97239
3561.29306	0.97219
3559.23926	0.97219
3557.18546	0.97199
3555.13166	0.97146
3553.07786	0.97116
3551.02405	0.97118
3548.97025	0.97147
3546.91645	0.97205
3544.86265	0.97251
3542.80884	0.97268
3540.75504	0.97234
3538.70124	0.97151
3536.64744	0.97103
3534.59364	0.97093
3532.53983	0.97074
3530.48603	0.9711
3528.43223	0.97198
3526.37843	0.97209
3524.32462	0.9713
3522.27082	0.97071
3520.21702	0.97069
3518.16322	0.97111
3516.10942	0.97161
3514.05561	0.97144
3512.00181	0.97112
3509.94801	0.97142
3507.89421	0.97155
3505.8404	0.97122
3503.7866	0.97103
3501.7328	0.97053
3499.679	0.96964
3497.6252	0.9694
3495.57139	0.96978
3493.51759	0.97016
3491.46379	0.97036
3489.40999	0.97051
3487.35618	0.97045
3485.30238	0.96996
3483.24858	0.96965
3481.19478	0.9698
3479.14098	0.96997
3477.08717	0.97021
3475.03337	0.9704
3472.97957	0.97045
3470.92577	0.97062
3468.87196	0.97061
3466.81816	0.97039
3464.76436	0.97028
3462.71056	0.97022
3460.65676	0.97011
3458.60295	0.96995
3456.54915	0.96967
3454.49535	0.96956
3452.44155	0.97004
3450.38774	0.9707
3448.33394	0.97107
3446.28014	0.97092
3444.22634	0.97032
3442.17254	0.9698
3440.11873	0.96992
3438.06493	0.97025
3436.01113	0.97009
3433.95733	0.96979
3431.90352	0.96981
3429.84972	0.96975
3427.79592	0.96975
3425.74212	0.97
3423.68832	0.97016
3421.63451	0.96992
3419.58071	0.96929
3417.52691	0.96884
3415.47311	0.96878
3413.4193	0.96869
3411.3655	0.96861
3409.3117	0.96878
3407.2579	0.96895
3405.2041	0.96932
3403.15029	0.97008
3401.09649	0.97037
3399.04269	0.9698
3396.98889	0.96919
3394.93508	0.96917
3392.88128	0.96948
3390.82748	0.96976
3388.77368	0.9698
3386.71988	0.96973
3384.66607	0.96967
3382.61227	0.96952
3380.55847	0.96962
3378.50467	0.96993
3376.45086	0.96995
3374.39706	0.96988
3372.34326	0.96986
3370.28946	0.96975
3368.23566	0.96922
3366.18185	0.96848
3364.12805	0.96833
3362.07425	0.96858
3360.02045	0.96861
3357.96664	0.96855
3355.91284	0.96875
3353.85904	0.96903
3351.80524	0.96921
3349.75144	0.96962
3347.69763	0.97
3345.64383	0.96996
3343.59003	0.96984
3341.53623	0.96971
3339.48242	0.96959
3337.42862	0.96979
3335.37482	0.96991
3333.32102	0.96977
3331.26722	0.96987
3329.21341	0.96999
3327.15961	0.96972
3325.10581	0.96942
3323.05201	0.96921
3320.9982	0.96883
3318.9444	0.96856
