Numero de onda	Poliestireno.1.dpt
3996.69914	1.00365
3994.64534	1.00371
3992.59153	1.00375
3990.53773	1.00353
3988.48393	1.00313
3986.43013	1.00296
3984.37632	1.00322
3982.32252	1.00348
3980.26872	1.00359
3978.21492	1.00377
3976.16112	1.00382
3974.10731	1.00356
3972.05351	1.00348
3969.99971	1.00373
3967.94591	1.00393
3965.8921	1.00404
3963.8383	1.00413
3961.7845	1.00417
3959.7307	1.00425
3957.6769	1.00425
3955.62309	1.00407
3953.56929	1.00411
3951.51549	1.00449
3949.46169	1.0048
3947.40788	1.00473
3945.35408	1.00455
3943.30028	1.00439
3941.24648	1.00401
3939.19268	1.0037
3937.13887	1.00368
3935.08507	1.00386
3933.03127	1.00429
3930.97747	1.0046
3928.92366	1.00441
3926.86986	1.00445
3924.81606	1.00499
3922.76226	1.0053
3920.70845	1.00531
3918.65465	1.00517
3916.60085	1.00472
3914.54705	1.00425
3912.49325	1.00385
3910.43944	1.00367
3908.38564	1.0042
3906.33184	1.00557
3904.27804	1.00696
3902.22423	1.00741
3900.17043	1.00705
3898.11663	1.00595
3896.06283	1.00472
3894.00903	1.00447
3891.95522	1.0051
3889.90142	1.00504
3887.84762	1.00473
3885.79382	1.00547
3883.74001	1.00637
3881.68621	1.00677
3879.63241	1.00618
3877.57861	1.00487
3875.52481	1.00459
3873.471	1.00524
3871.4172	1.00624
3869.3634	1.00701
3867.3096	1.00686
3865.25579	1.00677
3863.20199	1.00669
3861.14819	1.00606
3859.09439	1.00567
3857.04059	1.00606
3854.98678	1.00747
3852.93298	1.00852
3850.87918	1.00715
3848.82538	1.00576
3846.77157	1.00535
3844.71777	1.00568
3842.66397	1.00636
3840.61017	1.0072
3838.55637	1.00768
3836.50256	1.007
3834.44876	1.00601
3832.39496	1.00552
3830.34116	1.0054
3828.28735	1.00539
3826.23355	1.00539
3824.17975	1.00575
3822.12595	1.00669
3820.07215	1.00713
3818.01834	1.00694
3815.96454	1.00649
3813.91074	1.00515
3811.85694	1.00418
3809.80313	1.00434
3807.74933	1.00521
3805.69553	1.00585
3803.64173	1.00628
3801.58793	1.00674
3799.53412	1.00637
3797.48032	1.00563
3795.42652	1.00483
3793.37272	1.00424
3791.31891	1.00431
3789.26511	1.00464
3787.21131	1.00506
3785.15751	1.00543
3783.10371	1.00536
3781.0499	1.00526
3778.9961	1.0053
3776.9423	1.00494
3774.8885	1.00438
3772.83469	1.00423
3770.78089	1.00475
3768.72709	1.00548
3766.67329	1.00567
3764.61949	1.00524
3762.56568	1.00513
3760.51188	1.00624
3758.45808	1.00711
3756.40428	1.00655
3754.35047	1.00638
3752.29667	1.00761
3750.24287	1.0086
3748.18907	1.00823
3746.13527	1.0083
3744.08146	1.00832
3742.02766	1.00715
3739.97386	1.0064
3737.92006	1.00721
3735.86625	1.00889
3733.81245	1.00865
3731.75865	1.0068
3729.70485	1.00578
3727.65105	1.00596
3725.59724	1.00656
3723.54344	1.00676
3721.48964	1.00659
3719.43584	1.00619
3717.38203	1.00588
3715.32823	1.00632
3713.27443	1.00767
3711.22063	1.00862
3709.16683	1.0075
3707.11302	1.00576
3705.05922	1.00491
3703.00542	1.00509
3700.95162	1.00541
3698.89781	1.00522
3696.84401	1.00491
3694.79021	1.00499
3692.73641	1.00593
3690.68261	1.00735
3688.6288	1.0073
3686.575	1.00581
3684.5212	1.00511
3682.4674	1.00553
3680.41359	1.00633
3678.35979	1.00698
3676.30599	1.00748
3674.25219	1.00752
3672.19839	1.00744
3670.14458	1.00762
3668.09078	1.0068
3666.03698	1.00536
3663.98318	1.0046
3661.92937	1.00468
3659.87557	1.00529
3657.82177	1.00617
3655.76797	1.00683
3653.71417	1.00713
3651.66036	1.00828
3649.60656	1.01022
3647.55276	1.00979
3645.49896	1.00761
3643.44515	1.00618
3641.39135	1.00538
3639.33755	1.00484
3637.28375	1.00497
3635.22995	1.00569
3633.17614	1.00629
3631.12234	1.00718
3629.06854	1.00839
3627.01474	1.00729
3624.96093	1.00535
3622.90713	1.00515
3620.85333	1.0064
3618.79953	1.00747
3616.74573	1.00752
3614.69192	1.00765
3612.63812	1.00783
3610.58432	1.00767
3608.53052	1.00751
3606.47671	1.00691
3604.42291	1.00618
3602.36911	1.00611
3600.31531	1.00629
3598.26151	1.00659
3596.2077	1.0072
3594.1539	1.00712
3592.1001	1.00632
3590.0463	1.00639
3587.99249	1.00708
3585.93869	1.00646
3583.88489	1.00541
3581.83109	1.00538
3579.77728	1.00592
3577.72348	1.00624
3575.66968	1.00619
3573.61588	1.00607
3571.56208	1.00627
3569.50827	1.00735
3567.45447	1.00894
3565.40067	1.00876
3563.34687	1.00733
3561.29306	1.00659
3559.23926	1.00624
3557.18546	1.00587
3555.13166	1.00594
3553.07786	1.00637
3551.02405	1.00663
3548.97025	1.00714
3546.91645	1.00818
3544.86265	1.00844
3542.80884	1.00725
3540.75504	1.00608
3538.70124	1.00589
3536.64744	1.00598
3534.59364	1.00566
3532.53983	1.0055
3530.48603	1.00603
3528.43223	1.00682
3526.37843	1.00734
3524.32462	1.00717
3522.27082	1.00613
3520.21702	1.00517
3518.16322	1.00492
3516.10942	1.00507
3514.05561	1.00529
3512.00181	1.00543
3509.94801	1.00557
3507.89421	1.00581
3505.8404	1.00617
3503.7866	1.00667
3501.7328	1.00672
3499.679	1.00614
3497.6252	1.00565
3495.57139	1.00538
3493.51759	1.00518
3491.46379	1.00531
3489.40999	1.00558
3487.35618	1.00566
3485.30238	1.00579
3483.24858	1.00601
3481.19478	1.00577
3479.14098	1.00534
3477.08717	1.0054
3475.03337	1.00553
3472.97957	1.00533
3470.92577	1.00516
3468.87196	1.0052
3466.81816	1.00527
3464.76436	1.00541
3462.71056	1.0057
3460.65676	1.00566
3458.60295	1.00533
3456.54915	1.00518
3454.49535	1.00515
3452.44155	1.00517
3450.38774	1.00537
3448.33394	1.00566
3446.28014	1.00579
3444.22634	1.00583
3442.17254	1.00569
3440.11873	1.00514
3438.06493	1.00473
3436.01113	1.0049
3433.95733	1.00524
3431.90352	1.00549
3429.84972	1.00562
3427.79592	1.00542
3425.74212	1.00504
3423.68832	1.00493
3421.63451	1.00507
3419.58071	1.00512
3417.52691	1.00523
3415.47311	1.00537
3413.4193	1.00531
3411.3655	1.0052
3409.3117	1.00506
3407.2579	1.00495
3405.2041	1.00498
3403.15029	1.00508
3401.09649	1.00538
3399.04269	1.00574
3396.98889	1.00596
3394.93508	1.00625
3392.88128	1.00641
3390.82748	1.00608
3388.77368	1.00558
3386.71988	1.00547
3384.66607	1.00587
3382.61227	1.0061
3380.55847	1.00597
3378.50467	1.00596
3376.45086	1.00589
3374.39706	1.00565
3372.34326	1.00566
3370.28946	1.00582
3368.23566	1.00598
3366.18185	1.00613
3364.12805	1.00603
3362.07425	1.00575
3360.02045	1.00557
3357.96664	1.0056
3355.91284	1.00575
3353.85904	1.00587
3351.80524	1.00579
3349.75144	1.00552
3347.69763	1.00527
3345.64383	1.00526
3343.59003	1.00563
3341.53623	1.00605
3339.48242	1.00613
3337.42862	1.00603
3335.37482	1.006
3333.32102	1.00575
3331.26722	1.00536
3329.21341	1.00553
3327.15961	1.00594
3325.10581	1.00577
3323.05201	1.00545
3320.9982	1.00551
3318.9444	1.00579
3316.8906	1.00605
3314.8368	1.00608
3312.783	1.00603
3310.72919	1.00611
3308.67539	1.00624
3306.62159	1.00631
3304.56779	1.00631
3302.51398	1.00624
3300.46018	1.00607
3298.40638	1.00583
3296.35258	1.00573
3294.29878	1.00602
3292.24497	1.00645
3290.19117	1.00654
3288.13737	1.00639
3286.08357	1.00641
3284.02976	1.00654
3281.97596	1.00653
3279.92216	1.00652
3277.86836	1.00672
3275.81456	1.00693
3273.76075	1.00678
3271.70695	1.00636
3269.65315	1.00599
3267.59935	1.00581
3265.54554	1.00592
3263.49174	1.00619
3261.43794	1.00642
3259.38414	1.00675
3257.33034	1.00716
3255.27653	1.0073
3253.22273	1.00721
3251.16893	1.00708
3249.11513	1.00685
3247.06132	1.00656
3245.00752	1.00653
3242.95372	1.00672
3240.89992	1.00683
3238.84611	1.00693
3236.79231	1.00708
3234.73851	1.00723
3232.68471	1.0075
3230.63091	1.00754
3228.5771	1.0071
3226.5233	1.00674
3224.4695	1.00673
3222.4157	1.0069
3220.36189	1.00708
3218.30809	1.00723
3216.25429	1.00719
3214.20049	1.00697
3212.14669	1.00705
3210.09288	1.00736
3208.03908	1.00733
3205.98528	1.0071
3203.93148	1.00736
3201.87767	1.00804
3199.82387	1.00836
3197.77007	1.00803
3195.71627	1.00746
3193.66247	1.00718
3191.60866	1.00715
3189.55486	1.0071
3187.50106	1.00704
3185.44726	1.00725
3183.39345	1.00762
3181.33965	1.00758
3179.28585	1.00721
3177.23205	1.00698
3175.17825	1.00694
3173.12444	1.00695
3171.07064	1.00679
3169.01684	1.00666
3166.96304	1.00696
3164.90923	1.00732
3162.85543	1.00737
3160.80163	1.00735
3158.74783	1.00737
3156.69403	1.00721
3154.64022	1.00698
3152.58642	1.00701
3150.53262	1.00712
3148.47882	1.00711
3146.42501	1.00713
3144.37121	1.00716
3142.31741	1.00703
3140.26361	1.00679
3138.20981	1.00663
3136.156	1.00658
3134.1022	1.00665
3132.0484	1.00697
3129.9946	1.00739
3127.94079	1.00746
3125.88699	1.00721
3123.83319	1.00698
3121.77939	1.00706
3119.72559	1.00745
3117.67178	1.0077
3115.61798	1.00744
3113.56418	1.00698
3111.51038	1.00669
3109.45657	1.00663
3107.40277	1.00663
3105.34897	1.00669
3103.29517	1.00697
3101.24137	1.00718
3099.18756	1.00707
3097.13376	1.00695
3095.07996	1.00688
3093.02616	1.00653
3090.97235	1.00579
3088.91855	1.00495
3086.86475	1.0045
3084.81095	1.00453
3082.75715	1.00459
3080.70334	1.00445
3078.64954	1.00435
3076.59574	1.00452
3074.54194	1.00487
3072.48813	1.00516
3070.43433	1.0052
3068.38053	1.00493
3066.32673	1.00432
3064.27293	1.00358
3062.21912	1.00307
3060.16532	1.00285
3058.11152	1.00297
3056.05772	1.00327
3054.00391	1.00357
3051.95011	1.00401
3049.89631	1.00462
3047.84251	1.0052
3045.78871	1.00536
3043.7349	1.00511
3041.6811	1.00489
3039.6273	1.00476
3037.5735	1.00442
3035.51969	1.00377
3033.46589	1.00274
3031.41209	1.0014
3029.35829	1.00001
3027.30449	0.99885
3025.25068	0.99838
3023.19688	0.99882
3021.14308	1.00002
3019.08928	1.00147
3017.03547	1.00276
3014.98167	1.004
3012.92787	1.00521
3010.87407	1.00587
3008.82027	1.00573
3006.76646	1.0051
3004.71266	1.00461
3002.65886	1.00474
3000.60506	1.00503
2998.55125	1.00514
2996.49745	1.0055
2994.44365	1.00623
2992.38985	1.00671
2990.33605	1.00667
2988.28224	1.00651
2986.22844	1.00654
2984.17464	1.00659
2982.12084	1.00637
2980.06703	1.00602
2978.01323	1.00591
2975.95943	1.00599
2973.90563	1.00591
2971.85183	1.00563
2969.79802	1.00532
2967.74422	1.00506
2965.69042	1.00476
2963.63662	1.00437
2961.58281	1.00405
2959.52901	1.00388
2957.47521	1.00378
2955.42141	1.00356
2953.36761	1.00309
2951.3138	1.00258
2949.26	1.00216
2947.2062	1.00184
2945.1524	1.00153
2943.09859	1.00098
2941.04479	1.00017
2938.99099	0.99919
2936.93719	0.99802
2934.88339	0.99665
2932.82958	0.99523
2930.77578	0.99379
2928.72198	0.99231
2926.66818	0.99129
2924.61437	0.99089
2922.56057	0.99075
2920.50677	0.99075
2918.45297	0.99099
2916.39917	0.99145
2914.34536	0.99206
2912.29156	0.99299
2910.23776	0.99415
2908.18396	0.9951
2906.13015	0.99588
2904.07635	0.99673
2902.02255	0.99753
2899.96875	0.99826
2897.91494	0.99898
2895.86114	0.99957
2893.80734	1.0
2891.75354	1.00064
2889.69974	1.00144
2887.64593	1.00192
2885.59213	1.00212
2883.53833	1.00232
2881.48453	1.00257
2879.43072	1.0028
2877.37692	1.00293
2875.32312	1.00302
2873.26932	1.00312
2871.21552	1.00317
2869.16171	1.00318
2867.10791	1.00309
2865.05411	1.00284
2863.00031	1.00247
2860.9465	1.00191
2858.8927	1.00125
2856.8389	1.00053
2854.7851	0.99981
2852.7313	0.9993
2850.67749	0.9991
2848.62369	0.9992
2846.56989	0.99976
2844.51609	1.00071
2842.46228	1.00172
2840.40848	1.00281
2838.35468	1.00387
2836.30088	1.0045
2834.24708	1.00483
2832.19327	1.00521
2830.13947	1.00549
2828.08567	1.00554
2826.03187	1.00556
2823.97806	1.00562
2821.92426	1.00581
2819.87046	1.00617
2817.81666	1.0064
2815.76286	1.00622
2813.70905	1.00593
2811.65525	1.00603
2809.60145	1.00638
2807.54765	1.00659
2805.49384	1.00665
2803.44004	1.0066
2801.38624	1.00659
2799.33244	1.00668
2797.27864	1.00661
2795.22483	1.0065
2793.17103	1.00655
2791.11723	1.0066
2789.06343	1.00659
2787.00962	1.00655
2784.95582	1.00651
2782.90202	1.00655
2780.84822	1.00661
2778.79442	1.00658
2776.74061	1.00657
2774.68681	1.00666
2772.63301	1.00684
2770.57921	1.00712
2768.5254	1.0073
2766.4716	1.00718
2764.4178	1.00685
2762.364	1.00663
2760.3102	1.00663
2758.25639	1.00672
2756.20259	1.00679
2754.14879	1.00689
2752.09499	1.00706
2750.04118	1.00711
2747.98738	1.00693
2745.93358	1.00676
2743.87978	1.00674
2741.82598	1.00678
2739.77217	1.00678
2737.71837	1.00688
2735.66457	1.00709
2733.61077	1.00709
2731.55696	1.00686
2729.50316	1.00679
2727.44936	1.0069
2725.39556	1.00699
2723.34176	1.00695
2721.28795	1.00686
2719.23415	1.00686
2717.18035	1.00711
2715.12655	1.00746
2713.07274	1.00742
2711.01894	1.00704
2708.96514	1.00674
2706.91134	1.00658
2704.85754	1.00658
2702.80373	1.00664
2700.74993	1.00666
2698.69613	1.00679
2696.64233	1.007
2694.58852	1.0071
2692.53472	1.00715
2690.48092	1.00715
2688.42712	1.00705
2686.37332	1.007
2684.31951	1.00702
2682.26571	1.00698
2680.21191	1.00699
2678.15811	1.00709
2676.1043	1.00698
2674.0505	1.00668
2671.9967	1.00653
2669.9429	1.00656
2667.8891	1.00655
2665.83529	1.00636
2663.78149	1.00613
2661.72769	1.00609
2659.67389	1.00619
2657.62008	1.00625
2655.56628	1.00628
2653.51248	1.00636
2651.45868	1.00639
2649.40488	1.00633
2647.35107	1.00626
2645.29727	1.00622
2643.24347	1.00635
2641.18967	1.00663
2639.13586	1.00666
2637.08206	1.00642
2635.02826	1.0063
2632.97446	1.00629
2630.92066	1.0063
2628.86685	1.00627
2626.81305	1.00618
2624.75925	1.0062
2622.70545	1.00636
2620.65164	1.00648
2618.59784	1.00662
2616.54404	1.00676
2614.49024	1.00681
2612.43644	1.00694
2610.38263	1.00712
2608.32883	1.00719
2606.27503	1.00726
2604.22123	1.00714
2602.16742	1.00675
2600.11362	1.00658
2598.05982	1.00692
2596.00602	1.00738
2593.95222	1.00754
2591.89841	1.00727
2589.84461	1.00706
2587.79081	1.00733
2585.73701	1.0077
2583.6832	1.00765
2581.6294	1.00728
2579.5756	1.0073
2577.5218	1.0075
2575.468	1.00728
2573.41419	1.00715
2571.36039	1.00752
2569.30659	1.00786
2567.25279	1.00772
2565.19898	1.00751
2563.14518	1.00752
2561.09138	1.00734
2559.03758	1.0071
2556.98377	1.00711
2554.92997	1.00724
2552.87617	1.00747
2550.82237	1.00791
2548.76857	1.00816
2546.71476	1.008
2544.66096	1.00776
2542.60716	1.00751
2540.55336	1.00713
2538.49955	1.00699
2536.44575	1.0075
2534.39195	1.008
2532.33815	1.00782
2530.28435	1.0075
2528.23054	1.00756
2526.17674	1.00764
2524.12294	1.00752
2522.06914	1.00759
2520.01533	1.00795
2517.96153	1.00801
2515.90773	1.00769
2513.85393	1.00774
2511.80013	1.00812
2509.74632	1.0082
2507.69252	1.00813
2505.63872	1.00822
2503.58492	1.0082
2501.53111	1.00799
2499.47731	1.00775
2497.42351	1.00749
2495.36971	1.00735
2493.31591	1.00762
2491.2621	1.00796
2489.2083	1.00784
2487.1545	1.00774
2485.1007	1.00791
2483.04689	1.00807
2480.99309	1.00833
2478.93929	1.00847
2476.88549	1.00825
2474.83169	1.00801
2472.77788	1.00786
2470.72408	1.00764
2468.67028	1.00735
2466.61648	1.00752
2464.56267	1.00828
2462.50887	1.0086
2460.45507	1.00806
2458.40127	1.00767
2456.34747	1.00777
2454.29366	1.00759
2452.23986	1.00731
2450.18606	1.00748
2448.13226	1.00779
2446.07845	1.0081
2444.02465	1.00829
2441.97085	1.00823
2439.91705	1.00822
2437.86325	1.00817
2435.80944	1.0078
2433.75564	1.00767
2431.70184	1.00787
2429.64804	1.00795
2427.59423	1.00786
2425.54043	1.00766
2423.48663	1.00773
2421.43283	1.00832
2419.37903	1.0086
2417.32522	1.00811
2415.27142	1.00771
2413.21762	1.00795
2411.16382	1.00829
2409.11001	1.00838
2407.05621	1.00833
2405.00241	1.00821
2402.94861	1.00813
2400.89481	1.00826
2398.841	1.00831
2396.7872	1.00818
2394.7334	1.00813
2392.6796	1.00808
2390.62579	1.00817
2388.57199	1.00845
2386.51819	1.00848
2384.46439	1.00827
2382.41059	1.00766
2380.35678	1.0064
2378.30298	1.00502
2376.24918	1.00391
2374.19538	1.0028
2372.14157	1.0015
2370.08777	0.99989
2368.03397	0.99786
2365.98017	0.99609
2363.92637	0.99497
2361.87256	0.9941
2359.81876	0.99374
2357.76496	0.99419
2355.71116	0.99547
2353.65735	0.99738
2351.60355	0.99941
2349.54975	1.00069
2347.49595	1.00032
2345.44215	0.99841
2343.38834	0.99673
2341.33454	0.99631
2339.28074	0.99641
2337.22694	0.99703
2335.17313	0.99817
2333.11933	0.99878
2331.06553	0.99881
2329.01173	0.99899
2326.95793	0.99907
2324.90412	0.99906
2322.85032	0.99943
2320.79652	1.00045
2318.74272	1.00177
2316.68891	1.00269
2314.63511	1.00319
2312.58131	1.00357
2310.52751	1.0038
2308.47371	1.00395
2306.4199	1.00437
2304.3661	1.00527
2302.3123	1.00594
2300.2585	1.00578
2298.20469	1.00571
2296.15089	1.00621
2294.09709	1.00636
2292.04329	1.00603
2289.98949	1.00593
2287.93568	1.00615
2285.88188	1.00645
2283.82808	1.00677
2281.77428	1.00711
2279.72047	1.00751
2277.66667	1.00778
2275.61287	1.00743
2273.55907	1.00697
2271.50527	1.00729
2269.45146	1.00798
2267.39766	1.00863
2265.34386	1.00883
2263.29006	1.00829
2261.23625	1.00782
2259.18245	1.00757
2257.12865	1.00749
2255.07485	1.00813
2253.02105	1.00849
2250.96724	1.00758
2248.91344	1.00674
2246.85964	1.00668
2244.80584	1.00668
2242.75203	1.00708
2240.69823	1.00832
2238.64443	1.00903
2236.59063	1.0083
2234.53683	1.00744
2232.48302	1.00754
2230.42922	1.00803
2228.37542	1.00843
2226.32162	1.00861
2224.26781	1.00813
2222.21401	1.00755
2220.16021	1.00724
2218.10641	1.00742
2216.0526	1.00834
2213.9988	1.00883
2211.945	1.00849
2209.8912	1.00849
2207.8374	1.00886
2205.78359	1.00856
2203.72979	1.00803
2201.67599	1.00777
2199.62219	1.00778
2197.56838	1.00833
2195.51458	1.00868
2193.46078	1.00777
2191.40698	1.00597
2189.35318	1.00565
2187.29937	1.00778
2185.24557	1.01061
2183.19177	1.01233
2181.13797	1.01206
2179.08416	1.01062
2177.03036	1.0094
2174.97656	1.00845
2172.92276	1.00805
2170.86896	1.00869
2168.81515	1.00941
2166.76135	1.00969
2164.70755	1.00929
2162.65375	1.00881
2160.59994	1.01036
2158.54614	1.0127
2156.49234	1.01218
2154.43854	1.00932
2152.38474	1.00804
2150.33093	1.00909
2148.27713	1.01
2146.22333	1.01063
2144.16953	1.01125
2142.11572	1.01132
2140.06192	1.01169
2138.00812	1.01217
2135.95432	1.01162
2133.90052	1.0109
2131.84671	1.01088
2129.79291	1.01055
2127.73911	1.00932
2125.68531	1.00866
2123.6315	1.00955
2121.5777	1.0107
2119.5239	1.01114
2117.4701	1.01094
2115.4163	1.01019
2113.36249	1.00958
2111.30869	1.00949
2109.25489	1.00905
2107.20109	1.008
2105.14728	1.00781
