Numero de onda	Polyvinyl chloride.dpt
3996.69914	1.00097
3994.64534	1.00102
3992.59153	1.00077
3990.53773	1.00039
3988.48393	1.0001
3986.43013	0.99993
3984.37632	1.00001
3982.32252	1.00006
3980.26872	0.99979
3978.21492	0.99961
3976.16112	0.99958
3974.10731	0.99946
3972.05351	0.99952
3969.99971	0.99963
3967.94591	0.99933
3965.8921	0.99903
3963.8383	0.99905
3961.7845	0.99906
3959.7307	0.99902
3957.6769	0.99905
3955.62309	0.99895
3953.56929	0.99897
3951.51549	0.99943
3949.46169	1.00001
3947.40788	1.0
3945.35408	0.99973
3943.30028	0.99969
3941.24648	0.99905
3939.19268	0.99816
3937.13887	0.99794
3935.08507	0.99833
3933.03127	0.99896
3930.97747	0.99904
3928.92366	0.9985
3926.86986	0.99848
3924.81606	0.99908
3922.76226	0.99932
3920.70845	0.99921
3918.65465	0.99891
3916.60085	0.99813
3914.54705	0.99716
3912.49325	0.99665
3910.43944	0.99685
3908.38564	0.99749
3906.33184	0.99866
3904.27804	0.99989
3902.22423	1.0
3900.17043	0.99915
3898.11663	0.99794
3896.06283	0.99721
3894.00903	0.99756
3891.95522	0.99823
3889.90142	0.99779
3887.84762	0.99722
3885.79382	0.99763
3883.74001	0.99833
3881.68621	0.99888
3879.63241	0.99838
3877.57861	0.99721
3875.52481	0.99721
3873.471	0.99818
3871.4172	0.99917
3869.3634	0.99916
3867.3096	0.99823
3865.25579	0.99798
3863.20199	0.99799
3861.14819	0.99724
3859.09439	0.99678
3857.04059	0.9977
3854.98678	0.9997
3852.93298	1.0
3850.87918	0.99778
3848.82538	0.99632
3846.77157	0.99594
3844.71777	0.99646
3842.66397	0.99763
3840.61017	0.99882
3838.55637	0.99937
3836.50256	0.99874
3834.44876	0.99779
3832.39496	0.9971
3830.34116	0.99633
3828.28735	0.99585
3826.23355	0.99603
3824.17975	0.99656
3822.12595	0.99759
3820.07215	0.99844
3818.01834	0.99858
3815.96454	0.99788
3813.91074	0.99598
3811.85694	0.99464
3809.80313	0.99443
3807.74933	0.99481
3805.69553	0.99545
3803.64173	0.99643
3801.58793	0.99713
3799.53412	0.99653
3797.48032	0.99578
3795.42652	0.99512
3793.37272	0.99432
3791.31891	0.99394
3789.26511	0.99427
3787.21131	0.99506
3785.15751	0.99565
3783.10371	0.99558
3781.0499	0.99544
3778.9961	0.99529
3776.9423	0.99463
3774.8885	0.99409
3772.83469	0.99428
3770.78089	0.99503
3768.72709	0.9956
3766.67329	0.99559
3764.61949	0.99531
3762.56568	0.99547
3760.51188	0.99638
3758.45808	0.99665
3756.40428	0.99595
3754.35047	0.99615
3752.29667	0.99751
3750.24287	0.99813
3748.18907	0.99788
3746.13527	0.99859
3744.08146	0.99905
3742.02766	0.9978
3739.97386	0.99687
3737.92006	0.99768
3735.86625	0.99977
3733.81245	1.0
3731.75865	0.99785
3729.70485	0.996
3727.65105	0.99557
3725.59724	0.99621
3723.54344	0.99655
3721.48964	0.99607
3719.43584	0.99556
3717.38203	0.99539
3715.32823	0.99588
3713.27443	0.99716
3711.22063	0.99763
3709.16683	0.99603
3707.11302	0.99433
3705.05922	0.99388
3703.00542	0.99443
3700.95162	0.99483
3698.89781	0.99487
3696.84401	0.99497
3694.79021	0.99496
3692.73641	0.99545
3690.68261	0.99692
3688.6288	0.99722
3686.575	0.99547
3684.5212	0.99432
3682.4674	0.99444
3680.41359	0.99528
3678.35979	0.9965
3676.30599	0.99782
3674.25219	0.99797
3672.19839	0.99748
3670.14458	0.99689
3668.09078	0.99502
3666.03698	0.99344
3663.98318	0.99322
3661.92937	0.9934
3659.87557	0.99361
3657.82177	0.99421
3655.76797	0.99461
3653.71417	0.9951
3651.66036	0.99718
3649.60656	1.0
3647.55276	0.99948
3645.49896	0.99688
3643.44515	0.99529
3641.39135	0.99454
3639.33755	0.99397
3637.28375	0.99386
3635.22995	0.99426
3633.17614	0.9949
3631.12234	0.99626
3629.06854	0.99791
3627.01474	0.99674
3624.96093	0.99453
3622.90713	0.99412
3620.85333	0.99524
3618.79953	0.99631
3616.74573	0.9964
3614.69192	0.99632
3612.63812	0.99606
3610.58432	0.99572
3608.53052	0.99565
3606.47671	0.99505
3604.42291	0.99435
3602.36911	0.99435
3600.31531	0.99459
3598.26151	0.99466
3596.2077	0.99479
3594.1539	0.99458
3592.1001	0.99411
3590.0463	0.99466
3587.99249	0.99565
3585.93869	0.99476
3583.88489	0.99316
3581.83109	0.99294
3579.77728	0.99365
3577.72348	0.9941
3575.66968	0.99404
3573.61588	0.99371
3571.56208	0.99378
3569.50827	0.99531
3567.45447	0.99749
3565.40067	0.99723
3563.34687	0.99532
3561.29306	0.99405
3559.23926	0.99351
3557.18546	0.99324
3555.13166	0.99334
3553.07786	0.99391
3551.02405	0.99439
3548.97025	0.99501
3546.91645	0.99599
3544.86265	0.99585
3542.80884	0.99442
3540.75504	0.9934
3538.70124	0.9932
3536.64744	0.99313
3534.59364	0.99294
3532.53983	0.99319
3530.48603	0.99379
3528.43223	0.99408
3526.37843	0.99429
3524.32462	0.99424
3522.27082	0.99337
3520.21702	0.99255
3518.16322	0.99223
3516.10942	0.99189
3514.05561	0.99187
3512.00181	0.99253
3509.94801	0.99305
3507.89421	0.99303
3505.8404	0.99305
3503.7866	0.99342
3501.7328	0.9935
3499.679	0.99289
3497.6252	0.99229
3495.57139	0.99217
3493.51759	0.99218
3491.46379	0.99217
3489.40999	0.99207
3487.35618	0.99186
3485.30238	0.99176
3483.24858	0.99191
3481.19478	0.9921
3479.14098	0.99221
3477.08717	0.99234
3475.03337	0.99219
3472.97957	0.99178
3470.92577	0.99168
3468.87196	0.99182
3466.81816	0.99191
3464.76436	0.99206
3462.71056	0.9923
3460.65676	0.99227
3458.60295	0.99187
3456.54915	0.99144
3454.49535	0.99125
3452.44155	0.99138
3450.38774	0.99192
3448.33394	0.9925
3446.28014	0.99248
3444.22634	0.99213
3442.17254	0.99191
3440.11873	0.99161
3438.06493	0.99126
3436.01113	0.9911
3433.95733	0.99105
3431.90352	0.99113
3429.84972	0.99138
