Numero de onda	Teraftalato de polietileno.dpt
3996.69914	0.99507
3994.64534	0.99453
3992.59153	0.99452
3990.53773	0.99503
3988.48393	0.99521
3986.43013	0.99499
3984.37632	0.99517
3982.32252	0.99561
3980.26872	0.99559
3978.21492	0.99538
3976.16112	0.99529
3974.10731	0.99535
3972.05351	0.9955
3969.99971	0.9956
3967.94591	0.99585
3965.8921	0.99606
3963.8383	0.99597
3961.7845	0.99562
3959.7307	0.99496
3957.6769	0.99441
3955.62309	0.99436
3953.56929	0.99449
3951.51549	0.9945
3949.46169	0.99438
3947.40788	0.9942
3945.35408	0.99404
3943.30028	0.99407
3941.24648	0.99429
3939.19268	0.99445
3937.13887	0.99464
3935.08507	0.99495
3933.03127	0.99533
3930.97747	0.99544
3928.92366	0.99516
3926.86986	0.99529
3924.81606	0.99586
3922.76226	0.99601
3920.70845	0.99593
3918.65465	0.9958
3916.60085	0.99553
3914.54705	0.99539
3912.49325	0.9952
3910.43944	0.99499
3908.38564	0.99487
3906.33184	0.99488
3904.27804	0.99525
3902.22423	0.9956
3900.17043	0.99531
3898.11663	0.99488
3896.06283	0.99498
3894.00903	0.99512
3891.95522	0.99493
3889.90142	0.99489
3887.84762	0.99495
3885.79382	0.99502
3883.74001	0.99536
3881.68621	0.99529
3879.63241	0.99495
3877.57861	0.99518
3875.52481	0.99561
3873.471	0.99553
3871.4172	0.99513
3869.3634	0.9952
3867.3096	0.9954
3865.25579	0.99531
3863.20199	0.99535
3861.14819	0.99565
3859.09439	0.99581
3857.04059	0.99558
3854.98678	0.99563
3852.93298	0.99661
3850.87918	0.99672
3848.82538	0.99565
3846.77157	0.99474
3844.71777	0.99477
3842.66397	0.99542
3840.61017	0.99586
3838.55637	0.99587
3836.50256	0.99543
3834.44876	0.99486
3832.39496	0.99443
3830.34116	0.99425
3828.28735	0.99435
3826.23355	0.99489
3824.17975	0.99575
3822.12595	0.99633
3820.07215	0.99631
3818.01834	0.99575
3815.96454	0.99505
3813.91074	0.99476
3811.85694	0.99471
3809.80313	0.99469
3807.74933	0.99508
3805.69553	0.99564
3803.64173	0.99547
3801.58793	0.9948
3799.53412	0.99441
3797.48032	0.99447
3795.42652	0.99447
3793.37272	0.99416
3791.31891	0.99415
3789.26511	0.99479
3787.21131	0.99564
3785.15751	0.99612
3783.10371	0.99618
3781.0499	0.9959
3778.9961	0.99504
3776.9423	0.99421
3774.8885	0.99434
3772.83469	0.99514
3770.78089	0.99576
3768.72709	0.99599
3766.67329	0.99618
3764.61949	0.996
3762.56568	0.99545
3760.51188	0.9955
3758.45808	0.99609
3756.40428	0.99628
3754.35047	0.99625
3752.29667	0.99613
3750.24287	0.99603
3748.18907	0.99632
3746.13527	0.9966
3744.08146	0.99685
3742.02766	0.99692
3739.97386	0.99659
3737.92006	0.9961
3735.86625	0.99571
3733.81245	0.99562
3731.75865	0.99611
3729.70485	0.99654
3727.65105	0.99619
3725.59724	0.99546
3723.54344	0.99535
3721.48964	0.9957
3719.43584	0.99549
3717.38203	0.99537
3715.32823	0.99585
3713.27443	0.99666
3711.22063	0.99742
3709.16683	0.99696
3707.11302	0.99621
3705.05922	0.99636
3703.00542	0.99681
3700.95162	0.99684
3698.89781	0.99652
3696.84401	0.99613
3694.79021	0.99576
3692.73641	0.99535
3690.68261	0.99499
3688.6288	0.99534
3686.575	0.99597
3684.5212	0.99595
3682.4674	0.99555
3680.41359	0.9951
3678.35979	0.99497
3676.30599	0.9953
3674.25219	0.99544
3672.19839	0.99512
3670.14458	0.99507
3668.09078	0.99549
3666.03698	0.9956
3663.98318	0.99547
3661.92937	0.99541
3659.87557	0.99526
3657.82177	0.99546
3655.76797	0.99632
3653.71417	0.99679
3651.66036	0.99644
3649.60656	0.99581
3647.55276	0.9955
3645.49896	0.99518
3643.44515	0.99485
3641.39135	0.99475
3639.33755	0.99475
3637.28375	0.99494
3635.22995	0.99523
3633.17614	0.99516
3631.12234	0.99483
3629.06854	0.99421
3627.01474	0.99353
3624.96093	0.99365
3622.90713	0.99438
3620.85333	0.99505
3618.79953	0.99522
3616.74573	0.99504
3614.69192	0.99505
3612.63812	0.99561
3610.58432	0.99639
3608.53052	0.99669
3606.47671	0.99639
3604.42291	0.99601
3602.36911	0.99568
3600.31531	0.99549
3598.26151	0.99545
3596.2077	0.99545
3594.1539	0.99523
3592.1001	0.99459
3590.0463	0.99426
3587.99249	0.99447
3585.93869	0.99435
3583.88489	0.99409
3581.83109	0.99422
3579.77728	0.99453
3577.72348	0.99431
3575.66968	0.9935
3573.61588	0.99349
3571.56208	0.99453
3569.50827	0.99539
3567.45447	0.99535
3565.40067	0.99474
3563.34687	0.99451
