Numero de onda	hidroxietil_teraftalato.dpt
3996.69914	0.96498
3994.64534	0.96548
3992.59153	0.96573
3990.53773	0.96572
3988.48393	0.96533
3986.43013	0.96521
3984.37632	0.96587
3982.32252	0.96625
3980.26872	0.96552
3978.21492	0.96471
3976.16112	0.96502
3974.10731	0.9659
3972.05351	0.96599
3969.99971	0.96526
3967.94591	0.96468
3965.8921	0.96467
3963.8383	0.965
3961.7845	0.96556
3959.7307	0.96628
3957.6769	0.96686
3955.62309	0.96723
3953.56929	0.96761
3951.51549	0.96783
3949.46169	0.96805
3947.40788	0.9682
3945.35408	0.96807
3943.30028	0.96834
3941.24648	0.96881
3939.19268	0.96863
3937.13887	0.968
3935.08507	0.96735
3933.03127	0.96688
3930.97747	0.96695
3928.92366	0.96745
3926.86986	0.96804
3924.81606	0.96852
3922.76226	0.96848
3920.70845	0.96821
3918.65465	0.96815
3916.60085	0.96825
3914.54705	0.96823
3912.49325	0.96798
3910.43944	0.96789
3908.38564	0.96792
3906.33184	0.96764
3904.27804	0.96774
3902.22423	0.96884
3900.17043	0.97008
3898.11663	0.97035
3896.06283	0.96985
3894.00903	0.96952
3891.95522	0.96954
3889.90142	0.96938
3887.84762	0.96901
3885.79382	0.96908
3883.74001	0.96936
3881.68621	0.96939
3879.63241	0.96974
3877.57861	0.96993
3875.52481	0.96987
3873.471	0.96962
3871.4172	0.96898
3869.3634	0.96905
3867.3096	0.96974
3865.25579	0.97006
3863.20199	0.96985
3861.14819	0.96969
3859.09439	0.96974
3857.04059	0.96909
3854.98678	0.96819
3852.93298	0.96946
3850.87918	0.97109
3848.82538	0.9705
3846.77157	0.96911
3844.71777	0.96842
3842.66397	0.96864
3840.61017	0.96922
3838.55637	0.97005
3836.50256	0.97049
3834.44876	0.97009
3832.39496	0.96974
3830.34116	0.96951
3828.28735	0.96915
3826.23355	0.96933
3824.17975	0.96982
3822.12595	0.97024
3820.07215	0.97065
3818.01834	0.9706
3815.96454	0.97084
3813.91074	0.97098
3811.85694	0.97002
3809.80313	0.96888
3807.74933	0.96875
3805.69553	0.96955
3803.64173	0.97013
3801.58793	0.97056
3799.53412	0.97055
3797.48032	0.97016
3795.42652	0.97024
3793.37272	0.97044
3791.31891	0.97015
3789.26511	0.96983
3787.21131	0.96992
3785.15751	0.97022
3783.10371	0.97019
3781.0499	0.97004
3778.9961	0.9706
3776.9423	0.97112
3774.8885	0.97084
3772.83469	0.97018
3770.78089	0.96948
3768.72709	0.96919
3766.67329	0.96949
3764.61949	0.97004
3762.56568	0.97017
3760.51188	0.97
3758.45808	0.97058
3756.40428	0.9714
3754.35047	0.97161
3752.29667	0.97204
3750.24287	0.97328
3748.18907	0.97327
3746.13527	0.97226
3744.08146	0.97211
3742.02766	0.97202
3739.97386	0.97142
3737.92006	0.97068
3735.86625	0.97056
3733.81245	0.97206
3731.75865	0.97319
3729.70485	0.97312
3727.65105	0.97281
3725.59724	0.97261
3723.54344	0.97254
3721.48964	0.97261
3719.43584	0.97286
3717.38203	0.97298
3715.32823	0.9727
3713.27443	0.97223
3711.22063	0.9717
3709.16683	0.97112
3707.11302	0.97084
3705.05922	0.97091
3703.00542	0.97142
3700.95162	0.97233
3698.89781	0.97272
3696.84401	0.97237
3694.79021	0.97184
3692.73641	0.97131
3690.68261	0.97081
3688.6288	0.97105
3686.575	0.97186
3684.5212	0.97197
3682.4674	0.97109
3680.41359	0.96997
3678.35979	0.96961
3676.30599	0.97068
3674.25219	0.97231
3672.19839	0.97225
3670.14458	0.97167
3668.09078	0.97187
3666.03698	0.97188
3663.98318	0.97168
3661.92937	0.97155
3659.87557	0.97102
3657.82177	0.97049
3655.76797	0.97076
3653.71417	0.97111
3651.66036	0.97125
3649.60656	0.97181
3647.55276	0.97199
3645.49896	0.97123
3643.44515	0.97035
3641.39135	0.96999
3639.33755	0.97008
3637.28375	0.96997
3635.22995	0.96937
3633.17614	0.96847
3631.12234	0.96776
3629.06854	0.96737
3627.01474	0.96706
3624.96093	0.96688
3622.90713	0.96684
3620.85333	0.96685
3618.79953	0.96685
3616.74573	0.96621
3614.69192	0.96511
3612.63812	0.96483
3610.58432	0.96544
3608.53052	0.96559
3606.47671	0.96463
3604.42291	0.96362
3602.36911	0.96326
3600.31531	0.96309
3598.26151	0.96262
3596.2077	0.96192
3594.1539	0.96159
3592.1001	0.96122
3590.0463	0.96028
3587.99249	0.95954
3585.93869	0.95932
3583.88489	0.95899
3581.83109	0.95837
3579.77728	0.95748
3577.72348	0.95656
3575.66968	0.95591
3573.61588	0.9552
3571.56208	0.95405
3569.50827	0.95281
3567.45447	0.95192
3565.40067	0.95108
3563.34687	0.95009
3561.29306	0.94911
3559.23926	0.94797
3557.18546	0.94643
3555.13166	0.94484
3553.07786	0.94351
3551.02405	0.94239
3548.97025	0.94146
3546.91645	0.94069
3544.86265	0.93987
3542.80884	0.93835
3540.75504	0.93631
3538.70124	0.9349
3536.64744	0.93415
3534.59364	0.93299
3532.53983	0.93101
3530.48603	0.92888
3528.43223	0.92742
3526.37843	0.92628
3524.32462	0.92468
3522.27082	0.92274
3520.21702	0.92085
3518.16322	0.91886
3516.10942	0.9169
3514.05561	0.91532
3512.00181	0.9139
3509.94801	0.91248
3507.89421	0.91113
3505.8404	0.90953
3503.7866	0.90768
3501.7328	0.90551
3499.679	0.9028
3497.6252	0.90017
3495.57139	0.89772
3493.51759	0.89497
3491.46379	0.8921
