Numero de onda	pet_siama.dpt
3996.69914	0.91934
3994.64534	0.91924
3992.59153	0.91921
3990.53773	0.91923
3988.48393	0.91924
3986.43013	0.91943
3984.37632	0.91964
3982.32252	0.91964
3980.26872	0.91943
3978.21492	0.91911
3976.16112	0.919
3974.10731	0.91919
3972.05351	0.91932
3969.99971	0.91931
3967.94591	0.91936
3965.8921	0.91939
3963.8383	0.91925
3961.7845	0.91887
3959.7307	0.91847
3957.6769	0.91851
3955.62309	0.91892
3953.56929	0.91927
3951.51549	0.91931
3949.46169	0.91911
3947.40788	0.91908
3945.35408	0.9194
3943.30028	0.91953
3941.24648	0.91928
3939.19268	0.91911
3937.13887	0.91915
3935.08507	0.9193
3933.03127	0.91935
3930.97747	0.91904
3928.92366	0.91882
3926.86986	0.91889
3924.81606	0.91884
3922.76226	0.91881
3920.70845	0.9191
3918.65465	0.9193
3916.60085	0.91902
3914.54705	0.91879
3912.49325	0.9191
3910.43944	0.91961
3908.38564	0.91999
3906.33184	0.92002
3904.27804	0.91953
3902.22423	0.91898
3900.17043	0.91856
3898.11663	0.9183
3896.06283	0.91882
3894.00903	0.91976
3891.95522	0.91984
3889.90142	0.91941
3887.84762	0.91957
3885.79382	0.91938
3883.74001	0.91897
3881.68621	0.91907
3879.63241	0.9187
3877.57861	0.91851
3875.52481	0.91901
3873.471	0.91921
3871.4172	0.91897
3869.3634	0.91861
3867.3096	0.91852
3865.25579	0.91856
3863.20199	0.91829
3861.14819	0.91827
3859.09439	0.91893
3857.04059	0.91999
3854.98678	0.92028
3852.93298	0.91842
3850.87918	0.9176
3848.82538	0.91865
3846.77157	0.91954
3844.71777	0.91992
3842.66397	0.9201
3840.61017	0.91997
3838.55637	0.91924
3836.50256	0.91837
3834.44876	0.91817
3832.39496	0.91826
3830.34116	0.91834
3828.28735	0.91858
3826.23355	0.91873
3824.17975	0.919
3822.12595	0.91919
3820.07215	0.91871
3818.01834	0.91857
3815.96454	0.91833
3813.91074	0.91786
3811.85694	0.9183
3809.80313	0.91925
3807.74933	0.91967
3805.69553	0.91953
3803.64173	0.91969
3801.58793	0.91939
3799.53412	0.9189
3797.48032	0.91897
3795.42652	0.9188
3793.37272	0.91868
3791.31891	0.91881
3789.26511	0.919
3787.21131	0.91911
3785.15751	0.9189
3783.10371	0.91879
3781.0499	0.91885
3778.9961	0.91859
3776.9423	0.9185
3774.8885	0.91894
3772.83469	0.91941
3770.78089	0.9194
3768.72709	0.91906
3766.67329	0.91896
3764.61949	0.91906
3762.56568	0.91948
3760.51188	0.91972
3758.45808	0.91922
3756.40428	0.91909
3754.35047	0.91959
3752.29667	0.9195
3750.24287	0.91854
3748.18907	0.91859
3746.13527	0.91931
3744.08146	0.91881
3742.02766	0.91818
3739.97386	0.91889
3737.92006	0.91976
3735.86625	0.9196
3733.81245	0.91885
3731.75865	0.91887
3729.70485	0.91935
3727.65105	0.91927
3725.59724	0.91881
3723.54344	0.91885
3721.48964	0.91899
3719.43584	0.91883
3717.38203	0.91897
3715.32823	0.91953
3713.27443	0.91981
3711.22063	0.91912
3709.16683	0.91847
3707.11302	0.91871
3705.05922	0.91936
3703.00542	0.91961
3700.95162	0.91922
3698.89781	0.91909
3696.84401	0.91921
3694.79021	0.9193
3692.73641	0.91963
3690.68261	0.91965
3688.6288	0.91885
3686.575	0.91846
3684.5212	0.91879
3682.4674	0.9191
3680.41359	0.91945
3678.35979	0.91988
3676.30599	0.91952
3674.25219	0.91869
3672.19839	0.91893
3670.14458	0.91898
3668.09078	0.9187
3666.03698	0.91918
3663.98318	0.91945
3661.92937	0.91906
3659.87557	0.91874
3657.82177	0.91868
3655.76797	0.91852
3653.71417	0.91853
3651.66036	0.91867
3649.60656	0.91832
3647.55276	0.91783
3645.49896	0.91777
3643.44515	0.91788
3641.39135	0.91786
3639.33755	0.91793
3637.28375	0.91833
3635.22995	0.91842
3633.17614	0.91827
3631.12234	0.91852
3629.06854	0.91831
3627.01474	0.91737
3624.96093	0.91739
3622.90713	0.91818
3620.85333	0.91852
3618.79953	0.91786
3616.74573	0.91742
3614.69192	0.91767
3612.63812	0.9179
3610.58432	0.91797
3608.53052	0.91774
3606.47671	0.91744
3604.42291	0.91763
3602.36911	0.91778
3600.31531	0.91751
3598.26151	0.91749
3596.2077	0.91774
3594.1539	0.91747
3592.1001	0.91728
3590.0463	0.91778
3587.99249	0.91792
3585.93869	0.91741
3583.88489	0.91735
3581.83109	0.91753
3579.77728	0.91749
3577.72348	0.91727
3575.66968	0.917
3573.61588	0.91698
3571.56208	0.91739
3569.50827	0.91786
3567.45447	0.91757
3565.40067	0.91664
3563.34687	0.91624
3561.29306	0.91626
3559.23926	0.91626
3557.18546	0.91639
3555.13166	0.91656
3553.07786	0.91644
3551.02405	0.91625
3548.97025	0.91623
3546.91645	0.91616
3544.86265	0.91591
3542.80884	0.91577
3540.75504	0.91593
3538.70124	0.91632
3536.64744	0.91665
3534.59364	0.91662
3532.53983	0.91655
3530.48603	0.91678
3528.43223	0.91679
3526.37843	0.91649
3524.32462	0.91642
3522.27082	0.91623
