Numero de onda	poliestireno.dpt
3996.69914	0.99892
3994.64534	0.99888
3992.59153	0.99876
3990.53773	0.9988
3988.48393	0.99895
3986.43013	0.99898
3984.37632	0.99873
3982.32252	0.99839
3980.26872	0.99815
3978.21492	0.99808
3976.16112	0.99836
3974.10731	0.99858
3972.05351	0.99855
3969.99971	0.99879
3967.94591	0.99927
3965.8921	0.99946
3963.8383	0.9991
3961.7845	0.9984
3959.7307	0.99813
3957.6769	0.99843
3955.62309	0.99863
3953.56929	0.99873
3951.51549	0.99884
3949.46169	0.99881
3947.40788	0.99898
3945.35408	0.99931
3943.30028	0.99927
3941.24648	0.9991
3939.19268	0.99929
3937.13887	0.99951
3935.08507	0.99946
3933.03127	0.99918
3930.97747	0.9989
3928.92366	0.99882
3926.86986	0.99887
3924.81606	0.9992
3922.76226	0.99935
3920.70845	0.99887
3918.65465	0.99865
3916.60085	0.99909
3914.54705	0.99933
3912.49325	0.99914
3910.43944	0.99885
3908.38564	0.99847
3906.33184	0.99802
3904.27804	0.99813
3902.22423	0.99891
3900.17043	0.99931
3898.11663	0.99878
3896.06283	0.99803
3894.00903	0.99793
3891.95522	0.99831
3889.90142	0.99843
3887.84762	0.9983
3885.79382	0.99802
3883.74001	0.99802
3881.68621	0.99856
3879.63241	0.99892
3877.57861	0.99909
3875.52481	0.99938
3873.471	0.99956
3871.4172	0.99975
3869.3634	1.00007
3867.3096	1.00023
3865.25579	0.99975
3863.20199	0.99892
3861.14819	0.99871
3859.09439	0.99885
3857.04059	0.99895
3854.98678	0.99943
3852.93298	1.00006
3850.87918	0.99999
3848.82538	0.99975
3846.77157	0.99929
3844.71777	0.99853
3842.66397	0.99836
3840.61017	0.99945
3838.55637	1.0002
3836.50256	0.99937
3834.44876	0.99862
3832.39496	0.99862
3830.34116	0.99853
3828.28735	0.99814
3826.23355	0.99832
3824.17975	0.99915
3822.12595	0.99967
3820.07215	1.00011
3818.01834	1.00059
3815.96454	1.00014
3813.91074	0.99892
3811.85694	0.99839
3809.80313	0.99863
3807.74933	0.99903
