Numero de onda	polietileno.dpt
3996.69914	0.99725
3994.64534	0.99744
3992.59153	0.99768
3990.53773	0.9977
3988.48393	0.9975
3986.43013	0.99746
3984.37632	0.99764
3982.32252	0.99797
3980.26872	0.99837
3978.21492	0.99854
3976.16112	0.99829
3974.10731	0.99775
3972.05351	0.9975
3969.99971	0.99757
3967.94591	0.99761
3965.8921	0.99761
3963.8383	0.99733
3961.7845	0.99699
3959.7307	0.99721
3957.6769	0.99793
3955.62309	0.99842
3953.56929	0.99856
3951.51549	0.99854
3949.46169	0.99838
3947.40788	0.99831
3945.35408	0.9982
3943.30028	0.99824
3941.24648	0.9984
3939.19268	0.99809
3937.13887	0.99743
3935.08507	0.99681
3933.03127	0.99658
3930.97747	0.99698
3928.92366	0.99735
3926.86986	0.99717
3924.81606	0.99699
3922.76226	0.99727
3920.70845	0.99781
3918.65465	0.99813
3916.60085	0.99794
3914.54705	0.9975
3912.49325	0.99721
3910.43944	0.99732
3908.38564	0.99755
3906.33184	0.99774
3904.27804	0.99827
3902.22423	0.999
3900.17043	0.9991
3898.11663	0.99878
3896.06283	0.99882
3894.00903	0.99895
3891.95522	0.99863
3889.90142	0.99817
3887.84762	0.99814
3885.79382	0.99836
3883.74001	0.99828
3881.68621	0.99808
3879.63241	0.99835
3877.57861	0.99862
3875.52481	0.99848
3873.471	0.99841
3871.4172	0.9986
3869.3634	0.9987
3867.3096	0.99849
3865.25579	0.99817
3863.20199	0.99794
3861.14819	0.99778
3859.09439	0.99802
3857.04059	0.99862
3854.98678	0.99874
3852.93298	0.99814
3850.87918	0.99836
3848.82538	0.99911
3846.77157	0.99913
3844.71777	0.99862
3842.66397	0.99848
3840.61017	0.99852
3838.55637	0.99849
3836.50256	0.99851
3834.44876	0.99858
3832.39496	0.9986
3830.34116	0.99859
3828.28735	0.99849
3826.23355	0.99821
3824.17975	0.99825
3822.12595	0.99864
3820.07215	0.99906
3818.01834	0.99971
3815.96454	1.0001
3813.91074	0.9997
3811.85694	0.99915
3809.80313	0.99878
3807.74933	0.99849
3805.69553	0.99849
3803.64173	0.9986
3801.58793	0.9983
3799.53412	0.99762
3797.48032	0.99728
3795.42652	0.99745
3793.37272	0.99783
3791.31891	0.99826
3789.26511	0.99867
3787.21131	0.99883
3785.15751	0.99857
3783.10371	0.99826
3781.0499	0.99849
3778.9961	0.99907
3776.9423	0.99938
3774.8885	0.99942
3772.83469	0.99916
3770.78089	0.99873
3768.72709	0.99842
3766.67329	0.99821
3764.61949	0.99808
3762.56568	0.99777
3760.51188	0.99747
3758.45808	0.99806
3756.40428	0.99909
3754.35047	0.99972
3752.29667	1.00015
3750.24287	1.00061
3748.18907	1.0007
3746.13527	1.00067
3744.08146	1.00097
3742.02766	1.00061
3739.97386	0.99968
3737.92006	0.9992
3735.86625	0.9994
3733.81245	0.99937
3731.75865	0.99885
3729.70485	0.99842
3727.65105	0.99836
3725.59724	0.99886
3723.54344	0.99964
3721.48964	1.00017
3719.43584	0.99978
3717.38203	0.99853
