Numero de onda	poliettilrn_succinato.dpt
3996.69914	0.98565
3994.64534	0.98548
3992.59153	0.98571
3990.53773	0.98595
3988.48393	0.98578
3986.43013	0.98563
3984.37632	0.98581
3982.32252	0.98595
3980.26872	0.98568
3978.21492	0.9855
3976.16112	0.98598
3974.10731	0.98652
3972.05351	0.98654
3969.99971	0.98633
3967.94591	0.98601
3965.8921	0.98542
3963.8383	0.98498
3961.7845	0.98538
3959.7307	0.98595
3957.6769	0.98602
3955.62309	0.98598
3953.56929	0.98593
3951.51549	0.986
3949.46169	0.98663
3947.40788	0.98708
3945.35408	0.98656
3943.30028	0.98581
3941.24648	0.98544
3939.19268	0.98538
3937.13887	0.98575
3935.08507	0.98644
3933.03127	0.9869
3930.97747	0.98684
3928.92366	0.98649
3926.86986	0.98605
3924.81606	0.98564
3922.76226	0.98568
3920.70845	0.9863
3918.65465	0.98695
3916.60085	0.98709
3914.54705	0.98699
3912.49325	0.98686
3910.43944	0.98642
3908.38564	0.98604
3906.33184	0.98627
3904.27804	0.98635
3902.22423	0.98578
3900.17043	0.98573
3898.11663	0.98618
3896.06283	0.98634
3894.00903	0.98635
3891.95522	0.98668
3889.90142	0.98691
3887.84762	0.98644
3885.79382	0.98613
3883.74001	0.98688
3881.68621	0.98801
3879.63241	0.98852
3877.57861	0.98779
3875.52481	0.98641
3873.471	0.98531
3871.4172	0.9852
3869.3634	0.98605
3867.3096	0.9872
3865.25579	0.98848
3863.20199	0.98924
3861.14819	0.98853
3859.09439	0.98719
3857.04059	0.98624
3854.98678	0.98621
3852.93298	0.98758
3850.87918	0.98833
3848.82538	0.9876
3846.77157	0.98707
3844.71777	0.9874
3842.66397	0.98771
3840.61017	0.98767
3838.55637	0.98746
3836.50256	0.98712
3834.44876	0.98711
3832.39496	0.98725
3830.34116	0.98728
3828.28735	0.98772
3826.23355	0.98793
3824.17975	0.98701
3822.12595	0.98669
3820.07215	0.98771
3818.01834	0.98797
3815.96454	0.98751
3813.91074	0.98736
3811.85694	0.98739
3809.80313	0.98711
3807.74933	0.98668
3805.69553	0.98642
3803.64173	0.98637
3801.58793	0.98666
3799.53412	0.98723
3797.48032	0.98789
3795.42652	0.98793
3793.37272	0.98716
3791.31891	0.98685
3789.26511	0.98728
3787.21131	0.98774
3785.15751	0.98789
3783.10371	0.98764
3781.0499	0.98711
3778.9961	0.98711
3776.9423	0.98776
3774.8885	0.98824
3772.83469	0.98852
3770.78089	0.98872
3768.72709	0.98833
3766.67329	0.98718
3764.61949	0.98617
3762.56568	0.9862
3760.51188	0.98709
3758.45808	0.98814
3756.40428	0.98893
3754.35047	0.98925
3752.29667	0.98935
3750.24287	0.98933
3748.18907	0.98861
3746.13527	0.98834
3744.08146	0.98923
3742.02766	0.98958
3739.97386	0.98904
3737.92006	0.98895
3735.86625	0.98967
3733.81245	0.98997
3731.75865	0.98939
3729.70485	0.98869
3727.65105	0.98855
3725.59724	0.98877
3723.54344	0.9889
3721.48964	0.98936
3719.43584	0.98972
3717.38203	0.98927
3715.32823	0.98851
3713.27443	0.98776
3711.22063	0.98721
3709.16683	0.98729
3707.11302	0.98777
3705.05922	0.98851
3703.00542	0.98934
3700.95162	0.9897
3698.89781	0.98896
3696.84401	0.98807
3694.79021	0.988
3692.73641	0.9881
3690.68261	0.988
3688.6288	0.98804
3686.575	0.98769
3684.5212	0.98687
3682.4674	0.98642
3680.41359	0.98686
3678.35979	0.98807
3676.30599	0.98973
3674.25219	0.98999
3672.19839	0.98809
3670.14458	0.9859
3668.09078	0.98529
3666.03698	0.98647
3663.98318	0.98771
3661.92937	0.98762
3659.87557	0.98684
3657.82177	0.98657
3655.76797	0.98663
3653.71417	0.98598
3651.66036	0.98446
3649.60656	0.98381
3647.55276	0.98533
3645.49896	0.98603
3643.44515	0.98515
3641.39135	0.9841
3639.33755	0.98384
3637.28375	0.98473
3635.22995	0.98566
3633.17614	0.98517
3631.12234	0.98403
3629.06854	0.98345
3627.01474	0.98324
3624.96093	0.98293
3622.90713	0.98271
3620.85333	0.98314
3618.79953	0.98401
3616.74573	0.98377
3614.69192	0.9825
3612.63812	0.98158
3610.58432	0.98148
3608.53052	0.98159
3606.47671	0.9812
3604.42291	0.98048
3602.36911	0.97989
3600.31531	0.97972
3598.26151	0.97997
3596.2077	0.98039
3594.1539	0.98064
3592.1001	0.98023
3590.0463	0.97929
3587.99249	0.97793
3585.93869	0.97671
3583.88489	0.9765
3581.83109	0.97656
3579.77728	0.97586
3577.72348	0.97448
3575.66968	0.97295
3573.61588	0.9718
3571.56208	0.9716
3569.50827	0.97209
3567.45447	0.97237
3565.40067	0.97174
3563.34687	0.97046
3561.29306	0.96928
3559.23926	0.96847
3557.18546	0.96811
3555.13166	0.96817
3553.07786	0.96829
3551.02405	0.96796
3548.97025	0.96717
3546.91645	0.96622
3544.86265	0.96524
3542.80884	0.96454
3540.75504	0.96429
3538.70124	0.96402
3536.64744	0.96351
3534.59364	0.96306
3532.53983	0.9629
3530.48603	0.96321
3528.43223	0.964
3526.37843	0.96462
3524.32462	0.96449
3522.27082	0.96397
3520.21702	0.96386
3518.16322	0.96404
3516.10942	0.96394
3514.05561	0.96395
3512.00181	0.96439
3509.94801	0.96483
3507.89421	0.96501
3505.8404	0.96538
3503.7866	0.96629
3501.7328	0.96688
3499.679	0.96677
3497.6252	0.96648
3495.57139	0.96623
3493.51759	0.96614
3491.46379	0.9661
3489.40999	0.96624
3487.35618	0.9667
3485.30238	0.9668
3483.24858	0.96636
3481.19478	0.96609
3479.14098	0.96628
3477.08717	0.96654
3475.03337	0.96693
3472.97957	0.96738
3470.92577	0.96743
3468.87196	0.96722
3466.81816	0.9666
3464.76436	0.96585
3462.71056	0.96557
3460.65676	0.96539
3458.60295	0.96539
3456.54915	0.96533
3454.49535	0.96454
3452.44155	0.96342
3450.38774	0.96296
3448.33394	0.96309
3446.28014	0.96278
3444.22634	0.96199
3442.17254	0.96163
3440.11873	0.96217
3438.06493	0.96368
3436.01113	0.96565
3433.95733	0.96698
3431.90352	0.96768
3429.84972	0.96859
3427.79592	0.96958
3425.74212	0.97003
3423.68832	0.97028
3421.63451	0.97078
3419.58071	0.97143
3417.52691	0.97204
3415.47311	0.97268
3413.4193	0.9734
3411.3655	0.97362
3409.3117	0.97322
3407.2579	0.97271
3405.2041	0.97251
3403.15029	0.97297
3401.09649	0.9738
3399.04269	0.97408
3396.98889	0.97357
3394.93508	0.97346
3392.88128	0.97419
3390.82748	0.97502
3388.77368	0.97563
3386.71988	0.97575
3384.66607	0.97551
3382.61227	0.97553
3380.55847	0.97605
3378.50467	0.97686
