Numero de onda	polipropileno.dpt
3996.69914	0.9967
3994.64534	0.99703
3992.59153	0.99673
3990.53773	0.99605
3988.48393	0.99568
3986.43013	0.9953
3984.37632	0.99495
3982.32252	0.99543
3980.26872	0.99632
3978.21492	0.99643
3976.16112	0.99608
3974.10731	0.99611
3972.05351	0.99627
3969.99971	0.99619
3967.94591	0.99617
3965.8921	0.99642
3963.8383	0.99659
3961.7845	0.99672
3959.7307	0.99693
3957.6769	0.99693
3955.62309	0.99676
3953.56929	0.99672
3951.51549	0.99685
3949.46169	0.99705
3947.40788	0.99705
3945.35408	0.99664
3943.30028	0.99639
3941.24648	0.99667
3939.19268	0.99682
3937.13887	0.99672
3935.08507	0.99661
3933.03127	0.99654
3930.97747	0.9965
3928.92366	0.99646
3926.86986	0.99665
3924.81606	0.99693
3922.76226	0.99673
3920.70845	0.99617
3918.65465	0.99591
3916.60085	0.99617
3914.54705	0.99637
3912.49325	0.99621
3910.43944	0.99583
3908.38564	0.99544
3906.33184	0.99556
3904.27804	0.99627
3902.22423	0.99684
3900.17043	0.9969
3898.11663	0.99663
3896.06283	0.99643
3894.00903	0.99644
3891.95522	0.99639
3889.90142	0.99606
3887.84762	0.99559
3885.79382	0.99527
3883.74001	0.99516
3881.68621	0.99534
3879.63241	0.99594
3877.57861	0.99626
3875.52481	0.99595
3873.471	0.99551
3871.4172	0.99582
3869.3634	0.99673
3867.3096	0.99681
3865.25579	0.99635
3863.20199	0.99645
3861.14819	0.99689
3859.09439	0.9973
3857.04059	0.99768
3854.98678	0.99806
3852.93298	0.99825
3850.87918	0.99777
3848.82538	0.9972
3846.77157	0.9969
3844.71777	0.99695
3842.66397	0.9975
3840.61017	0.99793
3838.55637	0.99742
3836.50256	0.99693
3834.44876	0.99694
3832.39496	0.99683
3830.34116	0.99676
3828.28735	0.9966
3826.23355	0.99622
3824.17975	0.99611
3822.12595	0.99631
3820.07215	0.99649
3818.01834	0.99665
3815.96454	0.997
3813.91074	0.99704
3811.85694	0.99634
3809.80313	0.99569
3807.74933	0.99578
3805.69553	0.99625
3803.64173	0.99665
3801.58793	0.99699
3799.53412	0.9969
3797.48032	0.99632
3795.42652	0.99608
3793.37272	0.99648
3791.31891	0.99686
3789.26511	0.99673
3787.21131	0.99602
3785.15751	0.99561
3783.10371	0.99602
3781.0499	0.99612
3778.9961	0.99596
3776.9423	0.99662
3774.8885	0.99749
3772.83469	0.99761
3770.78089	0.99724
3768.72709	0.99726
3766.67329	0.99738
3764.61949	0.99669
3762.56568	0.99594
3760.51188	0.99593
3758.45808	0.99643
3756.40428	0.9971
3754.35047	0.99789
3752.29667	0.9988
3750.24287	0.9987
3748.18907	0.99752
3746.13527	0.99687
3744.08146	0.99682
3742.02766	0.99705
3739.97386	0.99737
3737.92006	0.99773
3735.86625	0.99778
3733.81245	0.99711
3731.75865	0.9964
3729.70485	0.9963
3727.65105	0.99685
3725.59724	0.99745
3723.54344	0.99716
3721.48964	0.9964
3719.43584	0.99643
3717.38203	0.99724
3715.32823	0.99782
3713.27443	0.99799
3711.22063	0.99849
3709.16683	0.99878
3707.11302	0.99811
3705.05922	0.9973
3703.00542	0.99678
3700.95162	0.99631
3698.89781	0.99599
3696.84401	0.99617
3694.79021	0.99664
3692.73641	0.99652
3690.68261	0.99614
3688.6288	0.99677
3686.575	0.9972
3684.5212	0.99674
3682.4674	0.99677
3680.41359	0.99761
3678.35979	0.99811
3676.30599	0.99826
3674.25219	0.99897
3672.19839	0.99957
3670.14458	0.99966
3668.09078	0.99947
3666.03698	0.99923
3663.98318	0.99913
3661.92937	0.99903
3659.87557	0.99858
3657.82177	0.99782
3655.76797	0.99712
3653.71417	0.9966
3651.66036	0.99668
3649.60656	0.99793
3647.55276	0.99839
3645.49896	0.99768
3643.44515	0.99741
3641.39135	0.99744
3639.33755	0.99756
3637.28375	0.99763
3635.22995	0.99783
3633.17614	0.99873
3631.12234	0.99952
3629.06854	0.99917
3627.01474	0.99844
3624.96093	0.99803
3622.90713	0.99736
3620.85333	0.9968
3618.79953	0.99721
3616.74573	0.99779
3614.69192	0.99818
3612.63812	0.99899
3610.58432	0.99953
3608.53052	0.99927
3606.47671	0.99882
3604.42291	0.99853
3602.36911	0.99843
3600.31531	0.99846
3598.26151	0.99826
3596.2077	0.99804
3594.1539	0.99816
3592.1001	0.99806
3590.0463	0.99757
3587.99249	0.99738
3585.93869	0.99779
3583.88489	0.99784
3581.83109	0.99744
3579.77728	0.99744
3577.72348	0.99773
3575.66968	0.99736
3573.61588	0.99653
3571.56208	0.99629
3569.50827	0.99693
3567.45447	0.99782
3565.40067	0.99823
3563.34687	0.99837
3561.29306	0.99825
3559.23926	0.99788
3557.18546	0.99772
3555.13166	0.99778
3553.07786	0.99767
3551.02405	0.99723
3548.97025	0.99711
3546.91645	0.99766
3544.86265	0.99804
3542.80884	0.99792
3540.75504	0.99747
3538.70124	0.99716
3536.64744	0.99761
3534.59364	0.99814
3532.53983	0.99786
3530.48603	0.99726
3528.43223	0.99714
3526.37843	0.99728
3524.32462	0.99726
3522.27082	0.99714
3520.21702	0.99742
3518.16322	0.99785
3516.10942	0.99788
3514.05561	0.99781
3512.00181	0.99761
3509.94801	0.99735
3507.89421	0.99731
3505.8404	0.99702
3503.7866	0.99661
3501.7328	0.99654
3499.679	0.99677
3497.6252	0.99703
3495.57139	0.99691
3493.51759	0.99652
3491.46379	0.99636
3489.40999	0.99653
3487.35618	0.99687
3485.30238	0.99712
3483.24858	0.99718
3481.19478	0.99725
3479.14098	0.99746
3477.08717	0.99748
3475.03337	0.99699
3472.97957	0.99641
