Numero de onda	polivil_alcohol.dpt
3996.69914	0.96243
3994.64534	0.96285
3992.59153	0.96332
3990.53773	0.96318
3988.48393	0.96271
3986.43013	0.96264
3984.37632	0.96309
3982.32252	0.96359
3980.26872	0.96383
3978.21492	0.96376
3976.16112	0.96327
3974.10731	0.96277
3972.05351	0.96279
3969.99971	0.9633
3967.94591	0.96385
3965.8921	0.96396
3963.8383	0.96385
3961.7845	0.96378
3959.7307	0.96348
3957.6769	0.96321
3955.62309	0.96347
3953.56929	0.96398
3951.51549	0.96413
3949.46169	0.9639
3947.40788	0.96382
3945.35408	0.96439
3943.30028	0.96514
3941.24648	0.96501
3939.19268	0.96434
3937.13887	0.96406
3935.08507	0.96416
3933.03127	0.9641
3930.97747	0.96397
3928.92366	0.96415
3926.86986	0.96436
3924.81606	0.96462
3922.76226	0.96496
3920.70845	0.96532
3918.65465	0.9658
3916.60085	0.966
3914.54705	0.96579
3912.49325	0.96551
3910.43944	0.96512
3908.38564	0.96515
3906.33184	0.96562
3904.27804	0.96563
3902.22423	0.9652
3900.17043	0.96498
3898.11663	0.96481
3896.06283	0.9644
3894.00903	0.9642
3891.95522	0.96461
3889.90142	0.96514
3887.84762	0.96516
3885.79382	0.96498
3883.74001	0.96552
3881.68621	0.9662
3879.63241	0.96585
3877.57861	0.96529
3875.52481	0.9653
3873.471	0.96537
3871.4172	0.96517
3869.3634	0.96488
3867.3096	0.96465
3865.25579	0.96464
3863.20199	0.96488
3861.14819	0.96515
3859.09439	0.96549
3857.04059	0.96578
3854.98678	0.96576
3852.93298	0.96561
3850.87918	0.96544
3848.82538	0.96529
3846.77157	0.96546
3844.71777	0.96582
3842.66397	0.96605
3840.61017	0.96639
3838.55637	0.96715
3836.50256	0.96745
3834.44876	0.96686
3832.39496	0.96636
3830.34116	0.96612
3828.28735	0.96583
3826.23355	0.96563
3824.17975	0.9658
3822.12595	0.96604
3820.07215	0.96607
3818.01834	0.96633
3815.96454	0.96654
3813.91074	0.96634
3811.85694	0.96625
3809.80313	0.96651
3807.74933	0.96721
3805.69553	0.96779
3803.64173	0.96737
3801.58793	0.96664
3799.53412	0.96669
3797.48032	0.96694
3795.42652	0.9668
3793.37272	0.9667
3791.31891	0.96698
3789.26511	0.96729
3787.21131	0.96713
3785.15751	0.96673
3783.10371	0.96673
3781.0499	0.96706
3778.9961	0.96717
3776.9423	0.96688
3774.8885	0.96667
3772.83469	0.96708
3770.78089	0.96787
3768.72709	0.96828
3766.67329	0.96833
3764.61949	0.96818
3762.56568	0.96783
3760.51188	0.96767
3758.45808	0.96772
3756.40428	0.96801
3754.35047	0.96845
3752.29667	0.96838
3750.24287	0.96773
3748.18907	0.96763
3746.13527	0.96812
3744.08146	0.96839
3742.02766	0.9684
3739.97386	0.9684
3737.92006	0.96855
3735.86625	0.96894
3733.81245	0.96865
3731.75865	0.96799
3729.70485	0.96807
3727.65105	0.96862
3725.59724	0.96932
3723.54344	0.96955
3721.48964	0.96881
3719.43584	0.96805
3717.38203	0.96792
3715.32823	0.96778
3713.27443	0.96751
3711.22063	0.96784
3709.16683	0.96851
3707.11302	0.96902
3705.05922	0.96942
3703.00542	0.96968
3700.95162	0.97005
3698.89781	0.97025
3696.84401	0.97012
3694.79021	0.97008
3692.73641	0.97008
3690.68261	0.96968
3688.6288	0.96931
3686.575	0.96949
3684.5212	0.96962
3682.4674	0.96972
3680.41359	0.97012
3678.35979	0.97051
3676.30599	0.97033
3674.25219	0.96967
3672.19839	0.96929
3670.14458	0.9691
3668.09078	0.96892
3666.03698	0.96913
3663.98318	0.96951
3661.92937	0.96966
3659.87557	0.96961
3657.82177	0.96952
3655.76797	0.96969
3653.71417	0.97007
3651.66036	0.97054
3649.60656	0.97119
3647.55276	0.97098
3645.49896	0.96973
3643.44515	0.96873
3641.39135	0.96828
3639.33755	0.96793
3637.28375	0.9676
3635.22995	0.96795
3633.17614	0.96896
3631.12234	0.96935
3629.06854	0.96902
3627.01474	0.96861
3624.96093	0.96815
3622.90713	0.96762
3620.85333	0.96709
3618.79953	0.96704
3616.74573	0.96712
3614.69192	0.96651
