Numero de onda	polvinilpirrolidona.dpt
3996.69914	0.96898
3994.64534	0.96869
3992.59153	0.9681
3990.53773	0.96803
3988.48393	0.96822
3986.43013	0.96823
3984.37632	0.96822
3982.32252	0.96852
3980.26872	0.96922
3978.21492	0.96972
3976.16112	0.96968
3974.10731	0.96953
3972.05351	0.9693
3969.99971	0.96907
3967.94591	0.96926
3965.8921	0.96958
3963.8383	0.96961
3961.7845	0.96951
3959.7307	0.96923
3957.6769	0.96865
3955.62309	0.96823
3953.56929	0.96826
3951.51549	0.96876
3949.46169	0.96922
3947.40788	0.96882
3945.35408	0.96833
3943.30028	0.96866
3941.24648	0.96895
3939.19268	0.96848
3937.13887	0.96795
3935.08507	0.96796
3933.03127	0.9684
3930.97747	0.96902
3928.92366	0.96931
3926.86986	0.96915
3924.81606	0.96921
3922.76226	0.96945
3920.70845	0.96921
3918.65465	0.96868
3916.60085	0.96856
3914.54705	0.96899
3912.49325	0.96947
3910.43944	0.96969
3908.38564	0.96937
3906.33184	0.96873
3904.27804	0.96823
3902.22423	0.96795
3900.17043	0.9682
3898.11663	0.96881
3896.06283	0.96916
3894.00903	0.96947
3891.95522	0.97013
3889.90142	0.97029
3887.84762	0.96979
3885.79382	0.9697
3883.74001	0.96988
3881.68621	0.96952
3879.63241	0.96916
3877.57861	0.96953
3875.52481	0.96973
3873.471	0.96903
3871.4172	0.968
3869.3634	0.9674
3867.3096	0.96744
3865.25579	0.9676
3863.20199	0.96798
3861.14819	0.96891
3859.09439	0.96961
3857.04059	0.96927
3854.98678	0.96849
3852.93298	0.96914
3850.87918	0.96999
3848.82538	0.96969
3846.77157	0.96975
3844.71777	0.97028
3842.66397	0.97042
3840.61017	0.97044
3838.55637	0.97015
3836.50256	0.96933
3834.44876	0.96885
3832.39496	0.96877
3830.34116	0.96857
3828.28735	0.96851
3826.23355	0.96875
3824.17975	0.96883
3822.12595	0.96871
3820.07215	0.96904
3818.01834	0.96957
3815.96454	0.96953
3813.91074	0.96896
3811.85694	0.96858
3809.80313	0.96876
